text
"I'm at 東京都庁 (新宿区, 東京都) w/ 4 others http://t.co/I4474TKx"
この発想は無かったわ（笑） http://t.co/K4kDYvdn
@Eisnow 俺もオークランドだよ～。補修校とか懐かしいね。
結局さ、出来るか、出来ないか、じゃなくて、やるかやらないかなんだよね。ホントに。やらないなら、出来るとか言わないってコト。
あ、風邪か？？喉が痛いぞ〜
予定がどんどん潰れてく。。キツイな。。
あと二日。全力で頑張ろう。
負けたくない。絶対に負けたくない。
「撃っていいのは撃たれる覚悟のあるやつだけだ。」ルルーシュ
5万か。。。くっ。。。
覚悟のない発言とか困るわ〜
@alfiansyah91 ありがとう。やさしい嘘ならいらないよ。
今は（特に30日の締日までは）仕事に全力だから、仲間未満のタダの友達に会うとか時間が勿体無くて出来んじゃろ。。。支えてくれる仲間たちには本当に感謝です。家族以上に大切に思ってます。
@risacca73 はは～パンダ見に行って来い！
@01251211 おぅいえー
@risacca73 なみ~どうしたあ！
@yuma7 だよね〜
@01251211 良い子だね！
嘘つく奴、人を傷つける冗談を言う奴って本当に嫌いだわ。有り得ないね〜
@yuripoipoi ウェディングドレスは私が着るのっ！
@yuripoipoi どこいくん？？
やっぱ、人間不信になり得るなぁ。。
I'm at 歌舞伎町 w/ 2 others http://t.co/ygbi9t5D
@harukonbu そうなんだ。俺も中学で卓球部だった☆
@harukonbu なせに（笑）
@chocotoanpan 青山だけどー
@nu_001 お、一緒にゴハンしたかったですねー
@ChiekoandBeagle わっしょい！
"I'm at 青山一丁目駅 (Aoyama-itchōme Sta.) (港区, 東京都) http://t.co/RaKHNanT"
メロン味のリップクリームをゲット☆
バーベキューわっしょい！ (@ BBQ-VILLAGE) http://t.co/xRxYgfOb
@aozora_nyanko 今日はお店が休みなんでそれではないです（笑）
@infinitySHERRY かたじけない。
@Masaharu_emiemi シャンパンがあれば元気になるお
@babar66 ありがとうございます。遅刻した
@ohyoiX あんがとー☆
@moerisato サンキュー
@LOVEmitakaK ありがとう～元気にナタ！
朝、暖かかったのに、メチャ寒くなってない！？
@Kanaske_ @erina1121 昨日はありがとう！面接頑張っ！
フッカーッ！
どーん、。。。人生最大の落ち込み。。。
@chika_t1229 ジーニアスバーで新品に交換できない？
@kenji197503 凄いですね～！
@Kanaske_ 待ってマーふ☆
@Kanaske_ えへん！
ヤバいや。眠たすぎるでしょう。。。
@chance_eau 自分磨きですね〜
昨日、潰れた人をおんぶしたので腕が痛い。。。プルプル震えてる。。。
それに見合う価値を自ら生み出さないといけないな。がんばろ。
@yuripoipoi んなコトより、はよ、体調治せい。
@Kanaske_ なにやってん（笑）
@JunItabashi 面白いw
夢はドンペリニョン。
@yoppy35momo さようでござる
@Masaharu_emiemi 俺も龍馬だけど(笑)
ブログを更新しました。「むちゃくちゃ悔しかったコト」→http://t.co/Ny04gYSF
LINEのユーザーがじわじわと増え始めている。ツイッターとはまた違うコミュニケーションが出来て良いよね☆
@Masaharu_emiemi ありがトン♪
ま、それもあるんだけど、それ以上に社会をどう構築するかって言うデザイナーが必要かと〜　 RT @infinitySHERRY: 通訳無しで言いたいこと言える英語力が先ず殆どの政治家に 必要な気が・・・RT @kiwipon: どうすれば、日本が世界で主導権を握る。と言うか、キャス
@JapanEdge なるほどです〜。ありがとうございます！
@everblue92 ありがとうございます！
どうすれば、日本が世界で主導権を握る。と言うか、キャスティングボードを握れるのか、真剣に考えたいよね。欧米とかに振り回されるんじゃなくてさぁ。
@YoshimotoYoko ようこちゃんありがとう〜♪
@yuripoipoi ありがとにゃん♪
@JapanEdge ドナーリレーションシップマネジメント　DRMとか、やはりお詳しかったりされます？？
@Kanonn_82 渋谷でかのちゃんに似てる人に遭遇した♪
@infinitySHERRY thx♪
@perfume__love ありがと！
@yoodajunko ピジョンかな。
@sasanohaD ありがとうございます♪
@yoppy35momo メガネのせいやー！
@infinitySHERRY ありがとう～
@infinitySHERRY 学校のマスコットキャラクターみたいなもの。
@karenmomo23 ありがとう～♪
@yuripoipoi あり♪
卒業式に出来たマブダチと♪ http://t.co/xIlFvR2V
ありがとう～RT @keikokeiko55 @kiwipon 卒業おめでとう(●'◡'●)ﾉ
@annydaon アーリャーッス！
@yuripoipoi おはー。卒業式やで～！！
@__obake 今日、卒業式に出席しています！寝坊して、学科斉唱だけでした。学長のお話を聞くことができなくて残念でした。。。
@dodosukoboy ちーん、あり～
@yoppy35momo なむありー
@Kanonn_82 おはよー
今日は卒業式なのに寝坊した。。。orz踏んだり蹴ったりな一日。
@levantoppoi ども。あれ！？これだいぶ前に送ったつもりだけど、かなりバグってるなついった。。。そうそう、その節はお世話になりました。お礼とご挨拶忘れてました。いろいろありがとうございました！！
@ka_ra_tsu 良いですね〜
携帯バグっていろいろいじってるうちに、メールのデータが全部消えた。ちーん。。。Ω＼ζ°)
これは素敵！RT @yuripoipoi ディズニーランド「眠れる森の美女の城」のモデルとなった城、ドイツ『ノイシュヴァンシュタイン城』 http://t.co/yq3GVIbo
ブログを更新しました。 『■ホストの楽しみ方：初回とは』 http://t.co/F8HOC55K
@aozora_nyanko お助けくださいませ〜
@yuripoipoi おまちしてますw
今日明日同伴無いなー。ヤバスww
ブログを更新しました。「立法府の機能強化について 塩崎 元官房長官@日本政策学校講義」→http://t.co/VaoQnsa0
ホストの業務形態は、殆どハコを借りた自営業だわさ。それを考えると、夜逃げ同然で辞めていく奴が多いのも納得出来るなり。
@JapanEdge ええ。
だみだー。HPが切れかけ（笑）
@Kanonn_82 1キロ泳いだよん。ほほほ♪
@Kanonn_82 爆笑w
"恐縮深いww RT @YahooNews: Internet access is more important than sex and alcohol, new study finds - http://t.co/rEAW2jrX"
@JapanEdge 興味深いww
@maron7007 おーっ、復活おめー！ラジャっ！
@Kanonn_82 今日はプールの日ほほ♪
誰かに必要とされることってのがかなり重要なようです。、
@pe_ichi13841687 ども（笑）
@Lyra_R えへへ。
@Kanonn_82 やほほほほ🎶
おはようございましたっと。
@Kanonn_82 やほほ♪
今日の髪型☆ http://t.co/CAOZiwh9
@kotodamasashi 辛いですね～
そうなんだ！RT @kometubu_leika @kiwipon 今週はピークらしいです。
@kakkou0412 ヒィィィ
今日、花粉酷くない？？？
@yuripoipoi札束キターッ！
限りある人生だからこそ、日々、真剣に生きるんだ。
誰かのために頑張るからこそ、人は強くなれるんだと思う。誰かの命を背負うからこそ、人は強くなれるんだと思う。
@teizuisun おおぅ！
イチゴイチゴワッショイ！！
授業有ると思ったら無かった（笑）
ブログを更新しました。 『私のホストちゃん公開収録＠Zepp Tokyo』 http://t.co/ifr2JEFu
今日から六本木ヒルズでワンピース展が始まったなり。
えっ、今日、祝日なん！？
@openarms1986 そそ。
"I'm at アルタ前 (新宿区, 東京都) http://t.co/U2SptG47"
恐縮です。ありがとうございます！RT @umekishinji @kiwipon 　初めまして。茨城県守谷市議会副議長、梅木伸治と申します。ツイッターの「おすすめユーザー」にお名前がありましたのでフォローさせて頂きました。宜しくお願いします。
"I'm at 新宿ゴールデン街 (Shinjuku Golden Gai) (新宿区, 東京都) http://t.co/hIUzmRaU"
今という時間を本気で生きられない人間は、いつまで経っても、マジには生きられないでしょう。
楽しすぎ(笑)＞＞【衛星発射】 北朝鮮「わが国は宇宙を征服してしまうだろう」 http://t.co/Qubh7g1S
私のホストちゃんの公開収録に来てます（笑）
"I'm at Zepp Tokyo (江東区, 東京都) w/ 2 others http://t.co/tq6oZeMs"
I just became the mayor of らーめん・つけめん三代目白兵衛 on @foursquare! http://t.co/1ZYEssWU
I'm at 歌舞伎町 http://t.co/E9u13eo9
@high69gt なるほー
@miyukiMelody ほほう！
@Secky45 ですよねー
@high69gt 近隣在住者かな？
@hahho_haho 痩せたい。。。
@mykmyk4645 ですよねー
そなんだ。日本に来てる外国人の友人がジブリ好きで連れて行って上げたかったんだけどねぇ〜 RT @sora_shinamon: @kiwipon 毎月10日だったかに次の月のチケット発売だったような。多分。すぐ売り切れます。前に東京行ったとき、前売り買えませんでした(｡-_-｡)
ジブリ美術館って完全予約制なんだ。明日明後日とかに行こうとしても行けないのね～。残念💦
微妙に、体調がフワフワ。昨日はミラクルが有ったけど、今日は、お茶かな。。。
@yuripoipoi あらら、、ちゃんと寝てね。。。
@Kanaske_ これこれ。。
@chika_t1229 わっしょい（笑）
一日一日が長過ぎる。のは、充実してるって事かな？
焼きうどんか、オム焼きそばか唐揚げが食べたい。。、
今日はベストを着てみますた。
@chika_t1229 どっちよ？？あ、報告に来てくれるんだね(笑)
@mikkoROC おれも六本木のスタバ好き～
@yuripoipoi お待ちしてます〜。今日はヒーが空いてる！
全体MTG終了〜ヤバい、今日、食べてない。。。
ブログを更新しました。「(ホス日記)三月折返し地点」→http://t.co/y6FL109V
@msx44 ししどん、いつ女装して来るの？（笑）
@erikodeees 第三東京市！
@haruboo0 ヘェ〜
近所の薬局で薬を含めて全品20%オフだった。
@sennentuki それが出来たら苦労は無いw
@denduino あれま。。
@dck_k だよん。
昨日は初めてヘルプにつかなかった日だったな。記念日。
@dabudabuniwa ん、家は有るんだけど、仕事の関係上こっちに来てるの。今度、お店にも遊びに来てね〜★
@yuripoipoi ぴぃーやしにくる？(笑)
@chika_t1229 チカちゃんはよく頑張ってるよね。そいえば、行き先は決まった？？
@chika_t1229 どったん。
@oonumanoriko 光になぁれ☆
@yuripoipoi ぴぃーや★
新しく寮に入ってきた人の、タバコが臭い。しんどい。。。
@erikodeees ありがとう。ここは歌舞伎町ダ。。えりたんだいぜうぶー？
@jury_kana 今の季節はUNDERWEARしかなかったり。。
@vio30 あ、コンビニにもありますか！？盲点でした。ありがとうございます！！
@kajittar 今日の夕方までに必要なんで(笑)
@haru16cherry おっ！てか、今は日本大通りだけど(笑)
白いTシャツどこで買えるかなぁ。。。。
"I'm at 日本大通り駅 (横浜市中区, 神奈川県) http://t.co/opfP8kiC"
この靴で走るのはシンドイ(笑)
@JunItabashi オウチに帰って、久しぶりに布団で寝たら出られなくなったパターン。そして、昼の仕事に遅刻orz
"I'm at JR 横浜駅 (横浜市西区, 神奈川県) w/ 3 others http://t.co/NmkNiBCc"
やばいぬ。ちょっと、デプレってた。
CWの過重労働と併せて考えせさせるなぁ＞＞これでは「ケースワーカー」は可哀そう ― 受給者を自腹で救って口頭注意 http://t.co/sf2l49bJ
弾さん理論だねぇ＞＞維新の会、遺産全額徴収を検討…共同通信 http://t.co/KNurhiZt
@hayakana どこが（笑）
多くの人々の″癒し″になりたい。
@chika_t1229 かっこ良いw
@JunItabashi およよ。大丈夫ですか？
日本政策学校の講義なり～ (@ 日本経済大学) http://t.co/LRH4tRoi
今日は日本政策学校の講義で、田坂広志さんの講義を聞いています。テーマは21世紀の資本主義の進化なぜ、日本型資本主義と日本型経営復活するのか。です。
@Kanonn_82 嬉しそうww
@eaksz すばらしいですねー。頑張ってください！
承知致しました
ちなみに今日のヘアメイクは、ほろよいの佐藤健風です。
@sayorin811 おつー。んじゃ、新宿に飲みに来ようか（笑）
@haru16cherry どったん（笑）
佐藤健 さとうたけるをさとうけんだとおもってました（笑）
@yoppy35momo かこいいw
@___YU___ ちょww
@mikkoROC ええのぅ～
@moyomoyomoyo なんか可愛いね（笑）
@teizuisun うけるww
@konyanpachi おつかれー
@teizuisun どうした。
@ahh_lucky 早く来なさい。ギューッってして、なでなでしてやーよ☆
@ahh_lucky もらってにゃーでよ(笑)あ、ピンドンマダー？
昨日からホワイトデーモードに入りまして候。
今日は、レッドブル飲めてないなー
@teim1978 3つのうち1つを忘れたなり。
【業務連絡】本日はおしのびくんはお休みです。
あ、携帯不携帯。忘れた。。。
@Kanaske_ うー裏山！
@yuripoipoi ナデナデ〜遠いぬ(笑)
@89matsuno ああ、その配列にしてもよかったなぁ。つぎそうしょ！
@Kanaske_ 飲むと食べちゃう(笑)食べるものに気をつけよ。。。
@hahho_haho レッドアイみたいな感じでしょ？美味しいと思う。。。
@Kanaske_ やっぢった。。
頑張ります！ QT @sHkkr: @kiwipon がんばって日本強くしてください 応援してます。
今日はシルバーにしようかな。
@keikokeiko55 いや、まだです(笑)夜の話！
@Kanaske_ 寝る前にカツ丼と焼きそばを食べるという暴挙に。。。
@hahho_haho おいらにビールを恵んでくださりませ〜
@keikokeiko55 わしょーい！新宿щ(ﾟдﾟщ)ｶﾓｰﾝお酒щ(ﾟдﾟщ)ｶﾓｰﾝ
@01251211 えっへん！
@keikokeiko55 からの〜、一緒に飲みませんか！(笑)
@k1300rs いかにも。
ビール瓶が10本目の前に並んでいたことは覚えています。。。
@yuripoipoi い、いつのまに。。。
@yuripoipoi 早く病院行きんしゃい。
@Bluecastle7 人形町？
@yuripoipoi おだじに。。
ヤバい、ウェストが細くなりすぎてベルトの意味が無くなりつつある。。りベルト買いに行かないと。。。(汗)
@ahh_lucky これ、店で閉店時に流れる(笑)
[PV]　ソナーポケット「好きだよ。～100回の後悔～」: http://t.co/WImpLrV8 @youtubeさんから
@Kanaske_ ふふ、残念でした。。。
@yuripoipoi されに来る？ナデナデ〜 ヾ(^ー^;)
@chika_t1229 あれま、、お大事にしてね★
@chika_t1229 オイデオイデщ(ﾟдﾟщ)ｶﾓｰﾝ
@omugikomugi あら、ざんねん。頑張りましょうっ！
@omugikomugi 是非是非。全力でもてなして差し上げますよ☆(笑)
@chika_t1229 さすがに、うぷは出来ないなぁ。。見においでんしゃい(笑)
@omugikomugi 新宿（笑）
ただ、髪型が微妙なラインという。。好きな人は好きかもだけど(笑)
@qu_qu9 是非、見に来て下さい(笑)
@omugikomugi 見においで(笑)
今日はメガネ男子で出勤です！（笑）
@nun_ のぞみじまんに見えた。
@sayorin811 おちゅカレー
@ririvanilla13 ナイスカレー（笑）
@mikkoROC お大事に～
@moyomoyomoyo @kkm711 全力で参加する！
@___YU___ お大事に～
@01251211 どこがww
@k1300rs いえ、これからお仕事でして(笑)セクキャバという単語が出てくるいそろくさんこそ極めてらっしゃいますね！！
@01251211 高校卒業してからだねー(笑)
@k1300rs いいえ、ホスクラです。
@01251211 楽しいよー
ブログを更新しました。「花粉の季節。。。」→http://t.co/JrXXzkKj
I'm at 歌舞伎町 http://t.co/kddrXLXZ
知人の漫画家宅でお昼をご馳走に♪今日の話はいろんなヒントがあったなぁ。ご馳走様でした。
I just used #Shazam to discover Kiseki by GReeeeN. http://t.co/DpN3lVaU
@yuripoipoi いやあああえ
"I'm at らーめん・つけめん三代目白兵衛 (歌舞伎町2-39-12, K会館1F, 新宿区) http://t.co/oce9zCEB"
猫が喋ってる！！ http://t.co/6D3tyHJx
"I'm at アルタ前 (新宿3-24-3, 新宿区) w/ 2 others http://t.co/PLzyplJx"
@pamyorin あいおーえすのアップデート
@pamyorin まじで、どこ？
ブログを更新しました。「浪江町視察報告と安全保障ディスカッション＠日本政策学校」→http://t.co/pq9uDLNt
I'm at 歌舞伎町 http://t.co/PUFm7aHF
@Kanonn_82 ぐっもーにん★
@haru16cherry お、三重じゃん。
薬の副作用じゃなくて、純粋に眠いってやつ。
【サッカーＵ－２３日本代表】 五輪切符懸かるバーレーン戦メンバーに工藤ら１９人（ニュース！http://t.co/GF3Aa2jC） http://t.co/elABqXnQ
@ririvanilla13 ま、高級ボトルだから、入れろとは言わないから大丈夫(笑)それでは本日？明日？のご来店を心よりお待ちしております(笑)
@Masaharu_emiemi 良いなー。ハラへ。。
@ririvanilla13 飾りボトル。ブランデーかな。ま、お店に来れば見られるヨ(笑)
@yuripoipoi 龍を喰らう！
@sysxtem 替玉です。麺を二玉ってこと。
お昼ごはん食べてないなぁ、と思った所で、替玉王子としては、ラーメン食べて、替玉したい訳で。でも、職業的にはラーメンよりラーセンの方が嬉しいのですが(笑)
@01251211 くそう、騙されたww気合で行っちゃったらどうすんだよ〜w
@Masaharu_emiemi 最近絡みなくて心配したぜーそかそか。ありがとう！
@yuripoipoi 漢方ではそれが一番みたいでござるね！
@hiromki93 φ(ﾟДﾟ )ﾌﾑﾌﾑ…
@sousetsu なるほど。ありがとう！
@01251211 遠いなww残念www
@01251211 やらないか（笑）
@kenji184 どもです！
@codawarishouten Fedexに空目しました（笑）
@fukumao 寄る寝る前に使おうかな～
目薬ですね！RT @co60gamma: @kiwipon ロートアルガード愛用中です
@pamyorin なるほ～
おお、アリガトウございます！RT @junitabashi: 眠くならないのはアレジオン、病院でも処方する薬です。RT @kiwipon 後で薬局で花粉用の薬を買おうっと。何が良いかなぁ？
@01251211 ｗｗ
後で薬局で花粉用の薬を買おうっと。何が良いかなぁ？
花粉のせいで頭がぼーっとする。アカンわ。。。
@yuripoipoi んんっ！？
@erina1121 姿勢もね～
@chika_t1229 モミモミ。
花粉嫌過ぎる。お休みなさい。。。
@yuripoipoi 雪にしか見えないけど（笑）
@harukonbu いいね！
@_hsy @___YU___ 大丈夫でそ（笑）
てへぺろだ。。凄い。RT @nun_ @kiwipon ˉ̞̭ ( ›◡ु‹ ) ˄̻ ̊
@yuripoipoi さんきゅ
@ako0212 そなんゃー
"しかも、予備の電池忘れたorz,,,"
テザリングのし過ぎで、ケータイ電源切れました。残念。ごめんなさい。
@newTokyoskytree (´・ω・｀)
@msx44 しんでまえｗ
@Kanaske_ そうじゃよ。
日本政策学校にて塩崎恭久元官房長官の授業を受けています。
鼻の奥が痛い。花粉の季節キターね。。。
"I'm at 永田町駅 (Nagatacho Sta.) (永田町1-11-28, 千代田区) w/ 2 others http://t.co/Pwlkqq5D"
@yuripoipoi そんな感じかな、がんばろ。
@ryouheizabieru こちらこそ～！
@Mimyy_zz9 そやねー♪
@09021227455 いろんな暗示があったみたい（笑）
@ukichan331216 ありがとうございます。おたがいがんばりしょう！
@Spple_Voice わー、嬉しいです、ありがとうございます！
@yuuzin117 こちらこそ♪
@blkpussycat 何とか逃れたいですよね〜
@ako0212 わ、わ！今度お会いしたいな〜
@iitan_bs2 take care:)
@celica0109 テヘペロ☆
@tamami0805 ありがとん♪
@JunItabashi ありがたやー！
@tmizu ありがとう！
@dqn_officer ども！
@nakagawasun 大丈夫でしたっ！ありがとう★
@konyanpachi ナイス正露丸！
@sola88san うん。ありがとう！
@satoru88_77 なんとかなりむしたーアリガトウっす！
@himako2 ありがとう★
@yapiaya ありがとう。大丈夫でしたっ！
I just ousted @aikonkonkon as the mayor of 歌舞伎町 on @foursquare! http://t.co/JA5Nueio
そっか、三月三日で彼がみまかってちょうど一年か、というか、今日が他界した事を聞かされて一年か。それを思い出させてくれる夢だったんだね。お線香あげに行きたいなぁ。
おいらのせいで人死んで罪悪感に苛まれる夢。RT @09021227455 @kiwipon どんな夢なのですか？気になります
@yuripoipoi テヘペロ可愛い（笑）
余りにも酷すぎる夢をみたせいでメンタル死亡。。。(´・ω・｀)
腹痛から頭痛の吐きそうですモードに。今日は、あと三時間頑張る！として、明日はゆっくり休もう〜。
うーん、なるほど、おいらはこん中でも概念的には相当先に行っているんだなぁ。やっぱ早く実践段階にシフトしないといけないなぁ～
うううう、お腹痛い。。
浪江町へ視察に行ったメンバーからの報告を聞いています。
@hahho_haho 歌舞伎町は日々成長しないと生き残れない。またおいで(笑)
@kaeru_198 Google検索や！
@01251211 俺に惚れると高いぜ〜(笑)あ、女子高生は無料や。
@Kanaske_ アナタガチュキダカラー！
@01251211 ナデナデ（笑）
@kaeru_198 ぐぐれ～
ゆいつーしん、又吉イエス発見( ﾟдﾟ)
@YuiMatsuda 名古屋わっしょい！ちなみに名古屋生まれっす！オカンは金城w実妹は名大生
@yuripoipoi うんにゃ。社会の中での役割～
@erina1121 えりにゃんペロペロ
@celica0109 アナタガチュキダカラー！
@ThinkTokushima ドスぇ～
@blackcat1027 ありがとう～、
@01251211 どうした（笑）
@Mai_Maria 職業病（笑）
@eternal_flame20 アナタガチュキダカラー！
@thunderbolt800 この仕事を始める前はそうだったのですが！
@YuiMatsuda わっしょい！
@JapanEdge えーっ（笑）
@takashi5055 さん、こちらこそ♪
@eternal_flame20 お昼寝しましょ～
そのトレンドの中で自分はどういう立ち位置をとり、どのような役割を担うべきなのか、手探りだけど模索しなきゃ。ある程度は見えてきたけども～
最近、橋下さんとか、地方政治家がクローズアップされているけど、本人たちが本当にしたいコトはさておき、マクロ的は基本理解としては、国と言う単位から、地方や地域と言う単位になっていくトレンドの中で一つの役割を担っているのかなぁと思って居ます。
素直に好きって言えない病
@erina1121 してくれるとおもうｗｗ
暖かくなると、眠くなるよね？？？困るｗ
@Kanonn_82 （今夜こそは、新宿に飲みに来るとかはどうですかｗ）
@Kanonn_82 今日はかなり寝られた♪
よく言われる（笑） RT @1000favs 女性に可愛いって言われた男性は素直に喜べばいい。男性に可愛いって言われた女性はオカズにされてると考えればいい。女性に可愛いって言われた女性は社交辞令だと思えばいい。男性に可愛いって言われた男性は身の危険を察して逃げればいい。
@Kanonn_82 まぁまぁでした☆
@ahh_lucky わっしょい（笑）
今日は、学校行ってから、９時～１０時台に出勤することにした。微妙な時間だけど、さすがに、同伴は見つからないかなぁ・・・？
@yuripoipoi きいてみるー
ブログを更新しました。 『ドラマ「私のホストちゃん」のイベントに参加♪』 http://t.co/0tPqap4m
甘王なめんなよー！
@maron7007 いつも、美味しそうに写真トルネ～
蛍の光以外に、閉店時に何故か流れる曲。＞＞HUNGRY DAYS　明日に向かって【LIVE】: http://t.co/ZBKVdm2C @youtubeさんから
@5635634 爆笑ww
虎の子　とらホー！ http://t.co/D7DNsZZE
"I'm at アルタ前 (新宿3-24-3, 新宿区) http://t.co/M3ZEEV9r"
ブログを更新しました。「田中康夫氏講義　＠日本政策学校」→http://t.co/8SjZ7WmM
@01251211 おはよん♪
@Kanonn_82 おはよん♪
@JJ1203My お昼寝には遅いかなぁと（笑）
@mako6300 にゃーん
@fukusuketabico お、残念。
@yuripoipoi  にゃー
ちょっと仮眠します。
RT @owawriter R-1決勝進出者はAMEMIYA、いなだなおき、COWCOW多田、キャプテン渡辺、サイクロンZ、スギちゃん、徳井義実、千鳥・大悟、友近、ヒューマン中村、ヤナギブソン、野性爆弾・川島の12名。 http://t.co/TpLJpDfg
"I'm at 東京メトロ 銀座線 外苑前駅 (Gaiemmae Sta.) (G03) (北青山2-7-16, 港区) http://t.co/o69vxxbO"
@ahh_lucky おちゃけ(笑)
つ、潰される。。。
"I'm at 新宿二丁目東 交差点 (新宿2, 新宿通り, 新宿区) http://t.co/5Q1CCHhp"
やってなかった。。。 (@ 恒城) http://t.co/pUCylPha
@moyomoyomoyo 急がないと！！！
@___YU___ テヘペロ（笑）
@Kanaske_ うおおおお！まざりてぇ！！ソロソロ仕事だけど、同伴してくれるなら一緒に焼けるなww
@delicious15nao 男子～ありがとん！
@ahh_lucky イレチだったね～うpしたよん
今日の髪型のポイントは右サイド。 http://t.co/EnPVE5ah
@syuhadselamat yeah!
@___YU___ おいらと同伴で（笑）
@___YU___ あ、新宿！
@_hsy 美味しそうじゃん。
@sayorin811 がんばりー
@moyomoyomoyo 読まなきゃ。
@jennifertokyo わざわざ潰さないから。。
@chika_t1229 iPhoneは無事なんだ！
@maron7007 いいな～
@syuhadselamat thx!
@JJ1203My すご。。
観たいけど、仕事。。。RT @yuripoipoi 見なきゃ RT @mzk316: きょうサザエさん見なきゃ RT @gazo_waraeru: プリキュア対サザエさん、今夜第三戦！ http://t.co/yYliKb6e
@chika_t1229 一人称がぼくなのに密かに萌えました。
@forzaoldbasterd こちらこそありがとうございました！
@Takeru330 こちらこそありがとうございました！
@ivataxi こちらこそ！
甘王とハイタッチしたことあるオレは勝ち組！！
@k1300rs 女体盛り的なものとは違うぜ
髪型 RT @szays12fish: @kiwipon それはなんですか!?
@lightgalangal しませんw
今日はキャバ嬢盛りに挑戦です！！（笑）
@sennentuki 結構美味しかったー
@ahh_lucky ほうほう。最近はおでこぜんかいろせんです。
@jennifertokyo 結構うまかたー
@yuripoipoi ん、天皇陛下が、心配でオムタコのURL??
@yuripoipoi これは美味しそうだ。。あ、今度、家で作ろー！
@shinonome313 いいね（笑）
@tack0720 そうですよん♪
今日はこんなん。。。いつもと違うところでお願いしましま。 http://t.co/MelaI8en
これ潰れてるじゃん＞＞マックの新作「レタス＆ペッパーバーガー」が見本写真と違いすぎると話題に http://t.co/gjjUnyqo
これはヒドいくないですか。。。＞＞動物愛護法改正で「猫カフェ」夜８時以降の営業禁止へ…「猫は夜型で元気」と不満の声 http://t.co/dqLoxva3
@01251211 ほう！
@yuripoipoi アヒャ！たんたかたーん！
@Kanaske_ ありゃ、おやすみん
@ahh_lucky あったよん♪ありがたい！
@lovepeaceworld うわーん。
@yuripoipoi よかよか^^いつもありがとうにゃ！
@Kanaske_ きーつけてなー
@lovepeaceworld おお、近いんだ！今日おいでよ(笑)ヒマなオイラを救ってくれええええ！
@lovepeaceworld おお、近いんだ！今日おいでよ(笑)
@lovepeaceworld 新宿〜
@lovepeaceworld 寒い上に雨だからかなぁ〜。ヒマだったら是非、ご来店を(笑)
稀に見るヒマ営業。外でチラシまき。寒っ！
"I'm at 歌舞伎町一番街 (Kabukicho Ichibangai) (歌舞伎町1, 新宿区) http://t.co/mD6wFEr0"
I just ousted @inouexx as the mayor of シネシティ広場 (コマ劇場前広場) on @foursquare! http://t.co/QLPZotz5
今日、寒すぎない？？
"I'm at 東急 田園都市線 二子玉川駅 (玉川2-22-13, 世田谷区) http://t.co/Rwkh1Qxo"
"I'm at 青山一丁目駅 (Aoyama-itchōme Sta.) (南青山1-1-19 / 北青山1-2-4, 港区) w/ 6 others http://t.co/0VWfz2MG"
"I'm at 株式会社ビジネス・アーキテクツ (Akasaka4-13-13, Minato-ku) http://t.co/hAau1OXO"
自民党らしいっちゃーらしいなぁ。＞＞生活保護は現物支給へ 自民党提言 http://t.co/vM8nJy4n
@maron7007 見た目と違って美味しくなかったんだwサッカー観戦は好きだけどねっ！
@yuripoipoi おむおむ♪
@aozora_nyanko 楽しみにしてます(笑)
@ahh_lucky 今日は黒スーツだけどね！(笑)
外でチラシまきの巻〜
@yuripoipoi 名前がビヨーン
OTL RT @aikonkonkon: I just ousted @kiwipon as the mayor of 歌舞伎町 on @foursquare! http://t.co/JA5Nueio
I'm at 歌舞伎町 http://t.co/qGd9KbLP
@yuripoipoi ハデな感じが！
@maron7007 倒れて寝る辺り。あと、六本木のオムライスのお店教えて！
@maron7007 可愛い（笑）
@chika_t1229 治まって良かったなり～。
@pink_x_bunny ありがと！
@infinitySHERRY thx！
@dck_k ま、飲めないホストも居たりする訳で(笑)
@yuripoipoi ありりん♪
@diamond_sa_ 頑張ろっ
@nun_ 今度同伴して下さい(笑)
@koshimi_an なるほど！
@narikoma そんな繋がりが！
うーぬ、今日は本当に飲めない気がする(笑)
今日はかなり体調ヤバいぞ(笑)
@nun_ ふふふ、ありがとうっ❕
ふぇぇぇ、ゆらゆら。
おやすみって贈ろうとしたら「おｙ」しか打ててなかった。おやすみなさい。
今日みたいな集まりは本当に、貴重。
ホント戦い。戦友が居るようで、その実は孤独な戦い。
@ahh_lucky ピンドンってそっちだと幾ら？？結構、地域差有るよね〜
今月発売だ～楽しみだ～！！（やってる暇ないだろうけどｗ）＞＞『ポケモン＋ノブナガの野望』公式サイト #pokemon http://t.co/CcTcVGsV
おお！＞＞#mynavinews 3DSドラクエ『テリーのワンダーランド3D』の発売日が決定- 3DS本体同梱版も http://t.co/kB1048NK
@yuripoipoi ありがたやー
ブログを更新しました。 『二月総選挙 結果報告と御礼（ホス日記）』 http://t.co/hWBFLFHk
苦しくても、生きてみるよ。「精一杯やった」って死ぬときに思えるように。（HUNTERXHUNTER）
@ahh_lucky http://t.co/q3VDhEh2
"I'm at 浦安駅 (Urayasu Sta.) (T18) (北栄1-13-1, 浦安市) w/ 2 others http://t.co/g2CxsJFF"
@yuripoipoi 熱下がった？？
@yuripoipoi がるるる。。。涙
雪降ってる。、。家帰るの面倒い。。。
あ、あ、あ！ナンバー入れませんでしたぁぁぁぁあ！悔しい！！！！
