text
そろそろ向き合わねばならんな、唐揚げを味噌汁に浸して喰う俺氏と。
【悲報】俺氏「なぜヒトは抗えきれないのだろうか」。 https://pic.twitter.com/gDILID4g9c
【悲報】俺氏、就職の書類上の｢他社の選考状況は？｣って欄をかれこれ一時間悩んでる。「書くとその会社が本命でないことがバレる？」「無記入はダラダラした生活を想像させる？」「業界を絞るべきか？」「内定辞退しないオーラを」「書く数はいくつが適切か？」頭痛いたん。
【悲報】俺氏、就活書類の「短所」のコーナーがトラウマ。人事「短所とは言え、致命傷に見えちゃダメ」→「そう言うともはや短所じゃなく長所でしょ？」→「短所はありません？完璧な人間なんていないよ」→どうすりゃいいんだよ。
@salvere_001 勝者には働く権利（社畜）、なかなかの闇のゲームだわ。ちなみに敗者には祈りでマインドクラッシュ。
【吉報】俺氏、超大手企業の給与と福利厚生のページを見てニヤニヤする遊びを開発。
@caland48 プラマイゼロ戦法ですな。考えてみる。サンクスＵ´ㅈ｀Ｕﾉ
【吉報】俺氏、折りたたみ傘に6000円費やす。今日から折りたたみリア充。とか言いつつ、【悲報】俺氏、雨の日は予定をキャンセルしてでも外出ない。
【悲報】俺氏、履歴書作成しながら｢所詮こんなの言葉遊びじゃないか。だったらポエマー採用しろよ。だったら俺本気で吟じるからさ｣などとブツブツ言ってる模様。
@yamadasekijin ああ、昔テレビでそんなの居ましたね(笑) 正しくは、英語で詩人はポエットなんですけど、日本人の謎英語力でポエマー（造語）と言う方が意味が伝わりやすい不思議なう。
【悲報】俺氏、ある大手企業を受けようとしていると、知り合いに｢そこ、ノルマ達成できんかったら、鼻にねりワサビの刑らしいぞ｣とか言われる。マジでか！？こわたんこわたん。
@yamadasekijin きっと許してはもらえないんやで。
@yamadasekijin 検索したら｢和製英語｣って書いてあった。へぇー。
【大発見】俺氏、そうめん食べるときに汁（つゆ）に生卵混ぜるとウマーＵ´ㅈ｀Ｕふふふ
@ahahaha2014 友達には少し会いたい気がしないでもないが、日本には日本の友達が居るからね。奴らが日本に来れば解決。日本のがやっぱり心地いいよ。
@Ya_nirv 予想通り、三ノ宮ですよー。
@Ya_nirv 実は三ノ宮は電車ですぐだからな。むしろWelcomeオーラより仲間オーラが欲しいＵ´ㅈ｀Ｕﾉ
【驚愕】俺氏、歩道のタイルの柄とクロワッサンたいやきだけで居場所を特定されるｗｗｗ
あかん。これ、余裕あるからって寄り道して遅刻するパターンや。
【悲報】俺氏、吊革争奪戦に敗北。
【悲報】俺氏、証明写真撮ったらシーマン。
【悲報】俺氏就活生、マッチングイベントで、１０社に｢ノー｣と言われる。俺どれだけ使えないやつなんだ……。
@chr_reiu それしかないよな。うん。僕、頑張るよ。
【悲報】俺氏、家に帰ってきたけど、なんか家に帰りたい。
【吉報】俺氏、近大マグロ食べてきた。【悲報】俺氏、お会計9000+円。。。 https://pic.twitter.com/PrzqSMD39x
【悲報】俺氏、エスカレーター乗るの下手。
【悲報】俺氏、空気読んでないのではなく、空気を読んだ末、空気を読まない選択に至ったんだ！と言った後の空気読んで、このギャグは以後使われなかったとさ。
【速報】俺氏、カプセルホテルなう。この宇宙ステーションっぽさ、最高！値段高いホテルと違って、｢僕、ここにいていいんだ！｣っていう自己肯定感でより心地よい。 https://pic.twitter.com/GK8fC88fJq
@pika737 うんうん。クリーンな感じがいいね。
俺氏、これ欲しいような欲しくないような。弱体化するから混ぜたらあかんて。やっぱ、純ポンデライオンが一番やで◯(･ω･)◯ https://pic.twitter.com/5CKXOzqkEv
【悲報】俺氏、人事の皆様、汚い字だけども22と思ったら23だったけどもどうかお手柔らかにお願いします。 https://pic.twitter.com/HTSLz3UTxQ
@Ya_nirv うん、日本。海外の仕事にも興味あるけど、今は日本にいたい。
@Ya_nirv ありがと。僕がんばるからこれからもよろしくＵ´ㅈ｀Ｕ
【吉報】俺氏、ICOCA（関西のPiTaPa）をリニューアルしたら、かわたん。 https://pic.twitter.com/1DJJ6Fg7sW
@yosshi2chari イマイチSuicaとPiTaPaの違いがわかってませんでした。調べるとどうやらSuicaのが近そうです。正解です。指摘Thanks!
俺氏、これ欲しいたん。 https://pic.twitter.com/x8K2vBhorK
【速報】俺氏、初クロワッサンたい焼き。これは美味い。【悲報】俺氏、順調に太っていく。 https://pic.twitter.com/S2Y8zFIdoP
@Hir0tHer0 名前からもう美味いもんな。こいつは反則レベルだぜ。
現在、就活用の｢一般常識｣の問題集をやってるんだが、一般人すげぇな、おい。あんたらすげぇよ。
なんでもアニメっぽいキャラ載っけとけば売れる法則（？）なう。 https://pic.twitter.com/nT0zPxBmsQ
@MacroSpeculate 外資でもいいが、僕は日本に居たいでございまする。
@RANMARUWW ノー！中年、ノー！とりあえず永遠の14歳を名乗る以上まずアンチエイジングをする。最近ジムに通い始めたぞい。35とかで激動の十年間だったみたいなことをなんかのインタビューで言えるよう頑張るＵ´ㅈ｀Ｕ
【悲報】俺氏、女の子とLINEで裏の裏の裏を読んで読んで読みまくったが、ボケたい衝動を抑えきれずに撃沈。
【吉報】俺氏、「LINE モテる男｣で検索しレベルアップ。これでモテモテやで。
【吉報】俺氏、前回の合コンで会った女の子にお茶会のご招待をいただく。【悲報】俺氏、加速する勘違い？！
【悲報】俺氏、句読点代わりに｢！｣とか｢♪｣とか使うのに体力を使う。これだから恋愛ってやつは。。。
@RANMARUWW 人生に一段落つけたら行くよ（重々しい）。
【速報】俺氏、ZOMRAMEN。 https://pic.twitter.com/HnunK206Ny
【速報】俺氏「結婚を前提に付き合う前提で友達になる前提で知り合いになってください」
【悲報】俺氏、合コンで闇のチカラに覚醒める。女性陣の誰からも「今日はお疲れさま〜☆」的メールすら来ない。そしてお礼を送るも、既読無視。「進撃の巨人」に続く大ヒットなるか！？「追撃の俺氏」！！！
【速報】俺氏、謎カプセルを発見。 #大掃除 https://pic.twitter.com/FCLtVEV7MK
@2525hiro マジか。でも賞味期限が怪しいんだが（逃げの一手）。
【悲報】俺氏、輪ゴムが瞬間移動するマジックを合コンで披露しよう計画、話した段階で友達に止められる。
自己満足の成れの果てがグランフロント大阪でウロウロしておりますが、どうか見かけても膝カックンしないでください。写真は、さっき食べた謎オシャレなソバ。 https://pic.twitter.com/a86ttpPzEf
@hisuix 俺も気になったんだけど、気になったどまり。この謎センスかっこいいたん。
【悲報】俺氏の実家、冷蔵庫の整理ができてなくて、賞味期限が2010年の食材が出てくる。
今の子が見たら「なにこの新手のマッサージ器？」ってなるのかしら。 #大掃除 https://pic.twitter.com/2X8qo73MAj
@wataruhohoho そうそう。そろばん、脳にいいとかよく記事で見るよね。僕は今、基本がギリできるかどうか。
【吉報】俺氏、妹からポンデライオングッズをもらう◯(･ω･)◯ https://pic.twitter.com/LhSZyse9jm
ポンデ火に入る夏の虫◯(･ω･)◯ふふ
【吉報？悲報？】俺氏、留学について悩んだ結果、頭に「好きなことで、生きていく（YouTuber）」が浮かぶ。しかし、……。ここでいわゆる成功例を見てみましょう。http://youtu.be/i-V2bjTXZEs
【悲報】俺氏、履歴書の特技欄と向き合うことかれこれ１時間、大喜利枠にしか見えなくなってきた。特技：めちゃくちゃ指パチパチ鳴ります。あかんか……。どうしたものかね。
@yodatomato 闇の人事「それを弊社にどう活かすおつもりですか？」が恐い。
@ichimaiba そんなん用紙に書かず触らせたら一撃よ。別のアピールポイント探さなな。
なにこの、同じアニメから来たっぽさ。※コアラのマーチとポンデライオンの仲間 https://pic.twitter.com/Cxgh2NYl9j
【悲報】俺氏、日本の本屋やスーパーマーケットに行ったらあまりにも快適で、留学先に若干戻りたくないの巻。写真は買ってきたもの。難消化性デキストリンなう。 https://pic.twitter.com/Jgs5uEP9dD
@4416ragan いやあ、意志が砕けていくというかなんというか。一度決めたらやりとおすって発想があるので、謎のプライドによるダメージがあるのよなー。まあ、【吉報】俺氏、日本楽しい。でも間違ってない気もする。
@4416ragan いえいえ。リプライごちそうさまでしたＵ´ㅈ｀Ｕ
手相を占う系真実の口。こいつには数知れぬほど手を突っ込んだが、金を突っ込んだことはない不思議。なんか申し訳ないので、次回こそは……。 https://pic.twitter.com/hmoQ5Hu5aW
俺氏、実はアングリーバードも好き。この子は僕の八つ当たり引き受け役だわ。 https://pic.twitter.com/0D1Anuw6VO
【特報】俺氏、実はお茶犬も好き。 https://pic.twitter.com/b3nidDITfL
さきほどの横側。 https://pic.twitter.com/5HTeHZl2ea
【吉報】俺氏、コスパ最強アイテム購入。 https://pic.twitter.com/T6zuNgbUGZ
@tsuyoshikore うわ、結構知ってる人だ。いつもご来場（？）ありがとうございます。これからもよろしゅう。そしてサンクスＵ´ㅈ｀Ｕノ
【速報】俺氏「あ、メールだ！え、なんぞ、隠し求人って！？」
【吉報】俺氏、ちびまる子ちゃんスクラッチ2000円購入で1万円出た！今日からあんたもう「ちびまる子さん」や！（感謝の意） https://pic.twitter.com/0uz7rrB6Dq
進撃の既読無視なう。
【吉報】俺氏、ソルティライチ。さきほど日本のSIMカードをゲットしたので糞つぶやき活動を再開。 https://pic.twitter.com/ZhTzF61v4x
【吉報】俺氏、ミシュラン星獲得ラーメンでミシュランリア充なう。７３０円で極上の幸せ。 https://pic.twitter.com/UPfW9XZCB2
【悲報】俺氏、みがわりのぬいぐるみを買いに来たけど売り切れてた。三回くらい再販してるので次こそ。 #パッションが足りない https://pic.twitter.com/7b6vxo6Mda
@tsuyoshikore 終わってないつもりだが、家庭やら世間やらシステムやらの関係で強制終了する可能性あり。僕の頭はパンク寸前だよ。パン屋さんが炭水化物ダイエットブームを目の当たりした瞬間のようだよ（イメージ）。
【吉報】俺氏、帰国後最初の食事。ごちそうなう。 https://pic.twitter.com/54eeNdQd2S
子供ができたわたし。 https://pic.twitter.com/62DoaQV23n
@ahahaha2014 お家にあったの。誰も食べないのを知ってるから消化した。
【速報】もし俺氏が「もし高校野球の女子マネージャーがドラッカーの『マネジメント』を読んだら」を読んだら。略して「もしオレ」なう。 https://pic.twitter.com/Jykn41Gyhc
この回るドアめっちゃ好きＵ´ㅈ｀Ｕ https://pic.twitter.com/jb1ujlzfKH
あえて絵のない絵本（幼児用の本）という試み。すごく攻めてる。 https://pic.twitter.com/k6UM297fiw
ビッグフットの毛（サンプル）だとかなんとか。 https://pic.twitter.com/JI62uNcX7T
【吉報】俺氏、めちゃくちゃかっこいいリュックを見つける。 https://pic.twitter.com/3LrIR7COrM
【吉報】俺氏、お菓子に散髪のクーポン券が付いてる変なビジネスモデルを発見。中身はキャンディーらしい。 https://pic.twitter.com/7hFpStf4IJ
【速報】俺氏、一時帰国する。 https://pic.twitter.com/Zz0OdqhqVe
【吉報】俺氏、本日はスタバリア充。ぼくは真理のなか新刊なう。 https://pic.twitter.com/yw7d6AvzMe
@yuuutuharuhi あ、麻理だね。誤字った。
【悲報】俺氏、テスト中、マークシートにシャーペンが貫通。大きな穴がてきてしまったわ。なお、俺のテスト対策も穴だらけの模様。これが原因で心にまで穴が。穴はドーナツだけで結構。
@4416ragan サンクス。なお、もともとのオチは下ネタだった模様。
【悲報】俺氏、期末テスト終わったけど、ミーティングの待ち合わせ時間のせいでやりたいことができず、元ルームメイトを題材にネタイラストを描き始めた模様。宇宙的に初公開、これが僕の元ルームメイトさ。 https://pic.twitter.com/zxX0XzObNb
【吉報】俺氏のルームメイト、比べたら全然違うんだけど、カンブリア宮殿のテーマのギターの人っぽい。Joe Satriani - Crowd Chant [LIVE] on YouTubehttp://youtu.be/AkgmCNAc-48 https://pic.twitter.com/xt4P2cM21k
【吉報】俺氏、期末テスト終わったので、焼肉来たぜ。【悲報】俺氏、友達皆が中国語を話し始め会話に参加できんためTwitterを始める。 https://pic.twitter.com/b6LyaCNMZn
【吉報】俺氏、財布を忘れたからおかねを貸してって言うとなぜかおごってもらえてしまう法則なう。
【悲報】俺氏、さっきまで地下アイドルを何やらエロい存在だと勘違いしてた。
@tomopiln ありがとう。でも、本当に凄いのはiPadとProcreateってアプリで、僕の技術はゼロだよ。
【悲報】俺氏、辛いのはダメだって！だって辛いもん！ https://pic.twitter.com/GU5Agg4nNk
@Ni25G_n すまん、時間ないｗｗｗ
最近よく聞かれるので、僕のLINE貼っておきますね。LINE ID=@fbq0132fあと悩み相談とか受け付けてなかったけど来るので、受け付けてることにします。【悲報】俺氏、就活で事故ったくせによく就職相談をされ、その人達の方が僕より先に社会人になっていく法則……。
【悲報】俺氏の買い物、俺氏「日本の友達にお土産なにか買いたい」店員「それだったらamiiboだわ」俺氏「アメリカらしいものがいいんだが」店員「まさにamiiboよ」俺氏「任天堂は日本のだけど」店員「ならソニックのamiiboとかどうかしら」俺氏「……」
俺氏、これ食べたい。 https://pic.twitter.com/A5A0zbldj4
【悲報】俺氏。 https://pic.twitter.com/Tlcfq4H0Bs
【悲報】俺氏、自分は凡人であることに気付く。涙が出てきた。
【悲報】俺氏、酔っ払い時にiPadで書いたものが怖い。 https://pic.twitter.com/wx5jlF8DEL
@tori_toritorin 自覚ある（ツイートしてる）時点でサイコパスじゃないかな。狂気と再現を意識してるんだわ。それが話題になりそうなのも自覚してるし、まともだと自分だと主張するために弁解リプライしてるし、なんかネタっぽい。すいません、おそらくファッション鬱ですな。
@KR_Satoshi リプライさんくす。きっとツイートする話題を意識して作ったのだわ。かっこいい自分から離れてるから酔っぱらい特有の衝動だわ。たぶん病んではない、と思いたい。
【速報】俺氏、お腹空いたので、手にカボチャを三回書いて舐める。そしたら、なぜかじゃがバター食べたくなった。留学生なんだが、来週日本帰ったら、まず松屋、次にじゃがバターとバターコーン食べようと思う。ここだけの話、デブになると食べたいものがデブになる要因ばっかになる不思議。
@tori_toritorin 引き続きリプライありがと。サイコな芸術って難しいよな。今さっきのって、あからさまにわからない何かなんだよね。サイコパスが書く絵はきっと伝わりそうで伝わらない何かで、「あれ？これは顔？」とかなるのよ、きっと。まだまだ僕は勉強中だわ。 #どこに行く、俺
@tori_toritorin lol. わかんないけど使ってる言葉って多いよな。僕もさっきサヴァン症候群をググり直したｗ
@KR_Satoshi サンクス。どうやれば休まるかわからんけど、寝たり瞑想したりしてみるＵ´ㅈ｀Ｕﾉ
【吉報】俺氏、ふとっちょ☆カウボーイとかいう芸人のネタを見て、「俺、まだ頑張れるわ」って思った。http://youtu.be/Wb9jKx802pE@753Junny 僕、元気になったよ！ありがとう、ふとっちょ☆カウボーイ！
みんなー、こんにちはー。ぶたのお兄さんだよー。
先日のマシュマロ味のスミノフという失敗に反省せず、本日はマンゴーブラックティーレモネードとやらをスタバります。 https://pic.twitter.com/8ZAZ2McYTD
@XxmemerinxX 報告。カルアミルクのような、酒というよりデザート向けの味で、なんかこれ違うなーってなりました。盛り上がるためのドリンクって位置付けで、独り飲みには向いてませんでした。しかし、まずかったわけではなく、居酒屋だとそこそこ人気出そう。ちゃんとマシュマロの味。
@MooJaaaa 報告。カルアミルクのような、酒というよりデザート向けの味で、なんかこれ違うなーってなりました。盛り上がるためのドリンクって位置付けで、独り飲みには向いてませんでした。しかし、まずかったわけではなく、居酒屋だとそこそこ人気出そう。ちゃんとマシュマロの味。
@A3K_r その場ではウワーッってなったけど、絶望ってほどではなかった。カルアミルク飲むイメージで飲んでればむしろ美味しいと思えたかもって感じ。瓶ではなく一杯で売ってくれるなら良いんじゃないかと。居酒屋とかだとそこそこ売れそうな味。
@A3K_r ポイントは、マンゴージュースなのか、お茶なのか、レモネードなのか、というところ。名前見たときに想像した味そのものだった。でも、正直なんか微妙い。
本日最大のミス。不味かったのではなく、問題は値段。なんとなーくレジに持って行ったら500円くらいした。レジでピッってやった後、「高ッ！？」ってなったが、色んなものが頭の中で渦巻いて払ってしまった。代わりに本1冊買えたと思うと後悔なう。 https://pic.twitter.com/nlJ9bfhdrQ
【悲報】俺氏、好きな子（彼氏持ち）のブログにコメントを残すためにアメブロアカウントを作る。なぜヒトは過ちを繰り返すのか……。
【吉報】俺氏、スミノフ（マシュマロ味）を調達。 https://pic.twitter.com/E1mmh97k42
@MooJaaaa 予想するに、間はなさそう。超うまいか、超まずいか。感想は、数時間後ポストしまーす。
@XxmemerinxX 予想するに、間はなさそう。超うまいか、超まずいか。感想は、数時間後ポストしまーす。
食べた後もわからない何か。 #中国ビュッフェより https://pic.twitter.com/QN2tpFDZXM
まだ中国ビュッフェにおりまする。ブラッディーバナナなう。 https://pic.twitter.com/QPV9kmm4lQ
くぅっそ！大事なレポートのそこそこ需要な部分をしくじってた、それもかなりダサく。「Sign a contract（契約にサインする）」を「Sing a contract（契約を唄う）」って書いてた。うわー。 #いやむしろかっこいいんじゃね？ という #勘違い なう。
友達（なのか？）が来るということで衝動でケーキを買ってみようかと思った昨今でありんす。 https://pic.twitter.com/zgejNnE2ng
@anemone32 結局買わなかったんだけど、前に似たようなやつ食べたよ。そんときは「まあ、スーパーマーケットのケーキだからこんなもんだな……」って感想。おそらく日本のコンビニのケーキに味では勝てない。
@anemone32 これで怪しいとか言っちゃいかんよ。次にスーパー行ったらもっと怪しいの撮ってくるよ。上には上（？）があるのだわーっと。
@anemone32 アイスだったら七色見つかりそう。
僕の頭の中をみんなに移植したらこうなるって世界を夢で見てきた。みんな、僕みたいにならないでください（切実）。
今、学校に着いたんだが、頭にアイマスクくっついてた、、、。
俺氏が試し書きするとこうなる。 #頑張ったけどダメだった…… https://pic.twitter.com/jqSJtxLhvd
【悲報】俺氏、絵では話にならないので、ボケに逃げる。 https://pic.twitter.com/CFLQJlIyq4
【吉報】俺氏、実家に洋書棚を設け、友達を部屋に呼んだ際に、「ああ、そこからそこまで全部英語」とかどや顔する計画なう。
【速報】俺氏、#nowplaying 禁断無敵のだーりん - アフィリア・サーガ http://appstore.com/ubio https://pic.twitter.com/W6IFfpyTcz
@FRONTALICE31337 うむ・・・。
【速報】俺氏、リスと遭遇。 #どこかわかるかな？ https://pic.twitter.com/FhjhvzrDjO
@kazjub それそれ。 https://pic.twitter.com/P4GkQOasl7
@TF141ghost くッ、バレたか！（木にくっついてるよ。）
【吉報】俺氏、シザーキック。 https://pic.twitter.com/CSMerWMpfn
【悲報】俺氏、朝マクドタイム、僕はナゲットが食べたいのに。教科書読みながらあと30分待機。日本の朝マクドと比べてなんか見栄え悪い気がする件。視覚的になんか足りない。アメリカのマクドはドリンクバーだわーっと。 https://pic.twitter.com/oDdweeNCYQ
@77nr_ むふふふ。留学生、本日はムァクダノォ ｽに来ております。日本人はMcDonald’sをマクドナルドと呼ぶが、他国では全く異なる発音なのだわ。YouTubeで発音レクチャー見つけてきたのでどうぞ。http://youtu.be/UKrxBUYsq2Y #いきなり始まる豆知識講座
@risa_fj マクドナルドのことマックって言うなら、ミスタードーナツのこともミッスって言えばいいよ！（関西人、マイノリティーであることに絶妙な心地悪さを感じ、謎の論理性を発揮し何かを必死で誤魔化す）。
@LucifNon http://sp.nicovideo.jp/watch/sm219137ならニコニコをペタリＵ´ㅈ｀Ｕﾉ
@LucifNon 幼少期のビルゲイツ動画（もちろんホンモノじゃないが）
@LucifNon わからなくてよい！感じるのだ！
@Ya_nirv 実は小銭の数は同じだったりするよー。アメリカでは、1ドル（120円相当）が紙幣だからね。まあ、おつりが細かくなるってのは同じ。
練乳のミルク割りを飲んでいる、なぜかビルゲイツの顔を思い浮かべながら。
@LucifNon 正しくは練乳入りミルクティーなんだが、ティーの要素がほぼ無くてね。ビルゲイツ思い浮かべながらってのは、さっき「幼少期のゲイツ」動画を見たのが原因かも。面白いから見るといいよ。http://youtu.be/R-PH7-88T6g
@ahahaha2014 【悲報】アハ氏、ギャグのツボがわかってない。http://dic.nicovideo.jp/t/a/ロリコン
【吉報】俺氏、記念すべき29204ツイート！！！
【悲報】俺氏、闇サイクル。目の前の道が通れないだけで「僕の人生、いつもこうだ」とか思う。 https://pic.twitter.com/brHbMlH6FQ
@Udone1_7 すまぬ。ネタがないときのネタ。いわゆる「誕生日じゃない日おめでとう（不思議の国のアリスより）」的な。
＄10.55の買い物に、＄21（20ドル札と1ドル札）で払おうとしたら、「なんで1ドル出すの？足りてるよ？」と返された。追い込まれてる豆腐メンタルの僕にはこれが正直辛い。アメリカで僕はよくわからない人間になろうとしているのか。 https://pic.twitter.com/hComwsiJt0
はじめてのおつかいってテレビ企画で、ある子供が買い物後におつりを受け取り、「もの買ったのにたくさんお金くれたよ。あのお店の人、いい人だね」みたいなこと言ってたのを思い出した今日この頃ですが、みなさんブリトー食べてますかー？
メンタル的にボロボロな今日の僕だが「苛まれる（さいなまれる）」と「劈く（つんざく）」って漢字が読めたから頭の回転的には調子がすこぶる良い。※普段は、たまに「雰囲気（ふんいき）」がタイプできずイライラする僕だわ。
【悲報】俺氏の友達、カバンと髪が特殊系。 https://pic.twitter.com/pPfFS0G26B
謎クリエイティブな今日この頃、俺氏のメモ。 https://pic.twitter.com/b38ua0I1GC
俺氏のニューバランスvsニュータイプペット（イタチ系）。 https://pic.twitter.com/9B2HtBRKKP
【悲報】ロリコン好きのお兄さんという新ジャンルなう。
【吉報】俺氏の元ルームメイトのiPhoneケースが清々しくダサい。 https://pic.twitter.com/DC1Giu1LLJ
【悲報】俺氏、何も考えついてないのにツイッター開いて「【悲報】俺氏、」と打ってた……。
【悲報】俺氏の、切れる。 https://pic.twitter.com/vlytTWeyi6
「人間性に反するカード－クソヤロウのためのパーティーゲーム－」、キャッチコピーは完璧だけど、日本人がやるとすごく寒い空気になるだろうカードゲーム。 https://pic.twitter.com/5lUigW09lD
彼の名前はミートボール。僕のお皿にあるチキンウィングを狙っている。 https://pic.twitter.com/707KP9kVX0
【悲報】俺氏、珍しさを追求して金箔入りの酒をパーティーを持っていくも、上がいた。プレッツェル味のビール。 https://pic.twitter.com/xjjwgFU1Tn
【悲報】俺氏、謎カルチャーとの遭遇。理由なく炭火なう。背景にはコップを狙ってピンポン球を狙うゲーム。カオス。 https://pic.twitter.com/sk8kRwJ35Y
@kameneko55 全員同じ山を使ってジョークを繰り出すの。勝者はお題カード読み上げた人が決める。ゲーム性よりも会話を楽しむゲームだわ。キャッチコピーのわりに入ってるのは想像を超えないわ。
【吉報】俺氏の新しいPCのケース、かわたん。左が今まで使ってた奴（側面が割れてペラペラとれる）。右が新しいやつ。 https://pic.twitter.com/nDngqlo8Gv
【吉報】俺氏、レストランの店員と仲良くとなると、気のせいか、おかずが大盛りになる法則なう。
【超絶悲報】俺氏のグループメイト、僕の持ってきたプレゼン用レーザーポインターで３０分近く遊ぶ。そして電池きれたん……。
【悲報】俺氏のグループメンバー、「今大変なことが起ころうとしている。今日は人生でも最も長い一日になりそうだ」みたいなこと言ってミーティングに来なかった。
【悲報】俺氏、帰りたい。学校に着いてすらいないけど帰りたい。
@MacroSpeculate これ使え。Prezi: https://prezi.com
【吉報】俺氏のグループメンバー、１人ミーティングに来る。残り３人（待ち合わせ時刻から１時間経過・・・）
【吉報】俺氏、とうとう鼻呼吸できるようになりかける。
【悲報】俺氏のプロジェクトグループ、ミーティングに誰も来ず。
@yodatomato アメリカにいてお昼間なので普通にある。アメリカ西海岸時間で１４時ぐらいなう。
グルービーさん、ソイレント始めるってよ。 https://pic.twitter.com/UngGbqrzXf
【悲報】ソイレントまず(´д｀)
@MacroSpeculate PokoPokoか。きな粉を水に溶かしてなんか足して飲んでるみたいな感じ。飲む前から満腹だったからなー。手に入れて待ちきれず試し飲みしただわ。
@Nekomesi きな粉水＋アルファ（ろくでもないもの）。でも友達に「これ飲んでみろよ」とか「罰ゲームだ！」とか言ってギャグとして使うほどでもない不味さ。吐くレベルでもないけど、進んで飲みたいってものでもないね。問題は、これが初日の感想だということだ（ごくり）。
@Nekomesi 日本だったら絶対飲み続けないが、アメリカなので……。僕はこれで生き残るよ。No more 肥大化！ログ：７８ｋｇ（7月8日(水)現在）
【悲報】俺氏、LINEスタンプを嗜んでいるとふと気づく。「友だち追加でスタンプをGET!」友達いない僕「そうか、その手があったか」
【悲報】隣の部屋からシオンタウンのBGMが聞こえてくる((((;´･ω･`)))こわたん
【速報】俺氏の中で鳥獣戯画ブーム到来！日本最古の漫画かっこいいたん(*´∀｀)ﾉ
【悲報】俺氏、PCの壁紙を鳥獣戯画にしようとして画像を探して良いのを見つけるも、なにやらサルだけ気に喰わずトリミングする。
【悲報】俺氏、「七夕」と書いて「たなばた」と読むのがなんか納得いかぬ。
【悲報】俺氏、間違ってコーンフレークお湯った……。
★┷┓┃お┃┃と┃┃も┃┃だ┃┃ち┃┃が┃┃で┃┃き┃┃ま┃┃す┃┃よ┃┃う┃┃に┃┗━★ 短冊メーカー http://goo.gl/3wr2TE【悲報】俺氏、文字数の関係で真の願い事を諦める。
★┷┓┃皆┃┃が┃┃ボ┃┃ク┃┃の┃┃ギ┃┃ャ┃┃グ┃┃に┃┃つ┃┃い┃┃て┃┃こ┃┃ら┃┃れ┃┃ま┃┃す┃┃よ┃┃う┃┃に┃┗━★短冊メーカー http://goo.gl/3wr2TE【吉報】俺氏、願い事の数リミッター解除。
★┷┓┃嫌┃┃い┃┃な┃┃奴┃┃の┃┃短┃┃冊┃┃、┃┃無┃┃効┃┃化┃┗━★ 短冊メーカー http://goo.gl/3wr2TE【悲報】俺氏、短冊ギャグを作るのが楽しすぎて勉強に集中できず。
★┷┓┃ぬ┃┃ま┃┃ま┃┃ま┃┃ま┃┃ま┃┃ま┃┃ま┃┃ま┃┃｜┃┃｜┃┗━★ 短冊メーカー http://goo.gl/3wr2TE【速報】俺氏、なにか流行らそうとしてる。
【吉報】俺氏、女子力高い。夕飯はこれでサラダをいただく。 https://pic.twitter.com/Z0yQSb2gqt
教科書かっこいいたん。 https://pic.twitter.com/F1T5DdasPT
そろそろ短冊を考えようではないか。今年は次のどれか。「コーヒーを飲めるようになりますように」「四捨五入しても友達がいると言えますように」「好きな娘の彼氏の眼鏡が常に曇りますように」
【悲報】俺氏、体重は落ちぬが成績はズドーン！
【悲報】俺氏、ネコが檻の鍵を自力であけ脱出する動画見てたら日が暮れた。
本日の夕食は、コーンフレーク（とら味）。 https://pic.twitter.com/rTsubnEj1b
【吉報】俺氏、なんかオシャレ。本日はタンポポの根っ子ティー。 https://pic.twitter.com/3hOuqSMO91
【悲報】俺氏、かれこれ数年「友達いない」ネタでツイートしてきたが、真のゼロ保持者を前にたじろぐ。 #無を有する者
日本よ、これがコーンフレークだ。 https://pic.twitter.com/IGtOtkh2Dp
【悲報】俺氏、謎の引力により「俺の頭研ぎ澄まされーる（二個入り）」をポチる。これで勉強捗るぞ！ https://pic.twitter.com/ASdntH3nZL
@2_14_13 甘い。売ってるぞい。 https://pic.twitter.com/uIgIDRbagX
【悲報】俺氏、酔っ払った結果、誕生日じゃない人に「今のところ誰にも祝ってもらえてないかもしれないが、俺はちゃんと覚えてるぜ。ハッピーパースデー」とか送ってた。
【悲報】俺氏、授業中に「時とはなにか」を考えだし、とうとうTwitterまでし始める。
【悲報】先生「はーい、好きな子同士でグループ組んで」俺氏「好きな子なんかおらんし」以下、「ぼっちざまあ」禁止
【吉報】俺氏、safari内にプライベートブラウズモードなるものを発見！これでムフフな言葉を検索しても消さなくていいぞ！ https://pic.twitter.com/RBfnVF5YPQ
角に追いやられる私。 https://pic.twitter.com/1TRdfeXCxn
【吉報】俺氏、レストランにてビネグレツトソースとかいうかっこいいドレッシングをオーダーし格の違いを見せつける。
僕の知ってるスポンジ・ボブと違う……。 https://pic.twitter.com/QSlNZ19Lz9
【悲報】俺氏、素晴らしい商品を見つけて、使うとどんな未来があるか考えたら、友達いない僕の孤独が増した。 https://pic.twitter.com/FKtSsQ1kxf
引っ越しする私。 https://pic.twitter.com/9bKn6PlesO
【吉報】俺氏、引っ越し中に行方不明になっていたアイルー出てきたＵ´ㅈ｀Ｕノ https://pic.twitter.com/xl6wbPbwII
【悲報】俺氏、信号機に向かってフォースを放つ姿を友達に見られる。
