text
@tofu_niconico 何を言っているのかわからないままふぁぼってるところがあるので…
@CU__FA 見栄を張るな
@CU__FA 最近マジで寝に帰ってるようなもんだからPcの電源ボタンの摩擦抵抗に負ける
@nashi_7221 ムキー！ボキのヘアスタイルは完璧だに！いちゃもんつけるその行為は嫉妬以外のなにものでもないだに！恥を知れ！！豚よ！！！！
@marionoko 多分全然余裕であると思うよ！！無理のない範囲で来れたら是非来て下さい
@mim_11_11 フォローしてたんですよ…世の中にはわからないことがあるもんですよね
@rano811 僕は既に購入しました。cvが小山力也さんです
@S_mzk_M 笑っちゃった…若者の警戒心を解く素晴らしい政治ツイだ…
@rano811 当然知ってらっしゃるでしょうが昨日からスマブラに
@BuMaki 一時期度が過ぎたので堪えていたんですよ。ですからたまにはね？
ペニス
@figy1218 わかりました。よろしくお願いします
@figy1218 ヘェー！ありがとうございます！本当全然考えてなかったので驚きです！全部お任せしてしまってよろしいのでしょうか
@0426formula ちな今オンライン入ると三人に一人がクラウド使ってきます
@0426formula ジャンジャジャーン https://pic.twitter.com/JPcoqESF2H
@bonndodayo1 つける髪がない
@figy1218 こっそり見ていました。全然想定してなかったんですけど、そういうのってすぐに出来るんですか！頭が上がりません！
ワックスつけてみたんですけど…wどうですかね…？w一応Dark Flame Masterを意識しているんですが…w少しでもいいと思ったらいいねお願いします…wFF外様へ…wこちら横浜在住の高２の者ですが、オタク趣味の方仲良くして下さい…w（懐くと離れないのでご了承下さい…w）
モイ！whttp://cas.st/d60eb1f
@cas_ponter ヴィジュアル面が犠牲になったんですね。よろしく
@haruka_10070306 いいよ
@kapizusa 皮の張り具合に冬の訪れを感じて頂ければ幸いに存じます
@_ku_ne_TSF
おーいお茶新俳句大賞佳作　神奈川県平塚市　後藤信春8歳「勃たねども　女には映ずる　羅生門」小学生の男子らしい勃起不全への諧謔が主題となっていますが、別の要素が相手方へ威圧的な印象を与えています。また、形容に羅生門を用いることで大正ロマンを感じられるノスタルジックな作品ですね。
@hmti_ サイトの方、本当にありがとうございます。ページから直リンでチケット購入のページにいけるんですね（感涙）本当に助かります。
@snow__castle オタクなので関西へは行けません
@bakkkky すみません！こんなに出費を！なんかあげます！（食パン等）
@328Ponzu 三部だけな
@enpitsu98 ℡、しちゃった(*^。^*)
@Maikan_f ウヒァー！本当にありがとうございます！（電話番号はガチでヤバイ）
@bakkkky なし
@26skP 多分売り切れないのであると思います
@soulmate_mssp おじさん！一生のお願いです！
@ririannnnn や、それは言葉のあやと言いますか、ゲストのトーク後、妙な空気が流れるイベントです、とかだったら誰も来ないでしょ？そういうことなんです
@enpitsu98 へへ、いつもありがとうございます（手をこまねく）
@_ku_ne_TSF そこをなんとか！豚メガネ！！消えろ！！！！！
@ororororororor2 本当に来てくれるのなら殴られても良い
@COOKxDO 久しぶり！？何してたの！？フランベ！？
チケットが発売されました。威勢が良いのはツイッターだけだって所を見せます。一生のお願いです。来て下さいふに(妹)×わさらー Special LIVE 2016 in ニコバー町田http://funi-wasa.smjp.mehttp://nico-bar.net/eventhouse/macschedule.html#funiwasara…
@ryo_n87039 そこはどうでもいいよ！！！！！！！！！！！！！！
@ryo_n87039 あなたもおんりーさんのご武勇を見た一人ですから、何か感じるものがあったと思います。頑張って下さい
@O9_La ３ツイートしかしてないくせに生意気なやつだ！！！！！！！！！！！！
@bluedragonE3 暴虐の限りを尽くす
@akirakizu 今です（だがニーソは本当に持ってる）
@BLACK_rash17 メリ～クリスマスじゃねぇよ！wと言うか生きてたんですね！？
女装癖があることを両親に告白しました。ニーハイソックスに足を通す時、生を実感する、そう伝えるとあんなにも強い父が、泣いたのです。母は比較的寛容でしたが確かに顔は引きつっていました。それでも後悔だけはしていません。偽りのない本当の姿で自分らしく生きていく僕、いや、私を見て欲しいから
@IKE_NUMA_REAL できる
@warotakun1sai ＿人人人人人人人＿＞　 🍌→🚲　＜￣Y^Y^Y^Y^Y^Y￣
@Bussaww そういうことだ
@1momokanD 上官殺しのタケ
@mik_33 ヌンヌン（労う効果音）
@Maikan_s 何なんこのフォーカスレンジは！？！？！？！？！？
@petitemamanoel これ、歌詞じゃなくてポエムな。
@26skP あるよ（ない）
@pink_florid くぅ～！羨ましいです！手の大きさの違いからハートが歪になり「生産ラインだったら弾かれますねw」「なにソレウケる」的な会話をした後に接吻した過ぎるんですよ
@_suripo 24時間365日死ぬまで働いて下さい
あ、遅れましたがメリークリスマスです
@RenNyu_j11 いきり立ったちんちんです
@azukibar1130 拍手喝采
@Mdkhrs3 うわ～！お久しぶりです～！流行り病でも拗らせてんのかと思ってました
@_REINIE_ recしてます
「見て下さい、これが数学です」授業参観の最中、教師の岩田益夫は簡単な数式を解説した後、一呼吸おいてスラックスと下着を足首まで下ろした。小振りながら確かな存在感を放つタヒチピンクのソレはマダムの視線を釘付けにした。等間隔で脈打つマテマティクス、昨今の過剰な教育規制を風刺するように…
@x_QED_x 古傷を抉るの🎅<やめちくり～！
@Maikan_s 一足、遅かったようだな
@kusomushi00 うっすらと覚えてます。足が速い人ですよね
@Maikan_s ありがとう、よろしく
@uni_mmuu 東京ディズニーリゾート
@daimaomp はわわ、あの、それって…ゆるゆりってやつじゃないですか？
@zaizennkennya 頑張ります
╰( ^o^)╮-=ﾆ=一＝三🎅<やめちくり～！　💩
@warotakun1sai ツイッターをするな。ネギをしろ
@0530meromeron まwそりゃそうですよね…
@enpitsu98 町田なんですか？（町田は町だ）ニコ厨らしく夜な夜な歌川町を大胆不敵に闊歩しましょう
@enpitsu98 ワァイ！僕も徒歩で行きたいとすら考えてしまうほどです！
@GE2tanosii ゲットアウト！（出ていけ）
@momenchan217 そこをなんとか
@ryo_n87039 町田は町だw
@kurichannu 出た出たーーーーーーーーーーーッッッ！wwww千葉県民の悪い癖！wwwwwww新宿を境にむこうとこっちの二極化をはかる行為！！！！！！！wwwwwww
@kunu_ami_2525 千本桜
@ririannnnn ありがとうございます。世の中何が起こるかわかりませんね。隅の方でぶつぶつ言ってると思うので気軽に話しかけてください
@Maikan_s いや～！嬉しいです！キレ芸をしますので、例の一声、お願いしますね！
@mofmofunyannko 芽兎めう
@wisp_rf 手違いで来てください
@renren5557 縛ったことがある、みたいに言わないで下さい
@colnigusu 自身のコネでなんとかして下さい
@bakkkky ありがとう…
@o_gakuzu ヤッターーーーーー！？！？！？！？！？！？
@nasu_ga_tabetai 禁止です
@kondoroithin 公の場に姿を表すのはこれで最後になるかも知れないので見納めて下さい
@nasu_ga_tabetai 禁止です
@karen0311aaa 年齢制限は三部だけですが、その年齢なら保護者の方の同意がなければやめた方が良いです
@_ku_ne_TSF ダブったグッズ下さい
@repowin_best ゲットアウト！（出ていけ）
@_ku_ne_TSF そこをなんとか
@hmti_ 本当にありがとうございます。レスポンシブだし見やすい！とても助かります！
僕は隅の方でぶつぶつ言ってるだけだと思いますが、お時間のある方は是非お越しください。何卒よろしくお願い致します。特設サイトhttp://funi-wasa.smjp.me
【お知らせ】一説では構成員50万人とも言われるツイッター最大の団体ワサラー団。彼らを統制し、また絶大な信頼を受ける名実共にツイッターのキング、俺が呟けばTLが揺れる。でお馴染みのわさらーさんとのイベントを開いて頂けることになりました。http://nico-bar.net/eventhouse/macschedule.html#funiwasara…
@horakiris なんか面倒だし、ちんぽ、とかでいいや
@ryotarosmile816 マジかw年明けたら繰り出そうな
@ryotarosmile816 まず距離だろwって思ったけどな、名古屋～！？
@_ku_ne_TSF うるさ～い！！！！！！！ちんぽちんぽちんぽちんぽちんぽちんぽ～！！！！！！！
@ryotarosmile816 いいですよ
@Maikan_s ？
ハントされる側の気持ちも考えて下さい（オヤジ狩り）
@yaki_torinn @yuji_0731 @juusanten 全　員　ふ　ぁ　ぼ　れ
@2_9MO 病で余命僅かな天才魔法少年、マクスウェル･チカラのクローンを98体作ったけど公にされていないだけで99体目がいるんですよ。プロトコルのエラーで感情制限が出来なくなってしまって失敗作として処分されるはずが施設を抜け出しなんやかんやする九十九（ツクモ）っていうのもあるよ
@yosayosayossan それは考えた。足技も交えていかないとバリエーションが尽きるのはわかるんですけどそれだと腕力じゃなくなるんですよね。この語呂にピンと来ただけあって、悩み所です
@kurichannu 総収入の2割が私の懐に入ると言う条件で作品化を許可する
@messi_dayo 何でだよ…完全に1時間くらいで置いていかれるパターンじゃん！？とは言ってもレポはよろしくね
@zaizennkennya グロリアスレボリューションを歌うに500万米ドル賭ける
@kurichannu 一年前くらいから考えていました
@sugar_sugar714 静かにして下さい
ボクシング選手がエナジーブースと呼ばれる魔法が万物を支配する世界にリープしてしまい、手違いから出場する羽目となった大会で攻撃魔法に特化したウィザードを一瞬で殴り飛ばし「何だ今のは…マナの生成を感じなかった…まさか、腕力だけで」ってなる、腕力（ワンリキ）と言うバトル漫画を考えました
@Tatsuya_0904 f(^_^;
@_KN1GHT_ ブロック→ブロ解するので自発下さい（フォロバはしません）
@_KN1GHT_ FF外から失礼します！＼ ( ‘ᾥ’ )/ 　＼　 ＼ 　　＼ γ∩ミ　　 ⊂::　::⊃))　　／乂∪彡＼   ＿人人人人人人人＿＞こたつでちんこ勃つ＜￣^Y^Y^Y^Y^Y^Y^Y^Y^￣
@sugar_sugar714 ＼ ( ‘ᾥ’ )/ 　＼　 ＼ 　　＼ γ∩ミ　　 ⊂::　::⊃))　　／乂∪彡＼   ＿人人人人人人人＿＞こたつでちんこ勃つ＜￣^Y^Y^Y^Y^Y^Y^Y^Y^￣
＼ ( ‘ᾥ’ )/ 　＼　 ＼ 　　＼ γ∩ミ　　 ⊂::　::⊃))　　／乂∪彡＼   ＿人人人人人人人＿＞こたつでちんこ勃つ＜￣^Y^Y^Y^Y^Y^Y^Y^Y^￣
@SiNxxx526 2年前から増えたフォロワーの数だけ寿司を食べに行こう
@bluedragonE3 クソリプ→ツイ消し→クソリプ最高の流れだ
@repowin_best おい https://pic.twitter.com/ZnKGBm4Wo6
"@ririannnnn いや～、あなたは間違いなく5,6年前までこうでしたよ。その、勘と言いますか、わかってしまうんですよね"
@hamburg_36 とは言いつつもどう見ても踏んでますよねこれ！？！？
@yuuuuuuu_____07 ハゲゴリラ
@MEMP_IS 私を後部座席に乗せ、いろは坂を攻めてみませんか…？多少はアドバイス等出来ると思いますが…
@Uwrina322 https://pic.twitter.com/mpcVCE55l1
@MEMP_IS 500kmの長距離を経て納車出来た？
@SiNxxx526 確かに…w（痛いところ突いてきますねww）
@kapizusa 2008年くらいにこう言う人がたくさんいました
新規フォロワーさんが増えてきたので…軽く自己紹介をば…wいちお、女です（はいそこネカマとか言わないwww）アニメ好き（ラノベ系全般、押尾作品は神w）NL BL基本雑食ですが腐女子じゃありませんｷｯﾊﾟﾘ（ここ重要）Skype、LINEやってます。気軽に聞いてくだしあwww
@kidxxkid なるほどな
@_kmc_chan 上京したんですか！？ならば尚更喫煙をする際には場所を弁えて下さい
@_kmc_chan ツイッター引退DQNマン
@muhyojo_ ＼ ( ‘ᾥ’ )/ 　＼　 ＼ 　　＼ γ∩ミ　　 ⊂::　::⊃))　　／乂∪彡＼   ＿人人人人人人人＿＞こたつでちんこ勃つ＜￣^Y^Y^Y^Y^Y^Y^Y^Y^￣
LANが繋がっていなくたって、人前でちんちんを出せばそれはもう、インターネットだよ
@CU__FA まぁ、てめぇとも何だかんだ言って付き合い長いしな
@nachito_8423 名前を消すな。むしろ名前を変えろ。
@v_g_mochi タイプもどことなく似ていますしね…
@yosayosayossan 言ったな！！！！！いいか、俺はニンダイ発表後18時間以内に聞き付けたぞ！！！！！！！！！！！
@am_are_is 転職って「興味ない」んじゃない？
@OTL___orz___OTL お前俺修羅は辞めるだろ普通…あのタイミングで再放送は辞めるだろ…
@Maikan_s やったな！？僕とも対戦して下さい！
FF7ファンの皆さんはスマブラにクラウドが参戦という吉報を聞いて会社を辞めたと思います。僕も昨日いっぱいで、辞めてきました。
@Shiiiiiitake6x6 一瞥はマジで何度も使うよな。他作品でも二回は出てくる
@syao_45 忙しいアピールってうざいと思われるかもしれないけど、あえて言っていい？クソ忙しかった
@0426formula もちろんだよ。正直興奮して3日はろくに寝れなかったね
@sz__x7 OL（30代前半）
「ワンワン！」全裸の俺はそう吠えながら女子大生が一人で住まうマンションの一室を訪ねた。こうして子犬になりすますことでミルクを貰えると踏んだのだ。女子は総じて母性本能をくすぐる小動物に弱い、その心理を逆手に取った知能戦略。自分で言うのも何だが、どこをどう見ても俺は、トイプードルだ。
@shamojionigiri 貴様、さては工業高校出身だな
@shamojionigiri 溶接棒がどんどん短くなっていって怖いやつ
@96xxlov 右から二番目
@kapizusa くぅ～w久々やりたいすなぁ～w
何か面白いことをしようと思って昨日の夜中のうちに会社の玄関を溶接しました。今日出勤したら中に入れない社員の人たちが玄関の前に集まっており、社長が頭から血を流して倒れていました。玄関のノブにも血がついていました。
@ri_nal25 変化には抗えない。ならばこちらが順応すれば良いだけ。FUCK YOU‼‼‼‼
@picachi_ 東條希のコスプレをするな。首領クリークのコスプレをしろ
@ponpinapon うちら💕😍😍💕美人揃い😘👊🏻の名門校☄🏫☄の中でも極めて容姿👸🏼💖に恵まれた✨神の子六名🎅🌟🎅🏻🌟🎅🏼🌟🎅🏽🌟🎅🏾🌟🎅🏿、通称六神将としてもね👼🏼✨👼🏼✨
@sugar_sugar714 https://pic.twitter.com/9eH8EIvLow
@hmhm_rprp はい（あなた自身がJKでは）
@mtd071000 来たね。今年も、積極的に使って行こうぜ
@_ku_ne_TSF おーwお疲れw
@asuozinori_ 別に疲れてねぇよボケ！！！！！！！！！！！！！！！！！気分わりぃ帰るわ
僕「おーwお疲れw」友達「別に疲れてねぇよボケ！！！！！！！！！！！！！！！！！気分わりぃ帰るわ」僕「うーす(^-^)/」
@_lamiel04_ そ　　　　　　　り　　　　　　　　ゃ　　　　　　　　　な　　　　　　　　　　い　　　　　　　　　　　ぜ
@_lamiel04_ しっ…！誰か来る…！
@26skP さやか
@am_are_is 禿げてはいると思うよ
@I_I_I_l_I_I_I_I 童貞ではない。既に、俺は（倒置法）
@4flick 当たり前ですよ。タイムラインとは公共の場、いくら顔が見えないからと言って、いや、顔が見えないからこそ、言い手の伝えたい部分が湾曲して聞き手に捉えられる可能性がありますから言動には細心の注意をはらっています。
@I_I_I_l_I_I_I_I 言われた過ぎる、最悪言われるだけでも良いし
@FRA1L19 ペットボトルを使わず穿いたままシろ
@hachuki00825 アカウントを巧みに使い分けるな
@desunyawa8 僕は現状で家がありません
もしもタイムリープで未来へ行けたらそこら辺の家を燃やしたい
@ririannnnn あなたは元々スイーテゥ(笑)の要素があります。間違いありません
@colnigusu 4（気温、湿度で上下する）
"@m5t2h9 それは流石の僕でもないですね…そうとう""拗らせている""んですね"
@che_rrrrr 性欲だけは
@colnigusu 性欲だけは
@reito3390 ヤッター！爆撃大好きおじさんだから星でもハートでも構わないんだ
@Re_Alirece 任せといて。私がなんとかする。約束だからね。
@96xxlov まぁわかるけど、そこは割り切って欲しいですね
@namko26 プリパラおじさんの素質はあるって言われたことあるからお願いしてみようかな
星からハートになって苦情が殺到する一方、僕の父は星になったのだ…
@a_uk1231 誰だよ！！！！！
@SiNxxx526 あっ、これシティハンターなんですか！どうりで…！ https://pic.twitter.com/O9BEvjpeBS
@SiNxxx526 全然知りません… https://pic.twitter.com/wgCk4sfWgY
@dempaforever 消えろ‼　もう一度言う　消えろ‼　もう一度言う　消えろ‼ https://pic.twitter.com/5eJwg6zBNx
@RenNyu_j11 https://pic.twitter.com/99B8FCX2PL
消えろ‼　もう一度言う　消えろ‼　もう一度言う　消えろ‼　もう一度言う　消えろ‼　もう一度言う　消えろ‼　もう一度言う　消えろ‼　もう一度言う　消えろ‼　もう一度言う　消えろ‼　もう一度言う　消えろ‼　もう一度言う　消えろ‼ https://pic.twitter.com/lHmdS3jF0z
@kumalive1999 お前がいい加減にしろ！！！！！！！！左利き！！！！！
@Tkt_Ktk Mieを張るな
@bakkkky https://pic.twitter.com/N0dW1PpTGe
@DakArubi_SNS お前はあの時の…！いい加減にして下さい
@Tkt_Ktk 見栄を張るな
いい加減にして下さい
@dice31569 無限の選択肢がある若者が未来の無いおっさんをからかう由々しき事態だ
@terupetako 知りませんが、彼の人生とは放浪。大丈夫でしょう。お久しぶりです
@desunyawa8 ンヒー！すみません！最悪描いて頂かなくても大丈夫です！
@urusai__urusai 地球に生まれて、良かった
@desunyawa8 ありがとうございます！欲を言えばもう少し髪が薄いです
@urusai__urusai キャッ><恥ずかしいよぅ><
@sugar_sugar714 いや、お前友達いないじゃん
@chaton051 フォローありがとうございます！ https://pic.twitter.com/mdeYpgl3QO
@grtn_n それはわかる
@grtn_n いやそんな上級者そうはいないでしょ
@sz__x7 風呂に入らない
@Xino____ どういうことだよ！
僕は少し薄毛な分、体毛が死ぬほど濃いし四ヶ月は風呂に入ってません。フォローお願いします
 @funiimouto ふには？
@madotsuki_ 言うまでもなく臭いね。どう少なく見積もっても四ヶ月は風呂に入ってないw
@madotsuki_ 臭い
@madotsuki_ 久し振り～！wお金貸して～！w
@hachuki0825 ヤッター！！！！人目を気にせずなんだって出来る！！（ﾌﾞﾘｭｯﾌﾞﾘﾌﾞﾘｭ！ﾌﾞﾌﾞﾝﾘｭﾘｭﾐﾁﾐﾁｨ！！！！）
@colnigusu お洒落なのは服装と髪型だけにしろ
@kota110131 やめろ！おっさんの肌事情なんて知りたくない！
@colnigusu タバコ何吸ってるの
@nqchqn_s2 どうして女の子にそーいうことゆーかな！？
@kota110131 おっさん！風呂に入らないから！
美容師「かゆいところありませんか？なければ出ていってください」客「はい………（泡だらけの頭のまま退店していく）」
"@foxtorot43 電源入らなくて分解してみたらいきなり液晶が""DON""さ"
@noranyan2525 僕の名を騙って動画を投稿して下さい
@SMplay_now 見てきた…皮膚が赤、もしくは緑なだけでインナー着てなかった…
@SMplay_now あいつらインナー着てるよな！？！？（うろ覚え）
@noranyan2525 またお前か
@donguridondon1 アメリカって言ったら素肌オーバーオールとビッグステーキは外せないんだよ
アメリカ人になりきるために素肌にオーバーオールを着て歌った。よろしくSEX！！！！！！あたかも「英語できますｗ」みたいな態度で接してくる人が歌うBreakout http://nico.ms/sm27453755 #sm27453755
@_ku_ne_TSF 見てくださいお願いします！！！！！！！！！！！！！！！！！
@wiiruilui スタバの場合は窓際でもそう
【動画】あたかも「英語できますｗ」みたいな態度で接してくる人が歌うBreakout http://nico.ms/sm27453755 を投稿しました。 #sm27453755
@DakArubi_SNS キレそう
@BuMaki そんなんは悪い顔してクロワッサン渡しとけばいいんや
@Novation114514 うまい！（パンだけに）
Twitterのアンケート機能が使えないので街角に机と、紙で作った投票箱を設置し「朝はご飯派かパン派か」と言うアンケートを行ったら顔面を殴られ鼻の骨が折れました。ご飯派0票。パン派0票でした。
@colnigusu ﾖｯｼｬw
@colnigusu スマブラしようぜ
@Shiiiiiitake6x6 短い
@repowin_best 本当に使っていそうで引く
@asuozinori_ ｯｮｨ
@desunyawa8 そうやで(^o^)v
@repowin_best ムーニーマン
「たー君^^」「み、みゆき！」「ちょっと誰よこの女」このような修羅場に現れる僕。「セイセイセイセイ！」オムツのみを着用して高らかに吼える。脱糞をすれば赤ちゃん用オムツの許容量を軽く上回り幾らか飛び散る。「よくわからないけどヤバイ」そんな状況を意図的に作り出すことで場を治めるのだ。
@SiNxxx526 ＿人人人人人人人人人人人＿＞　 ちんこたつ（ガチ）　＜￣Y^Y^Y^Y^Y^Y^Y^Y^Y^Y￣
@sgtoga 買　っ　て　な　い
@SiNxxx526 まんことは…
@SiNxxx526 ＿人人人人人人人人人人人人人＿＞　 こたつの中でちんこたつ　＜￣Y^Y^Y^Y^Y^Y^Y^Y^Y^Y^Y^Y￣
@akirakizu それはうざいですね。ちょっとイラっとしましたし。
10月中に動画をウプする予定ですが、出来なかったらちんぽ出して会社を辞めます。約束ですよ
@_ku_ne_TSF https://pic.twitter.com/YNu2PyG6EV
@hachuki0825 定期的に褒めると長持ちします爪がきれいとか小さな変化にも気づいてあげましょうちゃんと見ていて でも、太ったとかよけいなことは気づかなくていいからね
"@_hnax_ 一度しか言わないからよく聞けよ。""知らねぇ"""
都内の中学生1000人を対象に、「今の学校生活に満足していますか」というアンケートを実施しました。最も多かった回答が「あまり満足していない」全体の54％の生徒がこう答えています。次に多いもので「うるせぇ氏ね」が22％。どうやら教育の在り方を再考する必要がありそうですね。
@umehara609 心配するな。俺もトキワのトレーナーだ
@Lantis9042 リメイクでも良いので是非プレイしてみてください
【マサラタウンのBGMで歌って下さい】二匹の仔ヤギと共に　夜な夜な＼夜な夜な／　町へやって来て　暴虐の限りを　尽くすアルプスの少女ハイジ
@sgtoga ワロタw
@sgtoga https://pic.twitter.com/2wFAsKScTI
@maaka_e 誠に申し訳ありませんでした！
上司と新規開拓へ伺い、担当の方が「是非御社でお願いしたいです」と仰り、判を押す瞬間に何を思ったか上司が担当の方を殴りつけました。僕は思わず「何してるんですか！後一歩なのに！」と怒りを露にして上司を殴りつけたら痛みのあまり錯乱した担当の方が「ありがとう！」と言って僕を殴りつけました
@colnigusu しばらく自慰をしてないので可愛く見えてきた
@amSks5x7V8kIxCX HNをフルネーム表記にして小説を書け
@colnigusu え…！？でも乳房もあるし…女の子なの…？
@k_meu_pettan おでこにハ ンコで めうめうめめめう☆^(o≧▽゜)o ぺたっとヾ(゜▽゜*)ぺたっと(*゜▽゜)ツ ぺたりこー ヾ(＞ヮ＜)ノ わふーっ！
言ってなかったけど、僕は人前で平気でちんちんを出せます
@doku0418 友達いないのでLINEやってねぇす！wwwwww
@doku0418 いつかカラオケcasしましょう。
@doku0418 ア！声が部分的に似てる人！すいません！すいません！
@s_bige_1122 【非常に悪い出品者です】連絡なし。さいやくです。皆さんも、気を付けて、下さい
@96xxlov 私だって女の子なんだよ！？綺麗になりたいって思うの、そんなにいけないことなのかなぁ！？
@HlTUJl ワーイ！でもお前大阪じゃないじゃん！
@OG5AXc6w0IuhZPz 正直、嫉妬の念もわかなかったよ。圧倒的と言う言葉の本当の意味がわかった。信じられないけど、目の前でこうも見せつけられちゃ、認めるしかない。お前が、No.ワンだ
どのタイミングで顔面にたまごをぶつけたかわかる「アンケートしてるんですけど、お時間大丈夫でしたらお願いします！お答え頂いた方にはもれなく粗品贈呈中です！ババア！許さん！訴えてやる！街角調査の本気見せてやる！」
@ponpinapon https://pic.twitter.com/ezBjFYLKqf
@MashRoom0302 な～～～～～にが言うて、じゃ～～～～～！！！！！！！wwwwwwwwwwwwうすらハゲロネの頭皮を舐めてろwwwwwwwwwwwwwwwwwww
@asuozinori_ 数年前に出たことありますが、今日は部屋でずっとドアノブをガチャガチャしていました
@4rone4 米のみを食え
@MashRoom0302 うるさ～～～い！！ちんぽちんぽちんぽちんぽちんぽちんぽちんぽちんぽ～～～～～～～～ッッッ！！！！！
@FairyMania_109 多少の新緑は見られども、人工的な植木で妙な無機物感を覚えるね
@asuozinori_ 名古屋町会議なうw誰かいないかな〜？誰か〜誰か氏〜w とりあえずステージのところに来ましたw 誰かいないかな〜w おっ○○さん名古屋なのか〜(空リプ) お腹空いたな〜誰か飯でもどうですか？w さて、そろそろ帰りま〜す！w
@taamaaoo すみません…町会議行ってません…
名古屋町会議なうw誰かいないかな〜？誰か〜誰か氏〜w とりあえずステージのところに来ましたw 誰かいないかな〜w おっ○○さん名古屋なのか〜(空リプ) お腹空いたな〜誰か飯でもどうですか？w さて、そろそろ帰りま〜す！w
@yosayosayossan 家庭の事情とかもあるしな
@tutiya_naka やめろ！！！！！！！！！
軽い気持ちでじっちゃんの名にかけるな
@r_funi ワロタwwwwwwwwwwwww
@FairyMania_109 会社を辞めてください
@ZERO000XXX ガタッ
@_ku_ne_TSF ゲーミングPCじゃん！！！！！！！！！！！！！！！！！！！
もしも女に生まれ変われたら路肩に停めてある乗用車の給油口をこじ開けてガソリン盗みたい
@23moti ご本人様には大変申し訳ない、かつ自分で言うのもあれなんですけど、非常に似てる箇所があります…
 @funiimouto 一瞬ふにかと思った本当に← https://twitter.com/mechan0418makostatus/651382341340758016…
@messi_dayo めちゃくちゃだよお前！めちゃくちゃだ！
@desunyawa8 汎用性が凄いので保存した
@o__n__l__y とても行きたいがいつにする？
@Noise_with_milk なんだこれ時代を感じるけど普通に勃起するけど
@_ku_ne_TSF オッスオッスw
足を軽くクロスさせ、両腕を45度に掲げ手首を少し捻る、湖畔に佇む白鳥をモチーフにしたこのポーズでタクシーを待っていると一台も止まってくれないですし、最初は普通に待っていてウインカーを出して減速してきたらすかさずこのポーズを繰り出すとウインカーを戻し走り去っていきます
@ririannnnn 小３までに対してなら攻撃力50%増、中１以上には攻撃力、防御力70%減です
@kitibutchi_uhyo ちょっと聞いてみただけジャン…_
@Maikan_s LINEをしてないっていうか友達がいないので内容はどうあれこういう状況になってることが羨ましいです。
@OyamamochiO いい加減にしろ！！！！！！！いつもそういうトチ狂った画像を寄越しやがって！！！！！！！
@pqdbaaq そりゃあもうアレしかないでしょ
@kitibutchi_uhyo 全然関係ないけど、君友達からブッチって呼ばれてるだろ
@mik_33 なんかそれいやらしいですね！凄く興味があります！
@0220kajo https://pic.twitter.com/RQVMoTpwtp
@hachuki0825 よくわかりませんが右下は何か闘気（オーラ）のようなもので吹き飛ばしているようにも見えます
@__10krr ┗(⌒)(╬*☻-☻*╬)(⌒)┛＜ゲットアウト！（出ていけ！）
@takagic_menma51 次男ですらナイフちらつかせてくるし長男に至っては完全にチャカ持ってる
近所の小学生（小3）に対しては凄く強気な態度で接するけど兄（小6）が出てくると少しひるむし、更に兄（中2）に対しては完全に敬語。俺はそういう大人だ。
音源をお渡ししていたら、このようなものが投稿されておりました！是非ご視聴ください！ふに（妹）さんの力をお借りしてSOUL'd OUTのルル・ベルを歌ってみた (4:08) http://nico.ms/sm27267780 #sm27267780
@114514Hz ちょっと気持ち悪いだけで、特に対処とかは必要ないのでは
@oretomo_kk2 ドラえも～ん！ジャイアンを貶める道具出してよ～！
@messi_dayo 九州ではCMやってないの？
ホントにホントにホントにホントにライオンだ～！（おじさん）近すぎちゃってどうしよ～！？（おじさんが）可愛くってどうしよ～！？（おじさんが）富士サファリパーク
@desunyawa8 ドレッドノート
@BuMaki 業を失おうとも、想人に忘れられようとも、心の灯だけは、絶さない。天候に苛まれた過酷な状況をものともしない抜群の着火性、高所から叩き落とされても決してスタイルを崩さない堅牢性、世界が認めたライター…zippo ®
@asuozinori_ 川お兄さんやで
@Swarosu お前が寝ろ！！！！！！！！！ふたなりじじい！！！！！！！！
父親に「いつもご苦労様です」と言う労いの言葉と共にガスの出力を大幅に強めたライターをプレゼントとしたら少し照れくさそうに笑い、火だるまと化して絶叫しながら部屋を飛び出して行きました
@_ASPALA_ よく気づいたね。ずばり、その通りだよ。川おじさんは単に川にたくさんいるわけじゃないんだ。時にはごみを拾い、時には円陣を組んで不純物を濾過したりもする。水質や土壌を豊かにしているんだよ。君たちちびっこが安全な水を飲めるのも全て、川おじさんのおかげなんだ。
@umehara609 あなたのことがd(^-')＼ (／o^) Daisuke(   ／ ／ くデ→レ↗︎レ↗︎レ↗︎レ↗︎ーーーｗｗｗwｗデ→レ↗︎レ↗︎レ↗︎レ↗︎ーーーｗｗｗデレレレ↗︎デレレレレ↗︎ーーーｗwｗデ↓レ↑ッテ↑テレ↓レ↓ーーーｗｗw
@asahina74223271 わかりません…ヒント下さい
@asuozinori_ 川おじさん…
【なぞなぞ　難易度★★★☆☆】おじさんはおじさんでも川にたくさんいるおじさんってだ～れだ？【答え】川おじさん
@7cha7 取得漏れでしたf(^_^;あいつ調子のってますよね！くさそうですし！
@popopoppr 大半が漢だし僕の服がダサいからです
@4rone4 そうですね、よくすれ違いざまに「ちょっと！今の人の服！超無難じゃない！？」って言われるし
@zaizennkennya 親から貰った奴はおしゃれ(^^普段はマジックテープで留める奴です(^^
@_ku_ne_TSF 凄い毛生えてそう
