回データマイニング,カイデータマイニング
ヶ月半,カゲツハン
ベイジアンネット,ベイジアンネット
アクセス解析システム,アクセスカイセキシステム
分析結果,ブンセキケッカ
Mahout実行,マハートジッコウ
便利そう,ベンリソウ
広告機械学習,コウコクキカイガクシュウ
アド系,アドケイ
2日目,フツカメ
第三者配信,ダイサンシャハイシン
thアンカンファレンス,ティーエッチアンカンファレンス
2011年１月,ニセンジュウイチネンイチガツ
リアルタイム広告,リアルタイムコウコク
Understandingand,アンダースタンディングアンド
Yahoo!JAPAN研究所,ヤフージャパンケンキュウジョ
チケット重複,チケットジュウフク
scaleScene,スケールシーン
一緒にApache,イッショニアパッチ
データマイニング人材,データマイニングジンザイ
ダンス再開,ダンスサイカイ
何度,ナンド
伝搬法則,デンパンホウソク
事前記載,ジゼンキサイ
イカ娘スレッド,イカムスメスレッド
programming,プログラムミング
今夜のち,コンヤノチ
先端企業,センタンキギョウ
業務改革,ギョウムカイカク
一緒に祝い,イッショニイワイ
解析メンバー,カイセキメンバー
二値,ニチ
友人である,ユウジンデアル
RT自分,アールティージブン
プラグイン作成,プラグインサクセイ
線画化,センガカ
公開場所,コウカイバショ
本日楽しみ,ホンジツタノシミ
３月開催,サンガツカイサイ
関連メンバー,カンレンメンバー
結婚式２,ケッコンシキニ
主催者陣,シュサイシャジン
自動まとめブログ,ジドウマトメブログ
解析コンテスト,カイセキコンテスト
RT多分,アールティータブン
RT広告,アールティーコウコク
.jpドメイン,ドットジェイピードメイン
アルベルト社,アルベルトシャ
ため延期,タメエンキ
機械学習最前線,キカイガクシュウサイゼンセン
アンカンファレンス各位,アンカンファレンスカクイ
潜在状態,センザイジョウタイ
３ケース,サンケース
確認完了,カクニンカンリョウ
３３,サンサン
みなさん早起き,ミナサンハヤオキ
高度化,コウドカ
グラフシステム,グラフシステム
アナウンス完了,アナウンスカンリョウ
象使い,ゾウヅカイ
かのん元気,カノンゲンキ
mining統計学,マイニングトウケイガク
追加調整,ツイカチョウセイ
IPO書類,アイピーオーショルイ
活躍メンバー,カツヤクメンバー
数回,スウカイ
キャンペーン効果,キャンペーンコウカ
業界全体,ギョウカイゼンタイ
今回運営,コンカイウンエイ
マーケティングソリューション,マーケティングソリューション
ベイズ分類,ベイズブンルイ
満員立ち見,マンインタチミ
よう意図,ヨウイト
参考図書,サンコウトショ
RT数,アールティースウ
統計学入門,トウケイガクニュウモン
開始予定,カイシヨテイ
各種開催,カクシュカイサイ
さんファン,サンファン
AIResearch,アイリサーチ
日本語Wikipedia,ニホンゴウィキペディア
はいつ頃,ハイツゴロ
かのん１,カノンイチ
ソーシャルゲーム会社,ソーシャルゲームカイシャ
MIDWESTビル,ミッドウエストビル
札幌主催者,サッポロシュサイシャ
単語ベース,タンゴベース
RT理論,アールティーリロン
Miningwith,マイニングウィズ
サービス進化,サービスシンカ
2011年2月,ニセンジュウイチネンニガツ
共通講師,キョウツウコウシ
通りチェック,トオリチェック
3bob,サンビーオービー
キャンセル率,キャンセルリツ
登録ぜひ,トウロクゼヒ
大前研一さん,オオマエケンイチサン
撤収完了,テッシュウカンリョウ
基盤サービス,キバンサービス
６人,ロクニン
時新橋駅,ジシンバシエキ
日程終了,ニッテイシュウリョウ
IT企業,アイティーキギョウ
データ特徴,データトクチョウ
要望等,ヨウボウトウ
回CREST,カイクレスト
FB利用者,エフビーリヨウシャ
会場設定,カイジョウセッテイ
配車最適化,ハイシャサイテキカ
回復後,カイフクゴ
事前準備,ジゼンジュンビ
RTちょ,アールティーチョ
PV達成,ピーブイタッセイ
現実データ,ゲンジツデータ
atFacebook,アットフェイスブック
学生向け,ガクセイムケ
マーケティング領域,マーケティングリョウイキ
UST非公開,ユーエスティーヒコウカイ
分散計算,ブンサンケイサン
モバゲー募金,モバゲーボキン
資料中,シリョウチュウ
活動内容,カツドウナイヨウ
Interaction,インテルアクション
開催以降,カイサイイコウ
LT大会,エルティタイカイ
asano,アズアノ
分布関数,ブンプカンスウ
RT大学院,アールティーダイガクイン
間移行,カンイコウ
DeepNLP,ディープエヌエルピー
ださんRT,ダサンアールティー
物理Ph.D.,ブツリピーエイチディー
アーキテクチャ勉強会,アーキテクチャベンキョウカイ
達グラフ,タチグラフ
キャンセル処理,キャンセルショリ
Ust配信,ユーストハイシン
ソーシャルネットワーク分析,ソーシャルネットワークブンセキ
参加者募集中,サンカシャボシュウチュウ
行動ベース,コウドウベース
統計数理研究所所長,トウケイスウリケンキュウショショチョウ
公開可能,コウカイカノウ
記述例,キジュツレイ
誕生日祝い,タンジョウビイワイ
RT生後,アールティーセイゴ
協同編集,キョウドウヘンシュウ
規模サービス,キボサービス
betweendeep,ビトゥウィンディープ
RTあっという間,アールティーアットイウマ
RT皆さん,アールティーミナサン
記事データ,キジデータ
三人,サンニン
主催者紹介,シュサイシャショウカイ
ニコ生配信,ニコナマハイシン
thMIT,ティーエッチミット
末中,マツチュウ
活動時間帯,カツドウジカンタイ
度総会,ドソウカイ
コラボぜひ,コラボゼヒ
研究所さん,ケンキュウジョサン
人工知能研究,ジンコウチノウケンキュウ
金融工学系,キンユウコウガクケイ
Twitterインフルエンサー,ツイッターインフルエンサー
frameworkfor,フレームワークフォー
高速実行,コウソクジッコウ
確認お願い,カクニンオネガイ
ビッグデータ活用,ビッグデータカツヨウ
錦糸町,キンシマチ
ホワイトボード写真,ホワイトボードシャシン
運営連絡,ウンエイレンラク
差分更新,サブンコウシン
JavaR,ジャバラウンド
ページ記載,ページキサイ
残枠,ザンワク
権限追加,ケンゲンツイカ
登録情報,トウロクジョウホウ
会進行,カイシンコウ
全て着実,スベテチャクジツ
お互い素敵,オタガイステキ
詳細連絡,ショウサイレンラク
RTリンク,アールティーリンク
発表スライド,ハッピョウスライド
左記時刻,サキジコク
時開催,ジカイサイ
CRESTシンポジウム,クレストシンポジウム
構成確定,コウセイカクテイ
水分補給,スイブンホキュウ
作りましたRT,ツクリマシタアールティー
大量データ,タイリョウデータ
toa,トゥアール
DeNA濱田,ディーエヌエーハマダ
RTもし,アールティーモシ
タイトル詳細,タイトルショウサイ
Mahout等,マハートトウ
講師内容,コウシナイヨウ
予定ですよ。,ヨテイデスヨ
doublemajor,ダブルメジャー
RInterface,ラウンドインターフェース
ユーザエクスペリエンス,ユーザエクスペリエンス
みたいの,ミタイノ
にもグラフ,ニモグラフ
追加募集アナウンス,ツイカボシュウアナウンス
現場最前線,ゲンバサイゼンセン
一緒に実現,イッショニジツゲン
実装ノウハウ,ジッソウノウハウ
の好き,ノスキ
山手線,ヤマテセン
thegap,ザギャップ
はまちゃん,ハマチャン
汎用プラットフォーム,ハンヨウプラットフォーム
受付等,ウケツケトウ
チケット復活,チケットフッカツ
同じくパパ,ドウジクパパ
枠数,ワクスウ
ビジネス適用,ビジネステキヨウ
初台開催,ハツダイカイサイ
ダンスメンバー,ダンスメンバー
大学院修士,ダイガクインシュウシ
物理っ子,ブツリッコ
入賞者,ニュウショウシャ
RTカワイイ,アールティーカワイイ
実践編,ジッセンヘン
RT確か,アールティータシカ
無事受診,ブジジュシン
人会場,ニンカイジョウ
運転見合せ,ウンテンミアワセ
環境構築,カンキョウコウチク
３時間,サンジカン
forApache,フォーアパッチ
ツール等,ツールトウ
投稿記事,トウコウキジ
米国証券取引委員会,ベイコクショウケントリヒキイインカイ
RT了解,アールティーリョウカイ
期待RT,キタイアールティー
拡張機能ベスト,カクチョウキノウベスト
昼頃,ヒルゴロ
データマイニング方法論,データマイニングホウホウロン
検索サービス,ケンサクサービス
時間枠,ジカンワク
一部トーク,イチブトーク
theMobage,ザモバゲー
アナウンス時間,アナウンスジカン
RT日曜日,アールティーニチヨウビ
Core高速,コアコウソク
予約人数,ヨヤクニンズウ
確定内容,カクテイナイヨウ
RT機械学習,アールティーキカイガクシュウ
現在開発,ゲンザイカイハツ
本日開催,ホンジツカイサイ
リリース後,リリースゴ
LT資料,エルティシリョウ
LanguageGrid,センゴヒャクサンジュウゴマンロッピャクロクジュウゴゼロゼロキュウナナマンハチゴゼロナナグリッド
概要追加,ガイヨウツイカ
変換関係,ヘンカンカンケイ
th.,トンエイチ
４章,ヨンショウ
インフルエンサー影響,インフルエンサーエイキョウ
末開催,マツカイサイ
来週ぜひ,ライシュウゼヒ
今回講師,コンカイコウシ
RT質問,アールティーシツモン
挙式時,キョシキジ
力測定,リョクソクテイ
橋本さん,ハシモトサン
RT会場,アールティーカイジョウ
発行時,ハッコウジ
日連続,ニチレンゾク
ネットワーク上,ネットワークジョウ
古典的,コテンテキ
Togetterまとめ,トゥギャッターマトメ
会後半,カイコウハン
規模データ処理,キボデータショリ
３日,サンニチ
社内レビュー,シャナイレビュー
転移学習,テンイガクシュウ
andDeep,アンドディープ
RT素敵,アールティーステキ
WebMining,Webマイニング
効果的,コウカテキ
ID写真,アイディーシャシン
表現素性,ヒョウゲンスジョウ
無料通話,ムリョウツウワ
RT子,アールティーコ
統計ファンタジスタ,トウケイファンタジスタ
数人,スウニン
最終募集,サイシュウボシュウ
CIFA,シーアイエフエイ
学習ライブラリ,ガクシュウライブラリ
RTさっき,アールティーサッキ
近似ベイズ,キンジベイズ
さん作成,サンサクセイ
濱田晃一,ハマダコウイチ
RT部門,アールティーブモン
ソーシャルWeb,ソーシャルWeb
グラフデータ,グラフデータ
羅部,ラブ
Cloudera,クラウドイーラ
活動報告,カツドウホウコク
型分布,ガタブンプ
日程承知,ニッテイショウチ
文字ベース,モジベース
Twitter利用,ツイッターリヨウ
苦羅,クラ
技術評論社さん,ギジュツヒョウロンシャサン
RTかのん,アールティーカノン
メール送信,メールソウシン
リワイヤリング,リワイヤリング
１０,イチゼロ
Wikipediaオントロジー,ウィキペディアオントロジー
外資就活,ガイシシュウカツ
ビジネスとも,ビジネストモ
方々以上,カタガタイジョウ
ハッカーVS,ハッカーバーサス
二次,ニジ
樹木モデル,ジュモクモデル
ミリオンさん,ミリオンサン
DeNA取締役,ディーエヌエートリシマリヤク
Mahout実装,マハートジッソウ
gapbetween,ギャップビトゥウィン
FacebookAI,フェイスブックアイ
次回試し,ジカイタメシ
南場さん,ナンバサン
連載講義,レンサイコウギ
日本交通会長,ニホンコウツウカイチョウ
Cardfor,カードフォー
手伝い取りまとめ,テツダイトリマトメ
RT今週,アールティーコンシュウ
Python札幌,パイソンサッポロ
ようさん,ヨウサン
ApacheSpark,アパッチスパーク
マーケティング講座,マーケティングコウザ
行動研究,コウドウケンキュウ
生成モデル,セイセイモデル
横断検索,オウダンケンサク
RTダンス,アールティーダンス
ネットワーク研究,ネットワークケンキュウ
RT先日,アールティーセンジツ
私自身,ワタシジシン
者双方,シャソウホウ
番外編,バンガイヘン
USTボランティア,ユーエスティーボランティア
RT迅速,アールティージンソク
コンテキスト広告,コンテキストコウコク
共通確保,キョウツウカクホ
発表概要,ハッピョウガイヨウ
inPython,インパイソン
分散並列,ブンサンヘイレツ
最適化,サイテキカ
SSHセットアップ,エスエスエイチセットアップ
RT賛成,アールティーサンセイ
Reasoning,ノーズンアイエヌジー
inOsaka,インオオサカ
件どうでしょう,ケンドウデショウ
各種挑戦,カクシュチョウセン
８人,ハチニン
開催延期,カイサイエンキ
Facebookページ,フェイスブックページ
数ニヤ,スウニヤ
結婚式二,ケッコンシキニ
RTアルベルト,アールティーアルベルト
悪い日,アクイビ
RT指数,アールティーシスウ
企業意思決定,キギョウイシケッテイ
ITmediaオルタナティブ,アイティーメディアオルタナティブ
回NLP,カイエヌエルピー
紹介ぜひ,ショウカイゼヒ
アナウンス予定,アナウンスヨテイ
toNeo,トゥネオ
写真アップ,シャシンアップ
参加者双方,サンカシャソウホウ
勉強会終了,ベンキョウカイシュウリョウ
今回もろもろ,コンカイモロモロ
PC活用,ピーシーカツヨウ
特徴ごと,トクチョウゴト
娘おなか,ムスメオナカ
にも機械学習,ニモキカイガクシュウ
Networksin,ネットワークスイン
川鍋さん,カワナベサン
RT東大,アールティートウダイ
濱田監督,ハマダカントク
2dot,ツーディーオーティ
RTGainer,アールティーゲイナー
onmahout,オンマハート
データマイニングツール,データマイニングツール
分類入門,ブンルイニュウモン
CROSSパネルディスカッション,クロスパネルディスカッション
戦略コンサル,センリャクコンサル
コンサル等,コンサルトウ
isout,アイエスアウト
パーソナルエンタメ,パーソナルエンタメ
優先度,ユウセンド
賃料相場,チンリョウソウバ
詳細調整,ショウサイチョウセイ
同等以上,ドウトウイジョウ
情報追加,ジョウホウツイカ
ABテスト,エイビーテスト
ust録画,ユーエスティーロクガ
分布族,ブンプゾク
カンファ,カンファ
ソーシャル領域,ソーシャルリョウイキ
参加者間,サンカシャカン
参加者リスト,サンカシャリスト
日の会,ヒノカイ
１週,イチシュウ
12月開催,ジュウニガツカイサイ
母子間,ボシカン
４月下旬,シガツゲジュン
Ph.D.出身,ピーエイチディーシュッシン
本日結婚,ホンジツケッコン
職OB,ショクオービー
詳細確定,ショウサイカクテイ
RTさく,アールティーサク
今年一,コトシイチ
複雑ネットワークビジネス,フクザツネットワークビジネス
勉強会タイトル,ベンキョウカイタイトル
実装例,ジッソウレイ
2ch完全,ニチャンネルカンゼン
部グラフ,ブグラフ
希望者,キボウシャ
データマイニング系,データマイニングケイ
RTランダムフォレスト,アールティーランダムフォレスト
データ補間,データホカン
機械学習手法,キカイガクシュウシュホウ
会ホワイトボード,カイホワイトボード
RTぐぬぬ,アールティーグヌヌ
成長途中,セイチョウトチュウ
RT今月,アールティーコンゲツ
若干空き,ジャッカンアキ
広告影響,コウコクエイキョウ
andthe,アンドザ
Twitter分析,ツイッターブンセキ
潜在意味,センザイイミ
資料非公開,シリョウヒコウカイ
今回会場,コンカイカイジョウ
数学的,スウガクテキ
開始RT,カイシアールティー
広告クリエイティブ,コウコククリエイティブ
JavaLibrary,ジャバライブラリー
期待w,キタイワット
大変勉強,タイヘンベンキョウ
進行状況,シンコウジョウキョウ
位Mobage,イモバゲー
数分,スウフン
UST職人,ユーエスティーショクニン
アドファイブ,アドファイブ
確率分布,カクリツブンプ
ビッグデータ解析,ビッグデータカイセキ
トーク全体,トークゼンタイ
診療当番医,シンリョウトウバンイ
徹底解析,テッテイカイセキ
博士８,ハカセハチ
崩壊現実,ホウカイゲンジツ
２次,ニジ
定員倍増,テイインバイゾウ
Mahoutjp,マハートジェーピー
実行方法,ジッコウホウホウ
数日,スウニチ
一年,イチネン
医療機器ビジネス,イリョウキキビジネス
一週間,イチシュウカン
RT徹底的,アールティーテッテイテキ
登録完了,トウロクカンリョウ
Whyis,ホワイイズ
日程変更,ニッテイヘンコウ
回参加者,カイサンカシャ
isa,アイエスアール
ブログ更新,ブログコウシン
オープンセミナー,オープンセミナー
PFIオープン,ピーエフアイオープン
異常検知最前線,イジョウケンチサイゼンセン
会長川鍋,カイチョウカワナベ
回募集,カイボシュウ
参加者ホワイトボード,サンカシャホワイトボード
数理手法,スウリシュホウ
途中入手,トチュウニュウシュ
回連続,カイレンゾク
ソーシャルネットワーク上,ソーシャルネットワークジョウ
タイムテーブル確定,タイムテーブルカクテイ
期間限定公開,キカンゲンテイコウカイ
ウェブビジネス,ウェブビジネス
コールドスタート,コールドスタート
自炊漫画,ジスイマンガ
施策提案,シサクテイアン
FAR-1,エフエイアールワン
処理基盤,ショリキバン
完全自動,カンゼンジドウ
解析入門,カイセキニュウモン
運営ノウハウ,ウンエイノウハウ
指数型,シスウガタ
取締役ファウンダー,トリシマリヤクファウンダー
編集メンバー,ヘンシュウメンバー
入門等,ニュウモントウ
箭内さん,ヤナイサン
bob3b,ボブサンビー
協調行動,キョウチョウコウドウ
データマイニング手法,データマイニングシュホウ
RT日程,アールティーニッテイ
パネルリサーチ,パネルリサーチ
等貢献,トウコウケン
可視化入門,カシカニュウモン
用い各種,ヨウイカクシュ
ベースレコメンデーション,ベースレコメンデーション
ダンススタイル,ダンススタイル
各種方法論,カクシュホウホウロン
者そのもの,シャソノモノ
HBaseat,エイチベースエーティー
ベイズ統計,ベイズトウケイ
テクノロジー祭り,テクノロジーマツリ
トーク構成,トークコウセイ
コンテスト必勝法,コンテストヒッショウホウ
パターンマイニング,パターンマイニング
面白い事,オモシロイジ
MahoutDimension,マハートディメンション
ユーザ数,ユーザスウ
統計的機械学習,トウケイテキキカイガクシュウ
学術領域,ガクジュツリョウイキ
明日朝,アシタアサ
新人データサイエンティスト,シンジンデータサイエンティスト
forwardto,フォーワードトゥ
補足資料,ホソクシリョウ
広告活用,コウコクカツヨウ
トーク終了,トークシュウリョウ
マイニング等,マイニングトウ
周年祝い,シュウネンイワイ
RT大変,アールティータイヘン
場ですよ。,バデスヨ
サイエンス徹底,サイエンステッテイ
複雑ネットワーク研究,フクザツネットワークケンキュウ
通信データマイニング,ツウシンデータマイニング
技術徹底,ギジュツテッテイ
参加歓迎,サンカカンゲイ
潜在情報,センザイジョウホウ
二倍,ニバイ
２弾,ニダン
RT用事,アールティーヨウジ
途中日記,トチュウニッキ
人材活躍,ジンザイカツヤク
人工知能学会会長,ジンコウチノウガッカイカイチョウ
さん主催,サンシュサイ
高い障壁,コウイショウヘキ
全体統括,ゼンタイトウカツ
anoさん,アノサン
2日開催,フツカカイサイ
RT応援,アールティーオウエン
理論物理学研究,リロンブツリガクケンキュウ
来週以降,ライシュウイコウ
RTデータ,アールティーデータ
勉強会資料,ベンキョウカイシリョウ
コンプライアンスコンサル,コンプライアンスコンサル
かのんげんき,カノンゲンキ
週末楽しみ,シュウマツタノシミ
週末開催,シュウマツカイサイ
通院付き添い,ツウインツキソイ
マルコフ連鎖モデル,マルコフレンサモデル
物理出身,ブツリシュッシン
っ子苦,ッコク
測定サービス,ソクテイサービス
部資料,ブシリョウ
候補者数,コウホシャスウ
議論終了,ギロンシュウリョウ
bot作成,ボットサクセイ
日程連絡,ニッテイレンラク
リリース予定,リリースヨテイ
活用編,カツヨウヘン
１名,イチメイ
特別セミナー,トクベツセミナー
応用事例,オウヨウジレイ
UST可否,ユーエスティーカヒ
解析実装,カイセキジッソウ
RTそれ,アールティーソレ
ソーシャルグラフ分析,ソーシャルグラフブンセキ
荒川区医師会,アラカワクイシカイ
５月下旬,ゴガツゲジュン
子どもたち,コドモタチ
本日お話,ホンジツオハナシ
最適型,サイテキガタ
ソリューションカンパニー,ソリューションカンパニー
関連文献,カンレンブンケン
最前線トーク,サイゼンセントーク
回会場,カイカイジョウ
フレームワーク概論,フレームワークガイロン
あらびき,アラビキ
タグ検索,タグケンサク
Twitterアナウンス,ツイッターアナウンス
次回第9,ジカイダイク
ベイズ計算,ベイズケイサン
チケット監視,チケットカンシ
活用アンカンファレンス,カツヨウアンカンファレンス
言語モデル入門,ゲンゴモデルニュウモン
解析環境,カイセキカンキョウ
物理ダンス,ブツリダンス
不徹底入門,フテッテイニュウモン
修士１,シュウシイチ
Mahout関連,マハートカンレン
席数,セキスウ
アンサンブル学習,アンサンブルガクシュウ
分間隔,フンカンカク
ビジネスモデル研究会,ビジネスモデルケンキュウカイ
開催洗練,カイサイセンレン
タイムテーブル詳細,タイムテーブルショウサイ
月島到着,ツキシマトウチャク
一通り,イチトオリ
RTメモ,アールティーメモ
監視bot,カンシボット
mahout.jp,マハートドットジェイピー
参加者キャンセル,サンカシャキャンセル
Mathematical,マセマティカリットル
マウス操作,マウスソウサ
おもしろそう,オモシロソウ
アプローチ入門,アプローチニュウモン
赤裸々トーク,セキララトーク
会シンポジウム,カイシンポジウム
創設メンバ,ソウセツメンバ
lookforward,ルックフォーワード
Understandingwith,アンダースタンディングウィズ
かのんおなか,カノンオナカ
inTokyo,イントウキョウ
運営手伝い,ウンエイテツダイ
inJapan,インジャパン
特別講演,トクベツコウエン
RT今度,アールティーコンド
２度,ニド
真の現実世界,シンノゲンジツセカイ
数名,スウメイ
CEO６,シーイーオーロク
株式会社ロフトワーク,カブシキガイシャロフトワーク
勉強会in,ベンキョウカイイン
看護師さん,カンゴシサン
オントロジー研究,オントロジーケンキュウ
データ可視化,データカシカ
ピザパーティー,ピザパーティー
最強ハッカー,サイキョウハッカー
ボランティア参加,ボランティアサンカ
USTOK,ユーエスティーオーケイ
二部,ニブ
レコメンド最前線,レコメンドサイゼンセン
解析フロントエンド,カイセキフロントエンド
大変参考,タイヘンサンコウ
オープニングトーク,オープニングトーク
クラウド研究会,クラウドケンキュウカイ
binarynet,バイナリエヌイーティー
RT僕,アールティーボク
４月中旬,シガツチュウジュン
充電期間,ジュウデンキカン
毎回開催,マイカイカイサイ
募集前,ボシュウマエ
レコメンデーション運用,レコメンデーションウンヨウ
チケット公開,チケットコウカイ
forCluster,フォークラスター
日程延期,ニッテイエンキ
方留守番電話,ホウルスバンデンワ
構成調整,コウセイチョウセイ
機械学習入門,キカイガクシュウニュウモン
講演者,コウエンシャ
RTクオンツ,アールティークオンツ
回Japan,カイジャパン
開催可能,カイサイカノウ
最新事情,サイシンジジョウ
初学者,ショガクシャ
次回参加,ジカイサンカ
データマイニングセミナー,データマイニングセミナー
RT例,アールティーレイ
予選通過,ヨセンツウカ
一冊,イチサツ
途中結果,トチュウケッカ
PRML復習,ピーアールエムエルフクシュウ
いちばんホット,イチバンホット
言語横断,ゲンゴオウダン
みなさんオススメ,ミナサンオススメ
氏インタビュー,シインタビュー
R言語人材,アールゲンゴジンザイ
２点,ニテン
ファイブDSP,ファイブディーエスピー
数席,スウセキ
週目,シュウメ
開催検討,カイサイケントウ
みんなさん,ミンナサン
家族三,カゾクサン
RTTsukuba.R,アールティーツクバアール
分析力,ブンセキリョク
東京大学,トウキョウダイガク
