研究者,ケンキュウシャ
所有者,ショユウシャ
二足,ニソク
Pfe,ピーエフイー
andJapan,アンドジャパン
theApollo,ザアポロ
市民権取得,シミンケンシュトク
創作者,ソウサクシャ
国立天文台,コクリツテンモンダイ
トランプ氏,トランプシ
ラックあたり,ラックアタリ
洗濯物,センタクブツ
codeto,コードトゥ
中心的,チュウシンテキ
高揚感,コウヨウカン
人超,ニンチョウ
theEarth,ザアース
PDF資料,ピーディーエフシリョウ
研究強化,ケンキュウキョウカ
go2hiro,ゴーツーヒロ
百年,ヒャクネン
教育用,キョウイクヨウ
othersources,アザーソーシズ
岩田社長,イワタシャチョウ
月あたり,ツキアタリ
2月号,ニガツゴウ
直属組織,チョクゾクソシキ
茂木健一郎先生,モギケンイチロウセンセイ
億人,オクニン
７５,ナナゴ
IT活用,アイティーカツヨウ
オープンソース版,オープンソースバン
国内最速,コクナイサイソク
サンプルサイズ,サンプルサイズ
年当時,ネントウジ
検討課題,ケントウカダイ
データ収集,データシュウシュウ
withSC,ウィズエスシィ
ネット接続,ネットセツゾク
会議モデル,カイギモデル
Whythe,ホワイザ
mainstream,メインストリーム
牽引型,ケンインガタ
ビッグデータグリーン,ビッグデータグリーン
学長選挙,ガクチョウセンキョ
JRNZ,ジェイアールニュージーランド
Mooreera,ムーアイーラ
TVnews,テレビニュース
売り手市場,ウリテシジョウ
研究体制,ケンキュウタイセイ
atconvenience,エーティーコンビニエンス
相当以上,ソウトウイジョウ
thplanet,ティーエッチプラネット
世間知らず,セケンシラズ
ポーズ分類,ポーズブンルイ
海外学振,カイガイガクシン
階層化,カイソウカ
連携教授,レンケイキョウジュ
承継教員,ショウケイキョウイン
機械学習アルゴリズム,キカイガクシュウアルゴリズム
研究棟,ケンキュウトウ
日本復活,ニッポンフッカツ
OECD下位,オーイーシーディーカイ
数ヶ月,スウカゲツ
boothat,ブースアット
目以降,メイコウ
テープシステム,テープシステム
forChina,フォーチャイナ
アプリ系,アプリケイ
容量化,ヨウリョウカ
年更新,ネンコウシン
onAI,オンアイ
TheTSUBAME,ザツバメ
外部研究,ガイブケンキュウ
themiddle,ザミドル
マルチスレッド,マルチスレッド
的存在,テキソンザイ
世界有数,セカイユウスウ
tome,トゥミ
大学事務,ダイガクジム
firstto,ファーストトゥ
台風発生,タイフウハッセイ
システム系,システムケイ
皆んな様,ミンナサマ
comfortzone,コンフォートゾーン
技術賞,ギジュツショウ
％台,パーセントダイ
2016年2月,ニセンジュウロクネンニガツ
報告プロセス,ホウコクプロセス
toall,トゥアルバニアレク
Numerical,ヌメリカル
財務官僚,ザイムカンリョウ
４５,ヨンゴ
スパコンランキング,スパコンランキング
ランク入り,ランクイリ
文科省通達,モンカショウツウタツ
教育モデル,キョウイクモデル
大学学費,ダイガクガクヒ
法人化,ホウジンカ
ultimate,ウルティマテ
問題視,モンダイシ
40代後半,ヨンジュウダイコウハン
年度末,ネンドマツ
米トップ,ベイトップ
競技場開発,キョウギジョウカイハツ
ノード数,ノードスウ
予算削減,ヨサンサクゲン
光伝送,コウデンソウ
personal,ペルソナリットル
extendedto,エクステンデッドトゥ
AVX-5,エイブイエックスファイブ
inCloud,インクラウド
Parallella,パラレルエルエー
合同チーム,ゴウドウチーム
授業計画,ジュギョウケイカク
ゲノムデータ,ゲノムデータ
facebookjp,フェイスブックジェーピー
thedeep,ザディープ
youget,ユウゲット
toanother,トゥアナザー
数回,スウカイ
密行列,ミツギョウレツ
円平均,エンヘイキン
ビッグデータ分析,ビッグデータブンセキ
Chinawill,チャイナウィル
週間後,シュウカンゴ
２７,ニナナ
JapaneseResearch,ジャパニーズリサーチ
実質負担,ジッシツフタン
人物本位入試,ジンブツホンイニュウシ
yearin,イヤーイン
新型機,シンガタキ
最大化,サイダイカ
入学許可,ニュウガクキョカ
inSaudi Arabia,インサウジアラビア
againon,アゲインオン
outin,アウトイン
２年,ニネン
peryear,ピーイーアールイヤー
forthe 20,フォーニジュウニジュウエクスペリエンス
RT日本,アールティーニッポン
itsfirst,アイティエスファースト
在宅勤務,ザイタクキンム
閉塞感,ヘイソクカン
時系列因果,ジケイレツインガ
asit,アズイット
名門大学,メイモンダイガク
bya,ビーワイアール
筆頭著者,ヒットウチョシャ
工科大,コウカダイ
programto,プログラムトゥ
forthe future,フォーザフューチャー
formachine,フォーマシン
上野君,ウエノクン
JSTCREST,ジェイエスティークレスト
ビッグデータ系,ビッグデータケイ
意思疎通,イシソツウ
米国型,ベイコクガタ
米型,ベイガタ
者人生,シャジンセイ
小笠原さん,オガサワラサン
machinewill,マシンウィル
失敗プロジェクト,シッパイプロジェクト
JapaneseSC,ジャパニーズエスシィ
プレゼン能力,プレゼンノウリョク
２週間,ニシュウカン
AI応用,アイオウヨウ
８億,ハチオク
対象技術,タイショウギジュツ
ネクストワールド,ネクストワールド
指定国立大学法人,シテイコクリツダイガクホウジン
計算天津,ケイサンテンシン
シニア研究,シニアケンキュウ
自宅勤務,ジタクキンム
一般書,イッパンショ
高度経済成長期,コウドケイザイセイチョウキ
型ビッグデータ,ガタビッグデータ
toEurope,トゥユーロップ
thestate,ザステート
研究員ポスト,ケンキュウインポスト
型スパコン,ガタスパコン
3PM,サンピーメガ
マイナースポーツ,マイナースポーツ
抜本的,バッポンテキ
高度情報,コウドジョウホウ
究極的,キュウキョクテキ
運営交付金,ウンエイコウフキン
趨勢ですよ。,スウセイデスヨ
工科大学,コウカダイガク
セキュリティ向上,セキュリティコウジョウ
規模システム,キボシステム
普遍的,フヘンテキ
情報人材,ジョウホウジンザイ
youdon,ユウドン
理工学系,リコウガクケイ
ビッグデータ応用,ビッグデータオウヨウ
isalways,アイエスオールウェイズ
toTokyo,トゥトウキョウ
米共,ベイドモ
最先端IT,サイセンタンアイティー
結局日本,ケッキョクニッポン
CSis,シーエスイズ
論文PDF,ロンブンピーディーエフ
Physicsto,フィジクストゥ
研究系,ケンキュウケイ
公的セクタ,コウテキセクタ
来年発売,ライネンハツバイ
欠陥制度,ケッカンセイド
４割,ヨンワリ
筋悪,スジアク
多数者,タスウシャ
二番目,ニバンメ
nowout,ナウアウト
百円,ヒャクエン
数値アルゴリズム,スウチアルゴリズム
式欠席,シキケッセキ
本格化,ホンカクカ
運用費,ウンヨウヒ
無効化,ムコウカ
東工大博士,トウコウダイハカセ
byin,ビーワイイン
十億,ジュウオク
エクサスケール,エクサスケール
ifthe,イフザ
中学入試,チュウガクニュウシ
授業時間,ジュギョウジカン
費高騰,ヒコウトウ
Open SourceGPU,オープンソースジーピーユー
就活生,シュウカツセイ
getto,ゲットトゥ
inthe c,インザシー
GPU開発,ジーピーユーカイハツ
onHPC,オンエイチピーシー
ローカル大学,ローカルダイガク
saidthat,サイードザット
視覚的,シカクテキ
次世代GPU,ジセダイジーピーユー
着地点,チャクチテン
校化,コウカ
分野全体,ブンヤゼンタイ
開催中,カイサイチュウ
アメリカ放題,アメリカホウダイ
コンピューティングコンテスト,コンピューティングコンテスト
nextyear,ネクストイヤー
合理的,ゴウリテキ
入試選別,ニュウシセンベツ
Needto,ニードトゥ
工学専攻,コウガクセンコウ
午前休講,ゴゼンキュウコウ
ステップ２,ステップニ
メールサービス,メールサービス
IDCfor,アイディーシーフォー
なっちゃったの,ナッチャッタノ
範囲外,ハンイガイ
here:,ヒーアールイー
批判的,ヒハンテキ
注目点,チュウモクテン
楽観的,ラッカンテキ
国際公募,コクサイコウボ
whois,フーイズ
正当化,セイトウカ
HPC業界,エイチピーシーギョウカイ
前職,マエショク
グリーンスーパーコンピュータ,グリーンスーパーコンピュータ
参考資料,サンコウシリョウ
ヒト型,ヒトガタ
ここ最近,ココサイキン
制約充足,セイヤクジュウソク
edby,イーディービーワイ
スマート創,スマートハジメ
試作品,シサクヒン
２６,ニロク
RT学力,アールティーガクリョク
技術系,ギジュツケイ
アーヘン工科,アーヘンコウカ
富の独占,トミノドクセン
日本勢,ニッポンゼイ
プログラム委員会,プログラムイインカイ
ポストF,ポストエフ
チューリッヒ研究所,チューリッヒケンキュウジョ
theword,ザワード
的課題,テキカダイ
時差通勤,ジサツウキン
困難さ,コンナンサ
nowon,ナウオン
ノード内,ノードナイ
toLive,トゥライブ
世界最先端,セカイサイセンタン
評価値,ヒョウカチ
一歩,イチホ
意見招請,イケンショウセイ
ranking,ランキング
数日,スウニチ
CPU作成,シーピーユーサクセイ
系学生,ケイガクセイ
keynoteby,キーノートビーワイ
Interviewwith,インタビューウィズ
三浦健一,ミウラケンイチ
機械式,キカイシキ
codeis,コードイズ
資料作り,シリョウヅクリ
最適解,サイテキカイ
外国研究所,ガイコクケンキュウジョ
嫌がらせ対策,イヤガラセタイサク
万点,マンテン
eris,イーアールイズ
５年度,ゴネンド
豊田先生,トヨダセンセイ
Livestream,ライブストリーム
selection,セレクトアイオン
紹介記事,ショウカイキジ
文系学部軽視,ブンケイガクブケイシ
cashcomes,キャッシュカムズ
一般向け,イッパンムケ
TOKYOWeb,トウキョウWeb
開閉ゲート,カイヘイゲート
ソフトウェアスタック,ソフトウェアスタック
一ヶ月,イチカゲツ
科学技術政策,カガクギジュツセイサク
中長期的,チュウチョウキテキ
継続性,ケイゾクセイ
and not,アンドエヌオーティ
期科学技術,キカガクギジュツ
学費無料,ガクヒムリョウ
先進国最低,センシンコクサイテイ
minglanguage,ミングセンゴヒャクサンジュウゴマンロッピャクロクジュウゴゼロゼロキュウナナマンハチゴゼロナナ
techreview,テックレビュー
求職者側,キュウショクシャガワ
委員長職,イインチョウショク
政府関係者,セイフカンケイシャ
無事羽田,ブジハタ
運用再開,ウンヨウサイカイ
コスト的,コストテキ
forits,フォーアイティエス
最高速,サイコウソク
年齢層,ネンレイソウ
ペタバイト級,ペタバイトキュウ
マイナー分野,マイナーブンヤ
Shareさん,シェアサン
theCloud,ザクラウド
連携研究,レンケイケンキュウ
統計モデリング,トウケイモデリング
総裁直属,ソウサイチョクゾク
スパコンコンテスト,スパコンコンテスト
弾丸トーク,ダンガントーク
GeneAmdahl,ジーンアムダール
正式サポート,セイシキサポート
人流,ヒトリュウ
関係性,カンケイセイ
英語授業,エイゴジュギョウ
共通テスト,キョウツウテスト
番組作り,バングミヅクリ
athis,アットヒズ
全学共通,ゼンガクキョウツウ
isJuly,アイエスジュライ
対戦勝率,タイセンショウリツ
それ自身,ソレジシン
中堅どころ,チュウケンドコロ
意味不明,イミフメイ
Xeonchip,ジーオンチップ
間SMS,カンエスエムエス
観光施設開発,カンコウシセツカイハツ
%削減,パーセントサクゲン
都市開発,トシカイハツ
Newblog,ニューブログ
クレイ賞,クレイショウ
toexploit,トゥエクスプロイト
新国立競技場問題,シンコクリツキョウギジョウモンダイ
半程度,ハンテイド
RTANA,アールティーエイエヌエイ
ガン無視,ガンムシ
クリスマス状態,クリスマスジョウタイ
前年比,ゼンネンヒ
nowfor,ナウフォー
NECto,エヌイーシートゥ
裏取り,ウラトリ
onIntel,オンインテル
hereis,ヒアーアイエス
NODREAM,ノードリーム
商業性,ショウギョウセイ
創設時代,ソウセツジダイ
スパコン分野,スパコンブンヤ
以下自粛,イカジシュク
2016年4月,ニセンジュウロクネンシガツ
dida,ディーアイディーアール
１次,イチジ
interviewwith,インタビューウィズ
今後運用,コンゴウンヨウ
一億,イチオク
friendsin,フレンズイン
シリコンバレー企業,シリコンバレーキギョウ
国立大学法人等,コクリツダイガクホウジントウ
日独シンポジウム,ニチドクシンポジウム
認証システム,ニンショウシステム
Thanksto,サンクストゥ
三期,サンキ
大学評価,ダイガクヒョウカ
ゾンビ事業,ゾンビジギョウ
年史,ネンシ
分析者,ブンセキシャ
ネットワーク研究,ネットワークケンキュウ
化以外,カイガイ
的意義,テキイギ
代替案,ダイタイアン
ベル御大,ベルオンタイ
１個,イチコ
大学以外,ダイガクイガイ
回全国大会,カイゼンコクタイカイ
研究水準,ケンキュウスイジュン
itfor,アイティーフォー
shipin,シップイン
toswitch,トゥスイッチ
藤むら,フジムラ
moveto,ムーブトゥ
MicrosoftResearch,マイクロソフトリサーチ
高校大学,コウコウダイガク
笹井氏,ササイシ
Techfor,テックフォー
fixit,フィックスイット
小学校６,ショウガッコウロク
志願者,シガンシャ
トップジャーナル,トップジャーナル
ポテトカレー,ポテトカレー
経営陣,ケイエイジン
chiphas,チップハス
研究所施設,ケンキュウジョシセツ
ZeroHuman,ゼロヒューマン
インチ時代,インチジダイ
CSCCluster,シーエスシークラスター
Timetable,タイムテーブル
inone,インワン
アルゴリズム論,アルゴリズムロン
Tokyotoday,トウキョウトゥデイ
メモリマシン,メモリマシン
妥当性,ダトウセイ
査読委員,サドクイイン
米国トップ,ベイコクトップ
根本原因,コンポンゲンイン
坪単価,ツボタンカ
大学関連,ダイガクカンレン
学生競技ダンス,ガクセイキョウギダンス
医学分野,イガクブンヤ
全日本学生,ゼンニホンガクセイ
IEEEInter,アイトリプルイーインテル
基本計画専門,キホンケイカクセンモン
人材政策,ジンザイセイサク
プログラミング入門,プログラミングニュウモン
国産スパコン,コクサンスパコン
計算工学,ケイサンコウガク
複数受賞,フクスウジュショウ
国全体,クニゼンタイ
説明不足,セツメイフソク
減少傾向,ゲンショウケイコウ
allmy,アルバニアレクマイ
キャリア賞,キャリアショウ
viacc,ビアシーシー
商業ジャーナル,ショウギョウジャーナル
化メモリ,カメモリ
TSUBAMEグランドチャレンジ,ツバメグランドチャレンジ
教員人事,キョウインジンジ
日前,ニチマエ
円弱,エンジャク
甘利先生,アマリセンセイ
toaccept,トゥアクセプト
杉山さん,スギヤマサン
概算要求,ガイサンヨウキュウ
computerwill,コンピューターウィル
ユニークさ,ユニークサ
名門中学,メイモンチュウガク
onhis,オンヒズ
政治的,セイジテキ
９割,キュウワリ
HPCマーケット,エイチピーシーマーケット
独自CPU,ドクジシーピーユー
意図的,イトテキ
私立名門,シリツメイモン
米国流,ベイコクリュウ
thatwill,ザットウィル
学習法,ガクシュウホウ
キャリア間,キャリアカン
the car,ザシーアル
歴史的,レキシテキ
meanif,ミーンイフ
移動中,イドウチュウ
toin,トゥイン
さんら,サンラ
ドル投資,ドルトウシ
分散環境,ブンサンカンキョウ
歴史上,レキシジョウ
IEEEComputer,アイトリプルイーコンピューター
無料公開,ムリョウコウカイ
人類究極,ジンルイキュウキョク
具体策,グタイサク
物理学賞,ブツリガクショウ
ビッグデータ活用,ビッグデータカツヨウ
mission締切り,ミッションシメキリ
回以上,カイイジョウ
入社後,ニュウシャゴ
HPC的,エイチピーシーテキ
themoon.,ザムーン
従来型,ジュウライガタ
国立大授業料,コクリツダイジュギョウリョウ
創成研究,ソウセイケンキュウ
者数,シャスウ
９時,キュウジ
24時間容量,ニジュウヨジカンヨウリョウ
thatpeople,ザットピープル
通信技術,ツウシンギジュツ
生理学賞,セイリガクショウ
適性テスト,テキセイテスト
結果投稿,ケッカトウコウ
年目,ネンメ
力そのもの,チカラソノモノ
theIntel,ザインテル
大学執行部,ダイガクシッコウブ
当該人物,トウガイジンブツ
7号車,ナナゴウシャ
選民意識,センミンイシキ
枚以上,マイイジョウ
募集中,ボシュウチュウ
複雑化,フクザツカ
左タイプ,ヒダリタイプ
家庭生活,カテイセイカツ
的人生観,テキジンセイカン
７日,ナナニチ
国立大文系学部,コクリツダイブンケイガクブ
国家超級,コッカチャオジー
文系学部廃止,ブンケイガクブハイシ
修士英語教育,シュウシエイゴキョウイク
HiroshiAmano,ヒロシアマノ
hehas,ヒーハス
電話応対,デンワオウタイ
within,ウィズイン
最大顧客,サイダイコキャク
toimprove,トゥインプルーブ
広域網,コウイキモウ
政策的,セイサクテキ
当該記事,トウガイキジ
networking,ネットワークアイエヌジー
対Intel,タイインテル
症候群対策,ショウコウグンタイサク
lostits,ロストアイティエス
thepost,ザポスト
myfirst,マイファースト
上野発,ウエノハツ
日本では,ニッポンデハ
２種類,ニシュルイ
6月号,ロクガツゴウ
これ月,コレツキ
米国GC,ベイコクジーシー
モノ作り,モノヅクリ
補助金額,ホジョキンガク
超級計算,チャオジーケイサン
andyou,アンドユウ
feh.,エフイーエイチ
効果期待,コウカキタイ
theJune,ザジューン
電力一定,デンリョクイッテイ
無双人材,ムソウジンザイ
九千,キュウセン
２４,ニヨン
shareto,シェアトゥ
問題解決能力,モンダイカイケツノウリョク
入学時,ニュウガクジ
羽田到着,ハタトウチャク
nowit,ナウイット
atan,アットアン
医学生理学,イガクセイリガク
定量指標,テイリョウシヒョウ
講義資料,コウギシリョウ
トランプ現象,トランプゲンショウ
ガバメントリーチ,ガバメントリーチ
ExtremeScale,エクストリームスケール
thenumber,ザナンバー
toparallel,トゥパラレル
justa,ジャストアール
ダウンロード可能,ダウンロードカノウ
現実的,ゲンジツテキ
nowthat,ナウザット
CPU開発,シーピーユーカイハツ
GDX1,ゴールデンドーンエックスワン
破壊的,ハカイテキ
computeron,コンピューターオン
ビジネスモデル破壊,ビジネスモデルハカイ
企業就職,キギョウシュウショク
テクノロジー新興企業,テクノロジーシンコウキギョウ
着陸直前,チャクリクチョクゼン
京大教員,キョウダイキョウイン
IT部門,アイティーブモン
コスト削減,コストサクゲン
表彰式,ヒョウショウシキ
hasa,ハスアール
捏造事件,ネツゾウジケン
機械学習用,キカイガクシュウヨウ
盤面評価,バンメンヒョウカ
理数系,リスウケイ
エコノミスト誌,エコノミストシ
関数型,カンスウガタ
教育体制,キョウイクタイセイ
Tokyoto,トウキョウトゥ
規模縮小,キボシュクショウ
デフレ脳,デフレノウ
リニューアル版,リニューアルバン
４２,ヨンニ
tofix,トゥフィックス
WhyJapanese,ホワイジャパニーズ
A9X,エーナインエックス
Researcher,リサーチイーアール
個人研究,コジンケンキュウ
汎用アルゴリズム,ハンヨウアルゴリズム
者達,シャタチ
BestPaper,ベストペーパー
PascalP,パスカルピー
主要大学,シュヨウダイガク
収入増,シュウニュウゾウ
萌芽的,ホウガテキ
QSWorld,キューエスワールド
大変そう,タイヘンソウ
建設的,ケンセツテキ
是非ご覧,ゼヒゴラン
CPU設計,シーピーユーセッケイ
GBSSD,ギガバイトエスエスディー
中世的,チュウセイテキ
予算的,ヨサンテキ
知識人,チシキジン
有力ジャーナル,ユウリョクジャーナル
経営層,ケイエイソウ
コア程度,コアテイド
onExtreme,オンエクストリーム
chipat,チップアット
脱力ニュース,ダツリョクニュース
インターネット接続時間,インターネットセツゾクジカン
有効活用,ユウコウカツヨウ
安藤忠雄氏,アンドウタダオシ
課題解決,カダイカイケツ
ギフトオーサーシップ,ギフトオーサーシップ
申請センター,シンセイセンター
入試業務,ニュウシギョウム
exceeding,エクシードアイエヌジー
国内学会,コクナイガッカイ
timein,タイムイン
トンボ帰り,トンボガエリ
立国自殺,リッコクジサツ
産生,サンセイ
リスト追加,リストツイカ
世良耕太,セラコウタ
外国人留学生,ガイコクジンリュウガクセイ
地球物理学者,チキュウブツリガクシャ
Keynoteat,キーノートアット
数研,スウケン
スパコンFX,スパコンエフエックス
HPCインター,エイチピーシーインター
andbig,アンドビッグ
周年記念,シュウネンキネン
高速処理,コウソクショリ
給与レンジ,キュウヨレンジ
分野外,ブンヤガイ
性能スパコン,セイノウスパコン
誤認惹起,ゴニンジャッキ
情報共有,ジョウホウキョウユウ
億倍,オクバイ
手間味噌,テマミソ
海外通販,カイガイツウハン
情報交換,ジョウホウコウカン
原則ネット,ゲンソクネット
半年以上,ハントシイジョウ
高度人材,コウドジンザイ
ハイパフォーマンス,ハイパフォーマンス
公募中,コウボチュウ
開発対象,カイハツタイショウ
徳大寺有恒さん,トクダイジアリツネサン
実務経験,ジツムケイケン
andmy,アンドマイ
最新号,サイシンゴウ
VCReRAM,ブイシーアールイーラム
万程度,マンテイド
制導入,セイドウニュウ
ディープラーニング以外,ディープラーニングイガイ
必要以上,ヒツヨウイジョウ
１兆,イチチョウ
toPort,トゥポート
男子学生,ダンシガクセイ
代表元,ダイヒョウモト
経営トップ,ケイエイトップ
現代的,ゲンダイテキ
ledby,エルイーディービーワイ
inEurope,インユーロップ
エコ症候群,エコショウコウグン
moretime,モアタイム
bestpaper,ベストペーパー
高校時,コウコウジ
任教員,ニンキョウイン
理研改革,リケンカイカク
人減,ニンゲン
国際連携,コクサイレンケイ
ITベンダー,アイティーベンダー
researchpaper,リサーチペーパー
６１,ロクイチ
提供開始,テイキョウカイシ
万九,マンキュウ
政策転換,セイサクテンカン
theairport,ザエアポート
百人,ヒャクニン
CIO補佐,シーアイオーホサ
応用軽視,オウヨウケイシ
理学的,リガクテキ
think itis,シンクイットイズ
theConverge,ザコンヴァージ
型大学,ガタダイガク
ノードSSD,ノードエスエスディー
評価者,ヒョウカシャ
横軸,ヨコジク
国民的,コクミンテキ
二年,ニネン
地球生命,チキュウセイメイ
sothat,ソーザット
％下落,パーセントゲラク
大切さ,タイセツサ
HPCto,エイチピーシートゥ
陳腐化,チンプカ
加速化,カソクカ
論文不正,ロンブンフセイ
coreprogram,コアプログラム
５倍,ゴバイ
博士持ち,ハカセモチ
KFCand,ケーエフシーアンド
特定分野,トクテイブンヤ
学会主催者,ガッカイシュサイシャ
政府CIO,セイフシーアイオー
松井君,マツイクン
インターネット上,インターネットジョウ
ボランティア経験,ボランティアケイケン
techfor,テックフォー
歳人口,サイジンコウ
ITエンジニア,アイティーエンジニア
ビッグデータ特集,ビッグデータトクシュウ
学術情報,ガクジュツジョウホウ
的企業,テキキギョウ
GoogleCloud,グーグルクラウド
already,アルレディー
リバモア研,リバモアケン
IT関連,アイティーカンレン
知識層,チシキソウ
創造的,ソウゾウテキ
istrue,イズトゥルー
formore,フォーモア
ispresent,イズプレゼント
プロセス簡易,プロセスカンイ
DREAMIS,ドリームイズ
１２,イチニ
面接試験,メンセツシケン
グローバル英語圏,グローバルエイゴケン
システム管理,システムカンリ
基礎部分,キソブブン
屋さん,ヤサン
海外英語,カイガイエイゴ
数理論理学,スウリロンリガク
トップ人材,トップジンザイ
PFpeak,ピーエフピーク
ライセンス料,ライセンスリョウ
公務員給与,コウムインキュウヨ
半数以上,ハンスウイジョウ
水面下,スイメンカ
paperat,ペーパーアット
2014年6月,ニセンジュウヨネンロクガツ
的サービス,テキサービス
基礎的,キソテキ
国立大運営,コクリツダイウンエイ
開発リーダー,カイハツリーダー
恋愛学,レンアイガク
臨床研究,リンショウケンキュウ
OrangeFrance,オレンジフランス
高校卒,コウコウソツ
会議中,カイギチュウ
米半導体,ベイハンドウタイ
1Bin,ファーストベースマンイン
決議事項,ケツギジコウ
一年間,イチネンカン
クラウドストレージ,クラウドストレージ
社会進化,シャカイシンカ
コスト上昇,コストジョウショウ
新卒者,シンソツシャ
IPヘッダ,アイピイヘッダ
試験飛行,シケンヒコウ
受賞理由,ジュショウリユウ
atwo,アールツゥ
アポロは月,アポロハツキ
７年度,ナナネンド
円以下,エンイカ
アパルトヘイト称揚,アパルトヘイトショウヨウ
ITラボ,アイティーラボ
日本経済,ニッポンケイザイ
nationalTV,ナショナルテレビ
搭乗証明,トウジョウショウメイ
BlueWaters,ブルーウォーターズ
云々等,ウンヌントウ
最近自分,サイキンジブン
大幅削減,オオハバサクゲン
創造宣言,ソウゾウセンゲン
何倍,ナンバイ
本程度,ホンテイド
学生定員,ガクセイテイイン
Japanare,ジャパンアレ
computertally,コンピュータータリー
行政実務,ギョウセイジツム
基礎学問,キソガクモン
theart,ザエーアールティー
物理系,ブツリケイ
SoC設計,エスオーシーセッケイ
SCin,エスシィイン
2011年度,ニセンジュウイチネンド
Chemistryon,ケミストリーオン
投資資産,トウシシサン
成果報告,セイカホウコク
geta,ゲットアール
後継機,コウケイキ
修士相当,シュウシソウトウ
審査書類,シンサショルイ
独自KPI,ドクジケーピーアイ
産学間,サンガクカン
ベイジアン時系列,ベイジアンジケイレツ
簡易化,カンイカ
tocreate,トゥクリエイト
人単位,ニンタンイ
自ら提案,ミズカラテイアン
一流大,イチリュウダイ
課程進学,カテイシンガク
東工大大岡山,トウコウダイオオオカヤマ
数値計算屋,スウチケイサンヤ
RTAmazon,アールティーアマゾン
将来予測,ショウライヨソク
専用チップ,センヨウチップ
２億,ニオク
応用力,オウヨウリョク
大学学部,ダイガクガクブ
政府検討,セイフケントウ
定量化,テイリョウカ
世間一般,セケンイッパン
事務職員,ジムショクイン
論理的,ロンリテキ
職業柄,ショクギョウガラ
ドル超,ドルチョウ
授業料値上げ,ジュギョウリョウネアゲ
ビザ申請,ビザシンセイ
数分,スウフン
hasto,ハストゥ
CSファーン,シーエスファーン
０名,ゼロメイ
制度改革,セイドカイカク
テック企業,テックキギョウ
科学技術創成,カガクギジュツソウセイ
書類記入,ショルイキニュウ
サービス開始,サービスカイシ
放射性,ホウシャセイ
通常バージョン,ツウジョウバージョン
think itwas,シンクイットワイドエリアサーチ
４６,ヨンロク
３ヶ月,サンカゲツ
andOpenMP,アンドオープンエムピー
forDeep,フォーディープ
水平連携,スイヘイレンケイ
日本テレビ系,ニホンテレビケイ
者誤認,シャゴニン
皆そう,ミナソウ
大学院入学,ダイガクインニュウガク
ネット詐欺,ネットサギ
是非日本,ゼヒニッポン
一通り,イチトオリ
個人メール,コジンメール
金融界,キンユウカイ
theera,ザイーラ
アドミッション,アドミッション
isonly,イズオンリー
トップ国立大学,トップコクリツダイガク
人型,ヒトガタ
オープンサイエンス,オープンサイエンス
togo,トゥゴー
半導体コンピュータ,ハンドウタイコンピュータ
シンガポール人,シンガポールジン
者向け,シャムケ
onGPU,オンジーピーユー
機能性,キノウセイ
クラウド型,クラウドガタ
TechCrunchJapan,テッククランチジャパン
2016年度,ニセンジュウロクネンド
天津中心,テンシンチュウシン
算出法,サンシュツホウ
同類の,ドウルイノ
PC数,ピーシースウ
昨日夜,キノウヨル
米欧,ベイオウ
Linuxカーネル,リナックスカーネル
返済必要,ヘンサイヒツヨウ
IT家電,アイティーカデン
科学新聞,カガクシンブン
国立大学改革,コクリツダイガクカイカク
ビザセンター,ビザセンター
theplanet,ザプラネット
生命研究所,セイメイケンキュウジョ
査読システム,サドクシステム
OECD平均,オーイーシーディーヘイキン
サーバーSoC,サーバーエスオーシー
RFIis,エレフィイズ
ヒトゲノム解析,ヒトゲノムカイセキ
ディスクスペース,ディスクスペース
従事内容,ジュウジナイヨウ
０兆,ゼロチョウ
承継ポスト,ショウケイポスト
応用範囲,オウヨウハンイ
探索空間,タンサククウカン
産学連携研究,サンガクレンケイケンキュウ
購入時,コウニュウジ
何時間,ナンジカン
氏ら,シラ
thetwo,ザツゥ
文部科学大臣補佐,モンブカガクダイジンホサ
間移動,カンイドウ
的趨勢,テキスウセイ
peoplewho,ピープルフー
武蔵中,ムサシチュウ
inPhysics,インフィジクス
助手時代,ジョシュジダイ
競争的,キョウソウテキ
次世代スパコン,ジセダイスパコン
inyear,インイヤー
ケネディ氏,ケネディシ
theyear,ザイヤー
foundat,ファウンドアット
beingthe,ビーイングザ
施設一般公開,シセツイッパンコウカイ
教育費,キョウイクヒ
千四,センヨン
日本ならでは,ニッポンナラデハ
維持可能,イジカノウ
anIEEE,アンアイトリプルイー
techpaper,テックペーパー
人工知能技術,ジンコウチノウギジュツ
大学当局,ダイガクトウキョク
表層的,ヒョウソウテキ
tokeynote,トゥキーノート
弊学,ヘイガク
授業料無償,ジュギョウリョウムショウ
継承人事,ケイショウジンジ
anAI,アンアイ
末端ユーザー,マッタンユーザー
Portland,ポートランド
２位,ニイ
全部間違い,ゼンブマチガイ
andfor,アンドフォー
Xeonマシン,ジーオンマシン
日本二位,ニッポンニイ
水曜朝,スイヨウアサ
山中教授,サンチュウキョウジュ
itin,イットイン
underthe,アンダーザ
落合陽一,オチアイヨウイチ
mybeing,マイビーイング
makethe,メイクザ
Theonly,ザオンリー
otheris,アザーアイエス
的発想,テキハッソウ
aReader,アールリーダー
十パーセント,ジュウパーセント
講演者,コウエンシャ
HPCChina,エイチピーシーチャイナ
無意味スライド,ムイミスライド
chipban,チップバン
