産総研人工知能,サンソウケンジンコウチノウ
スライドつき,スライドツキ
某社研究所,ボウシャケンキュウジョ
永田さん,ナガタサン
翻訳関連,ホンヤクカンレン
関連研究,カンレンケンキュウ
エラー分析,エラーブンセキ
機械翻訳技術,キカイホンヤクギジュツ
小町先生,コマチセンセイ
共同研究,キョウドウケンキュウ
共同研究,キョウドウケンキュウ
年次大会,ネンジタイカイ
研究者,ケンキュウシャ
3日前,ミッカマエ
気持ち的,キモチテキ
あと2日,アトフツカ
松本先生,マツモトセンセイ
先生以外,センセイイガイ
参加者数,サンカシャスウ
岡崎研,オカザキケン
研スタッフ,ケンスタッフ
回大会,カイタイカイ
実装ノウハウ,ジッソウノウハウ
in言語処理学会,インゲンゴショリガッカイ
回年次,カイネンジ
年次大会,ネンジタイカイ
大会ワークショップ,タイカイワークショップ
日本語自然言語処理,ニホンゴシゼンゲンゴショリ
あと矛盾,アトムジュン
個別事例,コベツジレイ
こと自体,コトジタイ
岡崎さん,オカザキサン
研究室内,ケンキュウシツナイ
フォーマット作り,フォーマットヅクリ
頑健性,ガンケンセイ
ウェブ会議,ウェブカイギ
二宮会,ニノミヤカイ
持続可能,ジゾクカノウ
自然言語処理セッション,シゼンゲンゴショリセッション
みなさん雑駁,ミナサンザッパク
度最大,タビサイダイ
最大化,サイダイカ
共同研究,キョウドウケンキュウ
研究等,ケンキュウトウ
NLP優秀,エヌエルピーユウシュウ
優秀ツール,ユウシュウツール
ツール賞,ツールショウ
毎年学会,マイトシガッカイ
NLPツール,エヌエルピーツール
引用数,インヨウスウ
数ベース,スウベース
ソーシャルメディア分析,ソーシャルメディアブンセキ
修士号取得,シュウシゴウシュトク
博士後期,ハカセコウキ
後期課程,コウキカテイ
課程進学,カテイシンガク
博士号取得,ハクシゴウシュトク
年以上,ネンイジョウ
まま出勤,ママシュッキン
まま出勤,ママシュッキン
懇親会,コンシンカイ
会会場,カイカイジョウ
休憩室,キュウケイシツ
企業ブース,キギョウブース
ポスター間,ポスターカン
年次大会,ネンジタイカイ
出て就職,ダシテシュウショク
数年,スウネン
年後,ネンゴ
日野キャン,ヒノキャン
キャン裏,キャンウラ
教職員用,キョウショクインヨウ
用臨時,ヨウリンジ
臨時駐車場,リンジチュウシャジョウ
キャンパス整備,キャンパスセイビ
アスファルト化,アスファルトカ
臨時駐車場,リンジチュウシャジョウ
アスファルト化,アスファルトカ
ワークショップ会場,ワークショップカイジョウ
文字レベル,モジレベル
RT書き,アールティーガキ
ひさしぶり,ヒサシブリ
自己対戦,ジコタイセン
対話ソフト,タイワソフト
ソフト同士,ソフトドウシ
休み中,ヤスミチュウ
授業期間,ジュギョウキカン
期間中,キカンチュウ
奨学金返済,ショウガクキンヘンサイ
返済免除,ヘンサイメンジョ
休み中,ヤスミチュウ
研究だらけ,ケンキュウダラケ
日本語言語資源,ニホンゴゲンゴシゲン
研究者,ケンキュウシャ
悲観的,ヒカンテキ
研究者,ケンキュウシャ
ニューラル翻訳,ニューラルホンヤク
翻訳始め,ホンヤクハジメ
始めた人,ハジメタニン
査読結果,サドクケッカ
学生氏,ガクセイシ
ポスドク氏,ポスドクシ
指導教員,シドウキョウイン
査読結果,サドクケッカ
学生氏,ガクセイシ
味わせ,アジワセ
年連続,ネンレンゾク
NL研,エヌエルケン
日本ならでは,ニッポンナラデハ
トップカンファレンス,トップカンファレンス
学会内,ガッカイナイ
二進数,ニシンスウ
言語処理学会NLP,ゲンゴショリガッカイエヌエルピー
研究自体,ケンキュウジタイ
弊社アルバイト,ヘイシャアルバイト
論文賞,ロンブンショウ
優秀賞,ユウシュウショウ
若手奨励賞,ワカテショウレイショウ
奨励賞合計,ショウレイショウゴウケイ
みんな優秀,ミンナユウシュウ
研究賞,ケンキュウショウ
賞受賞,ショウジュショウ
年間研究室,ネンカンケンキュウシツ
新任准教授,シンニンジュンキョウジュ
RT若手,アールティーワカテ
若手奨励賞,ワカテショウレイショウ
バランスバランス,バランスバランス
言語処理学会年次,ゲンゴショリガッカイネンジ
年次大会,ネンジタイカイ
大会ワークショップ,タイカイワークショップ
Skype参加,スカイプサンカ
ワークライフバランスバランス,ワークライフバランスバランス
発表時,ハッピョウジ
リモート参加,リモートサンカ
運営メンバー,ウンエイメンバー
武蔵小金井駅付近,ムサシコガネイエキフキン
道路工事,ドウロコウジ
今日これ,キョウコレ
コース会議,コースカイギ
事務処理,ジムショリ
いない感,イナイカン
啓蒙家,ケイモウカ
ＡＩ研究,アイケンキュウ
ＡＩプロデューサー,アイプロデューサー
ＡＩ研究,アイケンキュウ
研究者,ケンキュウシャ
みんな新奇,ミンナシンキ
新奇性,シンキセイ
内輪以外,ウチワイガイ
上位集団,ジョウイシュウダン
認証保育園,ニンショウホイクエン
数万,スウマン
万円,マンエン
円月,エンツキ
東京駅近辺,トウキョウエキキンペン
職場近く,ショクバチカク
万近く,マンチカク
全国大会レベル,ゼンコクタイカイレベル
倫理審査,リンリシンサ
情報系,ジョウホウケイ
倫理審査,リンリシンサ
看護系,カンゴケイ
医学論文,イガクロンブン
投稿フォーム,トウコウフォーム
査読者,サドクシャ
編集委員段階,ヘンシュウイインダンカイ
キャンパスごと,キャンパスゴト
一仕事,イチシゴト
仕事感,シゴトカン
カメラレディ,カメラレディ
写真じゃなくて,シャシンジャナクテ
学術的,ガクジュツテキ
言語処理,ゲンゴショリ
言語処理,ゲンゴショリ
テーマ２つ,テーマフタツ
かゆう研究,カユウケンキュウ
学習能力,ガクシュウノウリョク
ことできないよ,コトデキナイヨ
先輩方と,センパイホウト
方と話して,ホウトハナシテ
学生さんたち,ガクセイサンタチ
年次大会,ネンジタイカイ
学生向け,ガクセイムケ
分ごと,フンゴト
年目,ネンメ
年目,ネンメ
職務内容,ショクムナイヨウ
可視化,カシカ
めちゃくちゃ説得力,メチャクチャセットクリョク
高専出身,コウセンシュッシン
出身者,シュッシンシャ
およびアダプテーション,オヨビアダプテーション
プログラミング好き,プログラミングスキ
問題ありません,モンダイアリマセン
個別案件,コベツアンケン
分野外,ブンヤガイ
いない人,イナイジン
基礎勉強会,キソベンキョウカイ
維持可能,イジカノウ
維持不可能,イジフカノウ
進したい人,シンシタイジン
小町研,コマチケン
乾岡崎,イヌイオカザキ
岡崎研,オカザキケン
人がゼロ,ジンガゼロ
中央線,チュウオウセン
中央線,チュウオウセン
線ルート,センルート
孤独感,コドクカン
絶望感,ゼツボウカン
自宅生,ジタクセイ
時間以上,ジカンイジョウ
授業日,ジュギョウビ
国際会議,コクサイカイギ
全寮制,ゼンリョウセイ
制状態,セイジョウタイ
大学院生生活,ダイガクインセイセイカツ
大学院生活,ダイガクインセイカツ
自分的,ジブンテキ
言語処理学会最高,ゲンゴショリガッカイサイコウ
懇親会,コンシンカイ
一足先,ヒトアシサキ
オートコレクト,オートコレクト
首都大日野,シュトダイヒノ
日野キャンパス,ヒノキャンパス
駒場東大前駅,コマバトウダイマエエキ
連続的,レンゾクテキ
同音異表記,ドウオンイヒョウキ
異表記語,イヒョウキゴ
redみたい,レッドミタイ
日本語入力,ニホンゴニュウリョク
アカウントこちら,アカウントコチラ
招待論文,ショウタイロンブン
招待講演,ショウタイコウエン
講演セッション,コウエンセッション
NLP的,エヌエルピーテキ
分布類似,ブンプルイジ
類似度,ルイジド
度的,ドテキ
リソース作成,リソースサクセイ
筆頭著者,ヒットウチョシャ
妥当性,ダトウセイ
まま後輩,ママコウハイ
アノテーション基準,アノテーションキジュン
ポスター発表,ポスターハッピョウ
リソース作成,リソースサクセイ
リソース作成,リソースサクセイ
極めて地味,キメテジミ
人以上,ニンイジョウ
武蔵野ロケ,ムサシノロケ
ロケあたり,ロケアタリ
最大化,サイダイカ
スプリングセミナー,スプリングセミナー
グリーン車,グリーンシャ
乗車待機,ジョウシャタイキ
乗車予定,ジョウシャヨテイ
小町研,コマチケン
おもしろそう,オモシロソウ
言語処理学会年次,ゲンゴショリガッカイネンジ
年次大会,ネンジタイカイ
大会参加,タイカイサンカ
杉山佐藤,スギヤマサトウ
佐藤研究室,サトウケンキュウシツ
進捗報告,シンチョクホウコク
みな英語,ミナエイゴ
中村研,ナカムラケン
全員英語,ゼンインエイゴ
希望者,キボウシャ
来年度以降,ライネンドイコウ
英語漬け,エイゴヅケ
先日NAIST,センジツナイスト
NAIST松本,ナイストマツモト
松本研,マツモトケン
国際会議,コクサイカイギ
年度末,ネンドマツ
年後,ネンゴ
2日間,フツカカン
間仙台,カンセンダイ
今日中,キョウチュウ
松本先生,マツモトセンセイ
グラムさん,グラムサン
エンジニア村上,エンジニアムラカミ
村上明子,ムラカミアキコ
明子さん,アキコサン
保育参加,ホイクサンカ
目撃証言多数,モクゲキショウゲンタスウ
歳男児,サイダンジ
保育者たち,ホイクシャタチ
研究的,ケンキュウテキ
年次大会,ネンジタイカイ
就活前,シュウカツマエ
年次大会,ネンジタイカイ
両方参加,リョウホウサンカ
研究費,ケンキュウヒ
出して聴講,ダシテチョウコウ
聴講参加,チョウコウサンカ
年次大会,ネンジタイカイ
年次大会,ネンジタイカイ
懸念事項,ケネンジコウ
聴講参加,チョウコウサンカ
年次大会,ネンジタイカイ
言語処理学会年次,ゲンゴショリガッカイネンジ
年次大会,ネンジタイカイ
大会参加,タイカイサンカ
ため仙台,タメセンダイ
モチベーション向上,モチベーションコウジョウ
年次大会,ネンジタイカイ
大会参加,タイカイサンカ
出張証明書,シュッチョウショウメイショ
何回,ナンカイ
自分一,ジブンイチ
一人,イチニン
学部名,ガクブメイ
採用方針,サイヨウホウシン
入社時,ニュウシャジ
全社会議,ゼンシャカイギ
何萩,ナニハギ
萩行,ハギユキ
長いスパン,ナガイスパン
にもCS,ニモシーエス
CS的,シーエステキ
研究者,ケンキュウシャ
研究テーマ,ケンキュウテーマ
TwitterID,ツイッターアイディー
GitHubID,ギットハブアイディー
学部３,ガクブサン
３年生,サンネンセイ
研究室配属,ケンキュウシツハイゾク
配属時,ハイゾクジ
isnow,イズナウ
nowavail,ナウアベイル
available,アベイルエイブル
理系修士,リケイシュウシ
個人HP,コジンエイチピー
人で苦労,ヒトデクロウ
東京近辺,トウキョウキンペン
東京勤務,トウキョウキンム
地方勤務,チホウキンム
海外勤務,カイガイキンム
東京以外,トウキョウイガイ
国内勤務,コクナイキンム
大体言葉,ダイタイコトバ
日本じゃなくて,ニッポンジャナクテ
勤務先,キンムサキ
先大学,サキダイガク
業務用グループウェア,ギョウムヨウグループウェア
会議室予約,カイギシツヨヤク
今週日曜,コンシュウニチヨウ
NHK番組,エヌエイチケイバングミ
番組サキ,バングミサキ
一緒に出演,イッショニシュツエン
件目,ケンメ
企業訪問,キギョウホウモン
訪問終了,ホウモンシュウリョウ
accepted,アクセプトイーディー
edat,イーディーアット
普通に動物園,フツウニドウブツエン
分遅れ,フンオクレ
本前,ホンマエ
予稿集,ヨコウシュウ
end-to-end言語,エンドトゥエンドゲンゴ
言語処理,ゲンゴショリ
岩波データサイエンス,イワナミデータサイエンス
給与水準以外,キュウヨスイジュンイガイ
あとプログラミング,アトプログラミング
プログラミング教育,プログラミングキョウイク
教育方法,キョウイクホウホウ
いくら講義,イクラコウギ
万円,マンエン
人気プログラマー,ニンキプログラマー
プログラマー養成学校,プログラマーヨウセイガッコウ
養成学校訪問,ヨウセイガッコウホウモン
商用利用,ショウヨウリヨウ
利用可能,リヨウカノウ
雪だるまプロジェクト,ユキダルマプロジェクト
素晴,モトハレ
実現可能,ジツゲンカノウ
研究者,ケンキュウシャ
データ分析,データブンセキ
機械学習その他,キカイガクシュウソノタ
コーディング言語,コーディングゲンゴ
汎用言語,ハンヨウゲンゴ
コンパイラ系,コンパイラケイ
研究室説明会,ケンキュウシツセツメイカイ
学部卒,ガクブソツ
研究開発職,ケンキュウカイハツショク
修士卒,シュウシソツ
専門外,センモンガイ
ロングペーパー,ロングペーパー
ペーパー共著,ペーパーキョウチョ
共著2つ,キョウチョフタツ
中村研,ナカムラケン
部分文字列,ブブンモジレツ
効率的,コウリツテキ
対訳データ,タイヤクデータ
データ作成,データサクセイ
活用生成,カツヨウセイセイ
生成法,セイセイホウ
前職,マエショク
新卒エンジニア,シンソツエンジニア
エンジニア採用,エンジニアサイヨウ
所属研究室,ショゾクケンキュウシツ
研究テーマ,ケンキュウテーマ
充電期間,ジュウデンキカン
言語処理学会年次,ゲンゴショリガッカイネンジ
年次大会,ネンジタイカイ
フルペーパー,フルペーパー
ページ数,ページスウ
数制限,スウセイゲン
NL研,エヌエルケン
国内発表,コクナイハッピョウ
NL研,エヌエルケン
NL研,エヌエルケン
児童育成,ジドウイクセイ
育成手当,イクセイテアテ
児童育成,ジドウイクセイ
育成手当,イクセイテアテ
学外サービス,ガクガイサービス
情報系,ジョウホウケイ
系センター,ケイセンター
定常業務,テイジョウギョウム
paperon,ペーパーオン
diversityin,ダイバーシティーイン
isat,イズアット
アカウント管理,アカウントカンリ
リンク先,リンクサキ
何人分,ナニビトブン
分必要,ブンヒツヨウ
AzureML,アジュールエムエル
延長保育,エンチョウホイク
発表練習,ハッピョウレンシュウ
時間確保,ジカンカクホ
投野,トウノ
野先生,ノセンセイ
４人,ヨンニン
人兄弟,ニンキョウダイ
中学年生,チュウガクネンセイ
研究者,ケンキュウシャ
通訳ロボット,ツウヤクロボット
機械翻訳ビジネス,キカイホンヤクビジネス
成功要件,セイコウヨウケン
河野弘毅,コウノコウキ
一般社団法人日本,イッパンシャダンホウジンニッポン
日本翻訳,ニッポンホンヤク
翻訳連盟,ホンヤクレンメイ
口頭発表,コウトウハッピョウ
一番気,イチバンキ
年次大会,ネンジタイカイ
大会タイトル,タイカイタイトル
タイトル賞,タイトルショウ
最近娘,サイキンムスメ
現在インフルエンザ,ゲンザイインフルエンザ
浄化作用,ジョウカサヨウ
研究費,ケンキュウヒ
費塵も積もれば山となる,ヒチリモツモレバヤマトナル
六本木ビル,ロッポンギビル
英文校正,エイブンコウセイ
件目,ケンメ
フルスペル,フルスペル
本投稿,ホントウコウ
4月下旬,シガツゲジュン
年次大会,ネンジタイカイ
時期身動き,ジキミウゴキ
早目,ハヤメ
一稿,イチコウ
お待ち先生,オマチセンセイ
事務処理,ジムショリ
事務処理,ジムショリ
間接経費,カンセツケイヒ
とき自分自身,トキジブンジシン
submission,サブスクリプトミッション
各種勉強会,カクシュベンキョウカイ
出て肌,ダシテハダ
肌感覚,ハダカンカク
デモページ,デモページ
ページ公開,ページコウカイ
富士通研究所,フジツウケンキュウジョ
研究所研究員,ケンキュウジョケンキュウイン
研究員募集,ケンキュウインボシュウ
研究キャリア,ケンキュウキャリア
研究職,ケンキュウショク
月間転送,ゲッカンテンソウ
転送容量,テンソウヨウリョウ
２年間,ニネンカン
上位会議,ジョウイカイギ
査読者,サドクシャ
１週間,イチシュウカン
ラジオ講義,ラジオコウギ
禎夫先生,サダオセンセイ
専門書,センモンショ
計算機担当,ケイサンキタントウ
物品担当,ブッピンタントウ
飲み会担当,ノミカイタントウ
計算機担当,ケイサンキタントウ
次期M1,ジキエムイチ
積極的,セッキョクテキ
飲み会担当,ノミカイタントウ
研究者,ケンキュウシャ
研究室選び,ケンキュウシツエラビ
研究室選び,ケンキュウシツエラビ
立ち上げ,タチアゲ
上げ秘話,アゲヒワ
研究者,ケンキュウシャ
研究費,ケンキュウヒ
１回,イチカイ
２回,ニカイ
Excel作業,エクセルサギョウ
Excel作業,エクセルサギョウ
本当にあった怖い話,ホントウニアッタコワイハナシ
怖い話NAIST,コワイハナシナイスト
NTT系列,エヌティーティーケイレツ
系列某社,ケイレツボウシャ
それどうし,ソレドウシ
どうしよう,ドウシヨウ
時半現在,ジハンゲンザイ
分おき,フンオキ
小町研,コマチケン
生成モデル,セイセイモデル
理論的,リロンテキ
自己符号化,ジコフゴウカ
符号化器,フゴウカキ
符号器,フゴウキ
復号化,フクゴウカ
化器,カキ
生成モデル,セイセイモデル
学習事例,ガクシュウジレイ
今日はず,キョウハズ
インプットメソッド研究会,インプットメソッドケンキュウカイ
気をつけたほう,キヲツケタホウ
自動バックアップ,ジドウバックアップ
ためメール,タメメール
メール添付,メールテンプ
数回,スウカイ
友人たち,ユウジンタチ
家で仕事,イエデシゴト
分弱,フンジャク
都外,トガイ
東西線沿線,トウザイセンエンセン
狙い目,ネライメ
大変そう,タイヘンソウ
翔泳社さん,ショウエイシャサン
３月５,サンガツゴ
５日,ゴニチ
日発売,ニチハツバイ
現在予約,ゲンザイヨヤク
予約注文,ヨヤクチュウモン
注文受け付け,チュウモンウケツケ
受け付け中,ウケツケチュウ
にも限界,ニモゲンカイ
スリープ時,スリープジ
電源消費,デンゲンショウヒ
先生達,センセイタチ
選考中,センコウチュウ
教授候補,キョウジュコウホ
一緒にディナー,イッショニディナー
同僚教授,ドウリョウキョウジュ
問題視,モンダイシ
食事中,ショクジチュウ
卒業後,ソツギョウゴ
今度NL,コンドエヌエル
NL研,エヌエルケン
首都大組,シュトダイグミ
大学評判,ダイガクヒョウバン
評判調査,ヒョウバンチョウサ
全部英語表記,ゼンブエイゴヒョウキ
若干不利,ジャッカンフリ
一番上,イチバンジョウ
松本研,マツモトケン
松本先生,マツモトセンセイ
一定金額,イッテイキンガク
金額以上,キンガクイジョウ
複数業者,フクスウギョウシャ
仕組み上,シクミジョウ
上仕方,ジョウシカタ
人以外,ヒトイガイ
良心的,リョウシンテキ
その後良好,ソノゴリョウコウ
人以外,ヒトイガイ
共同研究,キョウドウケンキュウ
研究等,ケンキュウトウ
GNA,ギガエヌエー
無事採択,ブジサイタク
採択率,サイタクリツ
anddisaster,アンドディザスター
disasterdigital,ディザスターデジタル
digitalarchives,デジタルアルシーヴ
GNA,ギガエヌエー
日野OL,ヒノオーエル
OL不倫,オーエルフリン
不倫放火事件,フリンホウカジケン
都立大,トリツダイ
出て情報,ダシテジョウホウ
情報系,ジョウホウケイ
論文添削,ロンブンテンサク
国際会議,コクサイカイギ
国際会議,コクサイカイギ
大学院教務,ダイガクインキョウム
教務委員,キョウムイイン
使いきり,ツカイキリ
きり問題,キリモンダイ
数千,スウセン
千円,センエン
打ち切り支給,ウチキリシキュウ
数百,スウヒャク
百円,ヒャクエン
中川研,ナカガワケン
研時代,ケンジダイ
教員冥利,キョウインミョウリ
社会人博士,シャカイジンハカセ
博士課程,ハカセカテイ
佐藤研,サトウケン
奈良出張,ナラシュッチョウ
回目,カイメ
都内出張,トナイシュッチョウ
午前中,ゴゼンチュウ
理論的,リロンテキ
表現学習,ヒョウゲンガクシュウ
学習系,ガクシュウケイ
次元圧縮,ジゲンアッシュク
あまり幻想,アマリゲンソウ
分析力,ブンセキリョク
思考力,シコウリョク
マイナス評価,マイナスヒョウカ
岡崎研,オカザキケン
国内会議,コクナイカイギ
国際会議,コクサイカイギ
分遅れ,フンオクレ
文依存,ブンイゾン
言語別,ゲンゴベツ
別年収,ベツネンシュウ
万円,マンエン
TechCrunchJapan,テッククランチジャパン
VGAアダプタ,ブイジーエーアダプタ
帰宅中,キタクチュウ
現実MeCab,ゲンジツメカブ
skk使い,エスケイケイヅカイ
国語研,コクゴケン
あと研究室,アトケンキュウシツ
ACLSRW,エーシーエルエスアールダブリュー
投稿先,トウコウサキ
先未定,サキミテイ
英文校正,エイブンコウセイ
件目,ケンメ
国際会議,コクサイカイギ
会議原稿,カイギゲンコウ
英文校正,エイブンコウセイ
研究室単位,ケンキュウシツタンイ
PDF対応,ピーディーエフタイオウ
由馬,ヨシバ
言語処理学会年次,ゲンゴショリガッカイネンジ
年次大会,ネンジタイカイ
発表練習,ハッピョウレンシュウ
回目,カイメ
時間不足,ジカンフソク
本来先週,ホンライセンシュウ
時間内,ジカンナイ
回目,カイメ
最終発表,サイシュウハッピョウ
発表練習,ハッピョウレンシュウ
上場初日,ジョウジョウショニチ
あと数,アトスウ
数年,スウネン
公募戦線,コウボセンセン
応募した先,オウボシタサキ
公募書類,コウボショルイ
非エンジニア向け,ヒエンジニアムケ
エンジニア向け,エンジニアムケ
研究室以外,ケンキュウシツイガイ
全員修論,ゼンインシュウロン
通信系,ツウシンケイ
伝統的,デントウテキ
統計的機械学習,トウケイテキキカイガクシュウ
ゼミ形式,ゼミケイシキ
必修授業,ヒッシュウジュギョウ
年向け,ネンムケ
機械学習担当,キカイガクシュウタントウ
是非履修,ゼヒリシュウ
本格的,ホンカクテキ
2つ理由,フタツリユウ
1つ目,ヒトツメ
2つ目,フタツメ
基本タスク,キホンタスク
ベースライン,ベースライン
研究者,ケンキュウシャ
研究テーマ,ケンキュウテーマ
NLP全体,エヌエルピーゼンタイ
研究者,ケンキュウシャ
研究テーマ,ケンキュウテーマ
年の瀬感,トシノセカン
アダルト系,アダルトケイ
系コンテンツ,ケイコンテンツ
併設ワークショップ,ヘイセツワークショップ
二回,ニカイ
次回開催,ジカイカイサイ
2016年とき,ニセンジュウロクネントキ
2019年開催,ニセンジュウキュウネンカイサイ
英文校正,エイブンコウセイ
件依頼,ケンイライ
みんな普通,ミンナフツウ
子育て中,コソダテチュウ
協力的,キョウリョクテキ
3月研究,サンガツケンキュウ
春休み研究,ハルヤスミケンキュウ
時短勤務,ジタンキンム
育児休業法,イクジキュウギョウホウ
法違反,ホウイハン
男性側,ダンセイガワ
よう圧力,ヨウアツリョク
あと共働き,アトトモバタラキ
二人,ニニン
時間多く,ジカンオオク
分上昇,フンジョウショウ
万円,マンエン
自分的,ジブンテキ
言語処理,ゲンゴショリ
日本語入力,ニホンゴニュウリョク
ライブ変換,ライブヘンカン
首都大教授,シュトダイキョウジュ
いつか忘年会,イツカボウネンカイ
ページ数,ページスウ
弊学,ヘイガク
年分,ネンブン
弊学,ヘイガク
指導教員,シドウキョウイン
理解容易,リカイヨウイ
容易性,ヨウイセイ
難関会議,ナンカンカイギ
会議採択,カイギサイタク
研究者,ケンキュウシャ
難関国際,ナンカンコクサイ
国際会議,コクサイカイギ
投稿論文,トウコウロンブン
ボーダーライン論文,ボーダーラインロンブン
減点法,ゲンテンホウ
引用文献,インヨウブンケン
北大工学部,ホクダイコウガクブ
明治大学准教授,メイジダイガクジュンキョウジュ
北大教授,ホクダイキョウジュ
獲得科研費,カクトクカケンヒ
最近明治,サイキンメイジ
研究環境,ケンキュウカンキョウ
ニューラルネット構文解析器,ニューラルネットコウブンカイセキキ
年前,ネンマエ
一ヶ月,イチカゲツ
普通にレターサイズ,フツウニレターサイズ
手書き講義ノート,テガキコウギノート
３本,サンホン
インターン初日,インターンショニチ
先生方,センセイカタ
ACL添削,エーシーエルテンサク
残り分,ノコリブン
分野外,ブンヤガイ
卒論発表,ソツロンハッピョウ
最近伏見,サイキンフシミ
あそこかー,アソコカー
配属半年,ハイゾクハントシ
半年後,ハントシゴ
ページ予稿,ページヨコウ
合同研究,ゴウドウケンキュウ
研究合宿,ケンキュウガッシュク
タイミング的,タイミングテキ
卒業研究発表,ソツギョウケンキュウハッピョウ
発表直前,ハッピョウチョクゼン
研究初期,ケンキュウショキ
北生駒駅,キタイコマエキ
生駒駅前,イコマエキマエ
スタバ？？？,スタバンンン
？？？みたい,ンンンミタイ
お忙しいところ,オイソガシイトコロ
年次大会,ネンジタイカイ
巨大イオン,キョダイイオン
ときくら,トキクラ
くらしいか,クラシイカ
Linux環境,リナックスカンキョウ
コマンドライン操作,コマンドラインソウサ
基礎知識,キソチシキ
万程度,マンテイド
和文論文,ワブンロンブン
和文教科書,ワブンキョウカショ
NAISTローカル,ナイストローカル
ローカルネタ,ローカルネタ
学内コンビニ,ガクナイコンビニ
何人,ナンニン
毎日研究室,マイニチケンキュウシツ
研究室に足,ケンキュウシツニアシ
北生駒駅,キタイコマエキ
生駒経由,イコマケイユ
博士課程,ハカセカテイ
パーマネントポスト,パーマネントポスト
年ぶり,ネンブリ
SVM勉強会,エスブイエムベンキョウカイ
回松本,カイマツモト
松本研,マツモトケン
周年記念,シュウネンキネン
時間前,ジカンマエ
何度も強調,ナンドモキョウチョウ
文系出身,ブンケイシュッシン
連続開催,レンゾクカイサイ
開催ですよ,カイサイデスヨ
白い目,ハクイメ
国際会議,コクサイカイギ
ネイティブチェック,ネイティブチェック
英文校正,エイブンコウセイ
営業日程度,エイギョウビテイド
独立生計,ドクリツセイケイ
毎回免除,マイカイメンジョ
全額免除,ゼンガクメンジョ
半額免除,ハンガクメンジョ
収入カウント,シュウニュウカウント
はてなブログ海外,ハテナブログカイガイ
海外大学,カイガイダイガク
大学博士,ダイガクハカセ
博士課程,ハカセカテイ
個人HP,コジンエイチピー
本ノック,ホンノック
githubリンク,ギットハブリンク
滅茶苦茶参考,メチャクチャサンコウ
回車,カイシャ
統数,ミツルスウ
数研,スウケン
国語研,コクゴケン
時間基礎,ジカンキソ
基礎勉強,キソベンキョウ
対外発表,タイガイハッピョウ
NAIST松本,ナイストマツモト
松本研,マツモトケン
後輩たち,コウハイタチ
企業説明,キギョウセツメイ
ウェブ業界,ウェブギョウカイ
7月ごろ,シチガツゴロ
夏休み中,ナツヤスミチュウ
学部生,ガクブセイ
進学希望,シンガクキボウ
研究デモ,ケンキュウデモ
全く理解,ゼンクリカイ
弊研究室,ヘイケンキュウシツ
指導教員,シドウキョウイン
研究者,ケンキュウシャ
右腕ポジション,ウワンポジション
人が周り,ジンガマワリ
研究会に足,ケンキュウカイニアシ
指導教員,シドウキョウイン
指導教員,シドウキョウイン
半ば必然,ナカバヒツゼン
研究テーマ,ケンキュウテーマ
数名,スウメイ
修論予備,シュウロンヨビ
予備審査,ヨビシンサ
追加実験,ツイカジッケン
通り追加,トオリツイカ
追加実験,ツイカジッケン
提案手法,テイアンシュホウ
年前,ネンマエ
最終的,サイシュウテキ
将来的,ショウライテキ
教育費,キョウイクヒ
一回,イチカイ
の体験,ノタイケン
不安定雇用,フアンテイコヨウ
保育料,ホイクリョウ
人次第,ヒトシダイ
日本嫌い,ニッポンキライ
一回,イチカイ
回出て,カイダシテ
いま日本,イマニッポン
一回,イチカイ
回海外,カイカイガイ
移動時間,イドウジカン
研究テーマ,ケンキュウテーマ
分類器,ブンルイキ
例年ここ,レイネンココ
違いのようなもの,チガイノヨウナモノ
保育方針,ホイクホウシン
点数稼ぎ,テンスウカセギ
回見学,カイケンガク
認可保育園,ニンカホイクエン
職場復帰,ショクバフッキ
合宿出張,ガッシュクシュッチョウ
アメリカ教授,アメリカキョウジュ
ヨーロッパ教授,ヨーロッパキョウジュ
己程度,オノレテイド
アメリカ在住,アメリカザイジュウ
中国人研究,チュウゴクジンケンキュウ
研究者,ケンキュウシャ
本日ぶじ,ホンジツブジ
ぶじ教授会,ブジキョウジュカイ
渡邉研,ワタナベケン
研D3,ケンディースリー
D3原田,ディースリーハラダ
原田さん,ハラダサン
博士号取得,ハクシゴウシュトク
ジャーナル論文,ジャーナルロンブン
一期生,イチキセイ
人弱,ニンジャク
記録更新,キロクコウシン
松本研,マツモトケン
プロジェクト実習,プロジェクトジッシュウ
タスク提案,タスクテイアン
履修者,リシュウシャ
松本先生,マツモトセンセイ
履修者,リシュウシャ
国際会議,コクサイカイギ
これ以外,コレイガイ
渡しよう,ワタシヨウ
ドサ回り中,ドサマワリチュウ
タスク決めて,タスクキメテ
決めて手,キメテシュ
制約条件,セイヤクジョウケン
短期課題,タンキカダイ
ことベース,コトベース
自然発生的,シゼンハッセイテキ
機械翻訳グループ,キカイホンヤクグループ
中村研,ナカムラケン
人数的,ニンズウテキ
研究テーマ,ケンキュウテーマ
優位性,ユウイセイ
研究的,ケンキュウテキ
人がまわり,ジンガマワリ
人目,ニンメ
院試浪人,インシロウニン
自主留年,ジシュリュウネン
何人,ナンニン
学生同士,ガクセイドウシ
進捗報告,シンチョクホウコク
修論発表,シュウロンハッピョウ
NLP界隈,エヌエルピーカイワイ
何人,ナンニン
全員スーツ,ゼンインスーツ
明日どうし,アシタドウシ
どうしよう,ドウシヨウ
