梶田先生,カジタセンセイ
経営者Kさん,ケイエイシャケイサン
新規事業,シンキジギョウ
最近英会話,サイキンエイカイワ
グループ教室,グループキョウシツ
教室型,キョウシツガタ
一緒に勉強,イッショニベンキョウ
最善手,サイゼンシュ
グループ英会話教室,グループエイカイワキョウシツ
オントロジーみたい,オントロジーミタイ
うまい方法,ウマイホウホウ
大橋拓文,オオハシタクブン
山本一成,ヤマモトイッセイ
材料開発,ザイリョウカイハツ
材料インフォマティクス,ザイリョウインフォマティクス
2016年4月13日,ニセンジュウロクネンシガツジュウサンニチ
4月13日配信,シガツジュウサンニチハイシン
YouTubeさん,ユーチューブサン
事業転換,ジギョウテンカン
アドファイブ,アドファイブ
ファイブ日記,ファイブニッキ
対話システム,タイワシステム
システム専業,システムセンギョウ
専業ベンチャー,センギョウベンチャー
スマニュー,スマニュー
RTネットビジネス,アールティーネットビジネス
対話アプリ,タイワアプリ
主戦場,シュセンジョウ
医療活用,イリョウカツヨウ
新薬開発,シンヤクカイハツ
効率化,コウリツカ
柴田さん,シバタサン
さん多く,サンオオク
予想通り,ヨソウドオリ
創業直後,ソウギョウチョクゴ
結局僕,ケッキョクボク
RTサム,アールティーサム
サムライト,サムライト
予想買収,ヨソウバイシュウ
買収額,バイシュウガク
十数,ジュウスウ
数億,スウオク
億円,オクエン
序盤みたい,ジョバンミタイ
機械的,キカイテキ
計算パワー,ケイサンパワー
アドファイブ,アドファイブ
ファイブ日記,ファイブニッキ
同一視,ドウイツシ
常識外,ジョウシキガイ
おもしろツイート,オモシロツイート
範囲内,ハンイナイ
自己位置,ジコイチ
位置推定,イチスイテイ
光度フィンガープリント,コウドフィンガープリント
フレームワーク化,フレームワークカ
DBフェッチ,ディービーフェッチ
専用プログラミング言語,センヨウプログラミングゲンゴ
プログラミング言語みたい,プログラミングゲンゴミタイ
CUI版,キャラクタユーザインターフェースバン
版みたい,バンミタイ
俺用,オレヨウ
の大好き,ノダイスキ
大好きRT,ダイスキアールティー
RTフランク三浦,アールティーフランクミウラ
フランク三浦裁判,フランクミウラサイバン
栗原潔,クリハラキヨシ
実行力,ジッコウリョク
ゲートウェイアプライアンス,ゲートウェイアプライアンス
インバウンド観光客,インバウンドカンコウキャク
観光客向け,カンコウキャクムケ
観光ガイド,カンコウガイド
ビッグデータ分析,ビッグデータブンセキ
分析ソリューション,ブンセキソリューション
メタ情報,メタジョウホウ
デジタル広告業界,デジタルコウコクギョウカイ
仕事いっぱい,シゴトイッパイ
接客支援,セッキャクシエン
アプリケーションかー,アプリケーションカー
応用分野,オウヨウブンヤ
RTAWS,アールティーアマゾンウェブサービス
IoT向け,アイオーティームケ
向け格安,ムケカクヤス
格安SIM,カクヤスエスアイエム
割増,ワリゾウ
和食店,ワショクテン
ビジネスアカウント,ビジネスアカウント
本日F8,ホンジツエフエイト
ForbesJAPAN,フォーブスジャパン
フォーブスジャパン,フォーブスジャパン
対話システム,タイワシステム
システムどうし,システムドウシ
会話例,カイワレイ
デフォルトモード,デフォルトモード
ベイズモデル,ベイズモデル
粒子フィルタ,リュウシフィルタ
データレシピ,データレシピ
計算カーネル,ケイサンカーネル
全部同時,ゼンブドウジ
同時並行,ドウジヘイコウ
事業化,ジギョウカ
一度,イチド
同時並行,ドウジヘイコウ
自律制御,ジリツセイギョ
制御ソフトウェア,セイギョソフトウェア
ソフトウェア一,ソフトウェアイチ
一本,イチホン
会社員時代,カイシャインジダイ
一人,イチニン
人議事録,ニンギジロク
議事録取り,ギジロクトリ
ヒマしな,ヒマシナ
しなそう,シナソウ
哲学的,テツガクテキ
要素分解,ヨウソブンカイ
記号設置,キゴウセッチ
RTライブラリー,アールティーライブラリー
ライブラリーリサーチ,ライブラリーリサーチ
対話環境,タイワカンキョウ
RTすべて,アールティースベテ
ライフハックツール,ライフハックツール
lifehacker,ライフハックイーアール
erjapan,イーアールジャパン
japanさん,ジャパンサン
技術的,ギジュツテキ
的興味,テキキョウミ
マジで結婚,マジデケッコン
１０,イチゼロ
０年,ゼロネン
年後,ネンゴ
エクサスケール,エクサスケール
スケールコンピューティング,スケールコンピューティング
計算科学アプリケーション,ケイサンカガクアプリケーション
産業応用,サンギョウオウヨウ
月収１,ゲッシュウイチ
１０,イチゼロ
００,ゼロゼロ
０万,ゼロマン
人が人工知能,ジンガジンコウチノウ
あれこれ自分,アレコレジブン
桜並木,サクラナミキ
連載メジャー,レンサイメジャー
メジャーサイト,メジャーサイト
二年,ニネン
年半,ネンハン
半前,ハンマエ
アドファイブ,アドファイブ
ファイブ日記,ファイブニッキ
OSS依存,オーエスエスイゾン
依存度,イゾンド
ローカル側,ローカルガワ
クラウド上,クラウドジョウ
AMQPブローカー,エーエムキューピーブローカー
金どこ,キンドコ
コードファイル,コードファイル
ファイル１,ファイルイチ
１個,イチコ
６５,ロクゴ
５桂,ゴカツラ
桂タダ,カツラタダ
５４,ゴヨン
４銀,ヨンギン
５３,ゴサン
３桂,サンカツラ
桂打,カツラダ
王金,オウキン
金両,キンリョウ
両取り,リョウトリ
一つ一つ,ヒトツヒトツ
今月いっぱい,コンゲツイッパイ
２７,ニナナ
７歳,ナナサイ
１０,イチゼロ
００,ゼロゼロ
０％,ゼロパーセント
％自己資本,パーセントジコシホン
起業５,キギョウゴ
５年,ゴネン
年目,ネンメ
年商２,ネンショウニ
２億,ニオク
RTやみくも,アールティーヤミクモ
肺呼吸,ハイコキュウ
エラ呼吸,エラコキュウ
エラ呼吸,エラコキュウ
５０,ゴゼロ
０過ぎ,ゼロスギ
中年夫婦,チュウネンフウフ
二人,ニニン
シムシティ好き,シムシティスキ
イーロンマスクさん,イーロンマスクサン
同時並行,ドウジヘイコウ
イーロンマスクさん,イーロンマスクサン
絵空事さん,エソラゴトサン
生活物資,セイカツブッシ
OSSコントリビュート,オーエスエスコントリビュート
phaさん,ファサン
アドファイブ,アドファイブ
ファイブ日記,ファイブニッキ
データサイエンス自動化,データサイエンスジドウカ
自動化サービス,ジドウカサービス
個別ドメイン,コベツドメイン
3つ事業,ミッツジギョウ
事業化,ジギョウカ
完全移譲,カンゼンイジョウ
完全移譲,カンゼンイジョウ
自社事業,ジシャジギョウ
本格的,ホンカクテキ
百万,ヒャクマン
一人,イチニン
なにこれ,ナニコレ
人工生命ハッカソン,ジンコウセイメイハッカソン
会社事業,カイシャジギョウ
オフィス必要,オフィスヒツヨウ
テラモータース,テラモータース
テラドローン,テラドローン
徳重社長,トクシゲシャチョウ
事業拡大,ジギョウカクダイ
技術力,ギジュツリョク
自律制御,ジリツセイギョ
制御ソフト,セイギョソフト
販路開拓MTG,ハンロカイタクエムティージー
候補企業,コウホキギョウ
東大生３,トウダイセイサン
３人,サンニン
完全委譲,カンゼンイジョウ
全て共有,スベテキョウユウ
プラットフォーム中立,プラットフォームチュウリツ
アドファイブ,アドファイブ
ファイブ日記,ファイブニッキ
１２月ごろ,ジュウニガツゴロ
人が専門,ジンガセンモン
専門外,センモンガイ
理想的,リソウテキ
信用保証,シンヨウホショウ
中小機構,チュウショウキコウ
事業レビュー,ジギョウレビュー
数千,スウセン
千万,センマン
内閣府SIP,ナイカクフエスアイピー
RTデンソー,アールティーデンソー
産業用,サンギョウヨウ
用ドローン,ヨウドローン
制御技術,セイギョギジュツ
monois,モノイズ
forsub,フォーサブスクリプト
suborbital,サブスクリプトオービタル
orbitalrocket,オービタルロケット
rocketby,ロケットビーワイ
byInter,ビーワイインテル
Interstellar,インテルステラ
YouTubeさん,ユーチューブサン
チャンネル中毒,チャンネルチュウドク
中毒性,チュウドクセイ
何人,ナンニン
ぶん学生,ブンガクセイ
生たち,セイタチ
将来学生,ショウライガクセイ
学生たち,ガクセイタチ
間接的,カンセツテキ
１時期,イチジキ
時期レアジョブ,ジキレアジョブ
レアジョブ４,レアジョブヨン
４，,ヨン，
，５,，ゴ
５ヶ月,ゴカゲツ
意思疎通,イシソツウ
ヤル気スイッチ,ヤルキスイッチ
スカイプ英会話,スカイプエイカイワ
レベル普通,レベルフツウ
確率もち,カクリツモチ
ボレル集合族,ボレルシュウゴウゾク
それこれ,ソレコレ
１０,イチゼロ
００,ゼロゼロ
０回,ゼロカイ
マジでそう,マジデソウ
笑テレビ,エミテレビ
時間ファクター,ジカンファクター
土木インフラ,ドボクインフラ
補助金まみれ,ホジョキンマミレ
支援制度,シエンセイド
得意様,トクイサマ
受けて融資,ウケテユウシ
既得権システム,キトクケンシステム
中小機構,チュウショウキコウ
中小企業支援,チュウショウキギョウシエン
企業支援制度,キギョウシエンセイド
特許申請,トッキョシンセイ
申請料,シンセイリョウ
融資保証,ユウシホショウ
アドファイブ,アドファイブ
ファイブ日記,ファイブニッキ
実現難易度,ジツゲンナンイド
高いパーツ,コウイパーツ
全体アーキテクチャ,ゼンタイアーキテクチャ
複雑高度,フクザツコウド
原因判明,ゲンインハンメイ
午前中,ゴゼンチュウ
中大学,チュウダイガク
なにこれ,ナニコレ
これRT,コレアールティー
RT世界初,アールティーセカイハツ
おもてなしiPad,オモテナシアイパッド
iPadアプリ,アイパッドアプリ
美人受付,ビジンウケツケ
IoTプラットフォーム,アイオーティープラットフォーム
フルサポート,フルサポート
IoTシステム,アイオーティーシステム
１０,イチゼロ
００,ゼロゼロ
００,ゼロゼロ
０社,ゼロシャ
LINEアカウント,ラインアカウント
メッセージングAPI,メッセージングエーピーアイ
オープン化,オープンカ
万名,マンメイ
名限定,メイゲンテイ
BOTアカウント,ボットアカウント
BOTAPI,ボットエーピーアイ
コア技術,コアギジュツ
山田隆夫さん,ヤマダタカオサン
５９,ゴキュウ
９歳,キュウサイ
小和田雅子,コワダマサコ
雅子さん,マサコサン
さん５,サンゴ
５２,ゴニ
２歳,ニサイ
りんなさん,リンナサン
質問文,シツモンブン
RTコンサルタント,アールティーコンサルタント
Everythingyou,エブリシングユウ
コンビニ業界,コンビニギョウカイ
セブン銀行みたい,セブンギンコウミタイ
経営の神様みたい,ケイエイノカミサマミタイ
鈴木会長,スズキカイチョウ
４１,ヨンイチ
１歳,イチサイ
とき１,トキイチ
１９,イチキュウ
９７,キュウナナ
７１,ナナイチ
１年,イチネン
２０,ニゼロ
０年,ゼロネン
年後,ネンゴ
進藤さん,シンドウサン
さん日経,サンニッケイ
日経ロボティクス,ニッケイロボティクス
ロボティクス編集長,ロボティクスヘンシュウチョウ
編集長就任,ヘンシュウチョウシュウニン
ネタ提供,ネタテイキョウ
部屋問題,ヘヤモンダイ
あるかないか,アルカナイカ
どんだけ人間,ドンダケニンゲン
メロンパンラスク,メロンパンラスク
なにこれ,ナニコレ
最後ガン,サイゴガン
ガン無視,ガンムシ
F1エンジン,エフワンエンジン
個人経営,コジンケイエイ
洋食屋さん,ヨウショクヤサン
F1エンジン,エフワンエンジン
技術者募集,ギジュツシャボシュウ
対話例,タイワレイ
対話用,タイワヨウ
学習データ,ガクシュウデータ
ファインチューニングby,ファインチューニングビーワイ
byon,ビーワイオン
インテル以外,インテルイガイ
開発販売,カイハツハンバイ
半導体メーカー,ハンドウタイメーカー
RT無人,アールティームジン
ロボレース,ロボレース
半導体メーカー,ハンドウタイメーカー
長期PJ,チョウキピージェイ
こんどご飯,コンドゴハン
ご飯一緒,ゴハンイッショ
ぎて類似,ギテルイジ
類似サービス,ルイジサービス
会話中,カイワチュウ
中執拗,チュウシツヨウ
山本一成,ヤマモトイッセイ
一成さん,イッセイサン
説明的確,セツメイテキカク
無料記事,ムリョウキジ
大橋拓文,オオハシタクブン
山本一成,ヤマモトイッセイ
これ実現,コレジツゲン
精度浮動,セイドフドウ
浮動小数点,フドウショウスウテン
小数点型,ショウスウテンガタ
テンポラリ変数,テンポラリヘンスウ
個人レベル,コジンレベル
たひずみ,タヒズミ
資本主義世界,シホンシュギセカイ
効率化,コウリツカ
福祉社会,フクシシャカイ
折衷案,セッチュウアン
外部資本,ガイブシホン
ヨッピーさん,ヨッピーサン
一日,イチニチ
日派遣社員,ニチハケンシャイン
派遣社員シリーズ,ハケンシャインシリーズ
午前中,ゴゼンチュウ
中東大,チュウトウダイ
アルバイト生,アルバイトセイ
生たち,セイタチ
礒部さん,イソベサン
ことやろう,コトヤロウ
受託開発,ジュタクカイハツ
受託開発,ジュタクカイハツ
開発プロジェクト,カイハツプロジェクト
絶対会社,ゼッタイカイシャ
テラドローン,テラドローン
ドローン関係,ドローンカンケイ
関係者,カンケイシャ
RTデル,アールティーデル
クラウドプラットフォーム,クラウドプラットフォーム
forMicrosoft,フォーマイクロソフト
提供開始,テイキョウカイシ
JPさん,ジェーピーサン
ドローン市場,ドローンシジョウ
アドバンテージ半端ない,アドバンテージハンパナイ
ことRT,コトアールティー
RTNEC,アールティーエヌイーシー
脳型,ノウガタ
型コンピューティング,ガタコンピューティング
コンピューティング技術,コンピューティングギジュツ
IoTプラットフォーム,アイオーティープラットフォーム
林立状況,リンリツジョウキョウ
１９,イチキュウ
９９,キュウキュウ
９８,キュウハチ
８年,ハチネン
インターネット検索エンジン,インターネットケンサクエンジン
林立状況,リンリツジョウキョウ
ラズパイみたい,ラズパイミタイ
支持者,シジシャ
者たち,シャタチ
宇宙ロケット,ウチュウロケット
コスト削減,コストサクゲン
使い捨てロケット,ツカイステロケット
自由競争的,ジユウキョウソウテキ
ある意味対極,アルイミタイキョク
対極的,タイキョクテキ
RTデンマーク,アールティーデンマーク
デンマーク大使館,デンマークタイシカン
アドファイブ,アドファイブ
ファイブ日記,ファイブニッキ
メロンパンラスク,メロンパンラスク
研究テーマ,ケンキュウテーマ
RTNEC,アールティーエヌイーシー
シミュレーション技術,シミュレーションギジュツ
連携研究室,レンケイケンキュウシツ
うち以外,ウチイガイ
会社いくつ,カイシャイクツ
RTドローン,アールティードローン
ドローン元年,ドローンガンネン
日本初,ニッポンハツ
民生用ドローン,ミンセイヨウドローン
ドローンイベント,ドローンイベント
イベントレポート,イベントレポート
デンマーク大使館,デンマークタイシカン
資本主義思想,シホンシュギシソウ
衝撃的,ショウゲキテキ
１２,イチニ
２ヶ月,ニカゲツ
製品戦略資料,セイヒンセンリャクシリョウ
初期ターゲット,ショキターゲット
ターゲット想定,ターゲットソウテイ
６ヶ月,ロクカゲツ
意識レベル,イシキレベル
言語化,ゲンゴカ
言語的,ゲンゴテキ
的差異,テキサイ
本質的,ホンシツテキ
妙みたい,ミョウミタイ
趣味的,シュミテキ
一つ一緒に,ヒトツイッショニ
一緒に仕事,イッショニシゴト
体系化,タイケイカ
さそう,サソウ
コーディング能力,コーディングノウリョク
すべて僕,スベテボク
何倍,ナンバイ
１９,イチキュウ
９歳,キュウサイ
君頭,キミトウ
基幹技術,キカンギジュツ
基本特許,キホントッキョ
これ研究開発,コレケンキュウカイハツ
ASIC化,エーエスアイシーカ
汎用技術,ハンヨウギジュツ
ドメイン知識,ドメインチシキ
探索範囲,タンサクハンイ
何度もキーワード,ナンドモキーワード
半自動的,ハンジドウテキ
仮説立案,カセツリツアン
機械的指標,キカイテキシヒョウ
大学院時代,ダイガクインジダイ
統計的アブダクション,トウケイテキアブダクション
仮説立案,カセツリツアン
データサイエンティスト業務,データサイエンティストギョウム
自動化,ジドウカ
ログ分析,ログブンセキ
分析求人,ブンセキキュウジン
データ分析,データブンセキ
分析求人,ブンセキキュウジン
機械学習求人,キカイガクシュウキュウジン
企業様,キギョウサマ
アンディールービン,アンディールービン
ルービン氏,ルービンシ
氏みたい,シミタイ
グーグルX,グーグルエックス
RT留守,アールティールス
留守宅,ルスタク
遠隔監視,エンカクカンシ
屋内向け,オクナイムケ
向けドローン,ムケドローン
japanさん,ジャパンサン
１０,イチゼロ
００,ゼロゼロ
０万,ゼロマン
以前コンサル,イゼンコンサル
コンサル先,コンサルサキ
標準搭載,ヒョウジュントウサイ
RT速報,アールティーソクホウ
ユーザー導線,ユーザードウセン
左斜め,ヒダリナナメ
右斜め,ミギナナメ
バナーレクタングル,バナーレクタングル
技術的,ギジュツテキ
深層強化学習,シンソウキョウカガクシュウ
Bebo,ビービーオー
bop2,ビーオーピーツー
p2あっというま,ピーツーアットイウマ
複数台,フクスウダイ
台対応,ダイタイオウ
検証完了,ケンショウカンリョウ
君仕事,クンシゴト
精進精進,ショウジンショウジン
佐藤さん,サトウサン
テックベンチャー,テックベンチャー
台数増,ダイスウゾウ
人員増,ジンインゾウ
違い分析,チガイブンセキ
Interaction,インテルアクション
actionfor,アクションフォー
クラウド系,クラウドケイ
サービスラインナップ,サービスラインナップ
絶対後悔,ゼッタイコウカイ
対話システム,タイワシステム
月額サブスクリプション,ゲツガクサブスクリプション
対話bot,タイワボット
botインタフェース,ボットインタフェース
インタフェース開発,インタフェースカイハツ
開発サービス,カイハツサービス
副業アルバイト,フクギョウアルバイト
何名,ナンメイ
リモートワーク,リモートワーク
ワーク可,ワークカ
自己申告,ジコシンコク
壇蜜さん,ダンミツサン
さん出馬,サンシュツバ
壇蜜さん,ダンミツサン
自然言語対話,シゼンゲンゴタイワ
対話システム,タイワシステム
データ分析,データブンセキ
分析自動化,ブンセキジドウカ
自動化システム,ジドウカシステム
１，,イチ，
，２,，ニ
２名,ニメイ
名募集,メイボシュウ
時給２,ジキュウニ
２０,ニゼロ
００,ゼロゼロ
００,ゼロゼロ
０円,ゼロエン
４０,ヨンゼロ
００,ゼロゼロ
００,ゼロゼロ
０円,ゼロエン
社会人副業,シャカイジンフクギョウ
副業歓迎,フクギョウカンゲイ
あと何,アトナン
何年,ナンネン
仕事そのもの,シゴトソノモノ
ヤバいあまり,ヤバイアマリ
あまり幸せ,アマリシアワセ
市場原理主義者,シジョウゲンリシュギシャ
個人的,コジンテキ
一例,イチレイ
就職口,シュウショクグチ
ベンチャー起業家,ベンチャーキギョウカ
補助金制度,ホジョキンセイド
個人的,コジンテキ
僕レベル,ボクレベル
テックベンチャー,テックベンチャー
ロボティクスベンチャー,ロボティクスベンチャー
技術開発みたい,ギジュツカイハツミタイ
ふじさん,フジサン
科学技術研究,カガクギジュツケンキュウ
国研,クニケン
少数派,ショウスウハ
財務的,ザイムテキ
選択と集中みたい,センタクトシュウチュウミタイ
総花的,ソウカテキ
二重,ニジュウ
重三,ジュウサン
三重,サンジュウ
世界水準,セカイスイジュン
世界水準,セカイスイジュン
国全体,クニゼンタイ
学術競争力,ガクジュツキョウソウリョク
がよく分からん,ガヨクワカラン
さんみたい,サンミタイ
欧米の,オウベイノ
RTこれ,アールティーコレ
工学系,コウガクケイ
系論文,ケイロンブン
論文数,ロンブンスウ
千万,センマン
toyodang,トヨダエヌジー
資本性,シホンセイ
性融資,セイユウシ
若干ハードル,ジャッカンハードル
営業キャッシュフロー,エイギョウキャッシュフロー
隠居社長,インキョシャチョウ
間交換,マコウカン
行動力,コウドウリョク
将棋道場,ショウギドウジョウ
RT海外,アールティーカイガイ
海外クリエイター,カイガイクリエイター
日本旅行動画,ニホンリョコウドウガ
散々周り,サンザンマワリ
基本はり,キホンハリ
んじゃなくて,ンジャナクテ
具体的,グタイテキ
個別ソリューション,コベツソリューション
あほやRT,アホヤアールティー
RTやや日刊カルト新聞,アールティーヤヤニッカンカルトシンブン
２０,ニゼロ
００,ゼロゼロ
００,ゼロゼロ
０万,ゼロマン
３０,サンゼロ
００,ゼロゼロ
００,ゼロゼロ
０万,ゼロマン
一円,イチエン
受託開発,ジュタクカイハツ
柔軟性,ジュウナンセイ
受託開発,ジュタクカイハツ
余剰資金,ヨジョウシキン
フルタイムエンジニア,フルタイムエンジニア
IoTデバイス,アイオーティーデバイス
IoT取り,アイオーティートリ
実績づくり,ジッセキヅクリ
半導体メーカー,ハンドウタイメーカー
ブルーイノベーション,ブルーイノベーション
半導体チップ,ハンドウタイチップ
チップメーカー,チップメーカー
一社,イチシャ
社ミーティング,シャミーティング
ベルサール秋葉原,ベルサールアキハバラ
笑RT,エミアールティー
RTドローン,アールティードローン
ドローンタクシー,ドローンタクシー
展示会,テンジカイ
銀行融資,ギンコウユウシ
情報共有,ジョウホウキョウユウ
銀行融資,ギンコウユウシ
園田社長,ソノダシャチョウ
社員100人,シャインヒャクニン
間接コスト,カンセツコスト
大企業的,ダイキギョウテキ
来年上場,ライネンジョウジョウ
上場予定,ジョウジョウヨテイ
総合力,ソウゴウリョク
リアルすぎ,リアルスギ
余白みたい,ヨハクミタイ
プレイヤーひとりひとり,プレイヤーヒトリヒトリ
七島さん,ナナシマサン
by七,ビーワイナナ
七島,ナナトウ
ゴールテープ,ゴールテープ
マラソンランナー,マラソンランナー
設立四,セツリツヨン
四年,ヨンネン
RT宇宙,アールティーウチュウ
宇宙型,ウチュウガタ
型ドローン,ガタドローン
アドファイブ,アドファイブ
ファイブ日記,ファイブニッキ
サラリーマン時代,サラリーマンジダイ
自己資金,ジコシキン
精進精進,ショウジンショウジン
こと逆立ち,コトサカダチ
2月3月,ニガツサンガツ
個人口座,コジンコウザ
万円,マンエン
円超,エンチョウ
振り込みタイム,フリコミタイム
単月赤字,タンゲツアカジ
ドローン業界,ドローンギョウカイ
松土,マツド
土さん,ドサン
さんキタコレ,サンキタコレ
キタコレRT,キタコレアールティー
by松,ビーワイマツ
松土,マツド
土彰吾,ドショウゴ
わからん会社,ワカランカイシャ
リーディングカンパニー,リーディングカンパニー
ドローン企業,ドローンキギョウ
企業で先,キギョウデサキ
情報交換,ジョウホウコウカン
対話UI,タイワユーアイ
汎用的,ハンヨウテキ
意味表現,イミヒョウゲン
オントロジーみたい,オントロジーミタイ
離散的,リサンテキ
市場素地,シジョウソジ
メタ知識,メタチシキ
本質的に次,ホンシツテキニジ
対話システム,タイワシステム
システムブーム,システムブーム
開発用,カイハツヨウ
用フレームワーク,ヨウフレームワーク
東大受験,トウダイジュケン
受験日,ジュケンビ
意味わからん,イミワカラン
研修中,ケンシュウチュウ
アルファベット順,アルファベットジュン
一番上,イチバンジョウ
ファイル名,ファイルメイ
東大現役,トウダイゲンエキ
彼曰く,カレイワク
製造屋,セイゾウヤ
屋さん,ヤサン
企画設計,キカクセッケイ
設計屋,セッケイヤ
屋さん,ヤサン
さん兼,サンケン
兼製造,ケンセイゾウ
製造販売,セイゾウハンバイ
販売屋,ハンバイヤ
屋さん,ヤサン
水平分業,スイヘイブンギョウ
トヨタ自動車クラス,トヨタジドウシャクラス
グローバルNo.1,グローバルナンバーワン
電子機器製造,デンシキキセイゾウ
製造屋,セイゾウヤ
屋さん,ヤサン
設計情報,セッケイジョウホウ
１日,イチニチ
これ全部,コレゼンブ
飯RT,メシアールティー
学生インターン,ガクセイインターン
インターン募集,インターンボシュウ
八方美人気味,ハッポウビジンギミ
ブロックブロック,ブロックブロック
２９,ニキュウ
９歳,キュウサイ
技術力,ギジュツリョク
自己資金,ジコシキン
自社事業,ジシャジギョウ
ウン億,ウンオク
酸素登頂,サンソトウチョウ
登頂みたい,トウチョウミタイ
役満狙い,ヤクマンネライ
頂上目指,チョウジョウモクシ
じゃなくて３つ,ジャナクテミッツ
要素技術,ヨウソギジュツ
全社シナジー,ゼンシャシナジー
倍々ゲーム,バイバイゲーム
子会社化,コガイシャカ
組織オペレーション,ソシキオペレーション
オペレーション最適化,オペレーションサイテキカ
財務余力,ザイムヨリョク
パートタイム契約社員,パートタイムケイヤクシャイン
インフラ管理,インフラカンリ
管理アプリケーション,カンリアプリケーション
アプリケーション作り,アプリケーションヅクリ
情報共有,ジョウホウキョウユウ
アルバイト生,アルバイトセイ
お客さん,オキャクサン
報告資料,ホウコクシリョウ
マネージャ仕事,マネージャシゴト
いまドローン,イマドローン
コンサルパッケージ,コンサルパッケージ
市場理解,シジョウリカイ
ドローンビジネス相談,ドローンビジネスソウダン
相談センター,ソウダンセンター
サービス株式会社,サービスカブシキガイシャ
自社事業,ジシャジギョウ
新規市場,シンキシジョウ
掘っ立て小屋,ホッタテコヤ
増築改築,ゾウチクカイチク
笑初音ミク,エミハツネミク
逃走本能,トウソウホンノウ
ダンシングガールズ,ダンシングガールズ
予想外,ヨソウガイ
女の子たち,オンナノコタチ
ストレートフォワード,ストレートフォワード
女の子たち,オンナノコタチ
おしっこちび,オシッコチビ
ちびらす,チビラス
予想外,ヨソウガイ
創発よう,ソウハツヨウ
ようそ,ヨウソ
シェアオフィス,シェアオフィス
オフィス運営,オフィスウンエイ
運営社,ウンエイシャ
DJ専門,ディージェイセンモン
Webメディア,Webメディア
女の子たち,オンナノコタチ
おしっこちび,オシッコチビ
ちびらす,チビラス
人工知能DJ,ジンコウチノウディージェイ
モテたいん,モテタイン
研究者,ケンキュウシャ
皮一,カワイチ
一枚,イチマイ
アマゾンアフィリエイト,アマゾンアフィリエイト
３２,サンニ
２６,ニロク
６円,ロクエン
gkbrRT,ジーケービーアールアールティー
婚活マッチング,コンカツマッチング
灘高,ナダダカ
高卒,ダカソツ
筑駒卒,ツクコマソツ
トップ研究,トップケンキュウ
研究者,ケンキュウシャ
フレームワーク化,フレームワークカ
確率ロボティクス,カクリツロボティクス
フレームワークみたい,フレームワークミタイ
みたいの,ミタイノ
確率的,カクリツテキ
いわば生成,イワバセイセイ
生成モデル,セイセイモデル
フレームワーク化,フレームワークカ
格子地図,コウシチズ
確率ロボティクス,カクリツロボティクス
ヘビ型,ヘビガタ
型の,ガタノ
ロボット工学的,ロボットコウガクテキ
バイアス気味,バイアスギミ
超音波センサー,チョウオンパセンサー
オントロジーみたい,オントロジーミタイ
柔軟性,ジュウナンセイ
予定調和的,ヨテイチョウワテキ
汎用的,ハンヨウテキ
特徴量,トクチョウリョウ
特化,トクカ
回転普遍性,カイテンフヘンセイ
何ヶ月,ナンカゲツ
ヶ月間,カゲツカン
完全コミュ障,カンゼンコミュショウ
コミュ障モード,コミュショウモード
スピードはんぱ,スピードハンパ
RT新興企業,アールティーシンコウキギョウ
完全自律,カンゼンジリツ
自律型,ジリツガタ
型ドローン,ガタドローン
住宅地,ジュウタクチ
配送テスト,ハイソウテスト
米国初,ベイコクハツ
japanさん,ジャパンサン
3dロボティクス,スリーディーロボティクス
RT米,アールティーベイ
米ドローン,ベイドローン
ドローンメーカー,ドローンメーカー
メーカー大手,メーカーオオテ
商業マーケット,ショウギョウマーケット
borgさん,ボーグサン
礒部君,イソベクン
プロトタイプ実装,プロトタイプジッソウ
アフタフォロー,アフタフォロー
笑笑笑,エミワラワラ
アルバイト生,アルバイトセイ
生同士,セイドウシ
同士仲,ドウシナカ
アンドロイド携帯,アンドロイドケイタイ
リアルタイム映像,リアルタイムエイゾウ
シンガポール出張,シンガポールシュッチョウ
出張中,シュッチョウチュウ
展示会,テンジカイ
機械部材,キカイブザイ
部材会社,ブザイカイシャ
電話派,デンワハ
商材,ショウザイ
一番得意,イチバントクイ
僕自身,ボクジシン
自身年々,ジシンネンネン
アルバイト生,アルバイトセイ
知識量,チシキリョウ
全面的,ゼンメンテキ
相手主導,アイテシュドウ
最近実践,サイキンジッセン
移譲的,イジョウテキ
的リーダーシップ,テキリーダーシップ
アルバイト生,アルバイトセイ
コンサル先,コンサルサキ
僕自身,ボクジシン
出世猫,シュッセネコ
オフィスマスコット,オフィスマスコット
マスコット勤務,マスコットキンム
億調達,オクチョウタツ
猫缶いくつ,ネコカンイクツ
猫アレルギー,ネコアレルギー
アレルギー持ち,アレルギーモチ
キビナゴさん,キビナゴサン
億円,オクエン
円調達,エンチョウタツ
専門知識,センモンチシキ
気をつけポイント,キヲツケポイント
グーグルみたい,グーグルミタイ
ビッグデータ保有,ビッグデータホユウ
保有者,ホユウシャ
者じゃなくて,シャジャナクテ
問題設定,モンダイセッテイ
バッタモン呼ばわり,バッタモンヨバワリ
危険性,キケンセイ
一年前,イチネンマエ
普通に仕事,フツウニシゴト
人どれ,ヒトドレ
俺天才,オレテンサイ
展示会,テンジカイ
件一つ,ケンヒトツ
MTG時間,エムティージージカン
完全遅刻,カンゼンチコク
アドファイブ,アドファイブ
ファイブ日記,ファイブニッキ
